Mach, Rate of Climb
   0.359458,    1.097949
   0.363706,    1.217845
   0.367954,    1.334293
   0.372202,    1.447103
   0.376450,    1.556902
   0.380697,    1.662573
   0.384945,    1.765735
   0.389193,    1.865472
   0.393441,    1.962435
   0.397689,    2.056983
   0.401937,    2.147896
   0.406185,    2.235151
   0.410433,    2.319589
   0.414681,    2.401876
   0.418929,    2.479073
   0.423176,    2.552814
   0.427424,    2.624155
   0.431672,    2.689302
   0.435920,    2.750453
   0.440168,    2.807973
   0.444416,    2.859412
   0.448664,    2.908069
   0.452912,    2.950313
   0.457160,    2.990599
   0.461408,    3.024188
   0.465655,    3.059638
   0.469903,    3.088752
   0.474151,    3.122749
   0.478399,    3.155995
   0.482647,    3.190183
   0.486895,    3.234218
   0.491143,    3.273812
   0.495391,    3.322731
   0.499639,    3.366316
   0.503887,    3.411926
   0.508134,    3.457756
   0.512382,    3.498485
   0.516630,    3.540131
   0.520878,    3.577913
   0.525126,    3.611371
   0.529374,    3.644745
   0.533622,    3.673984
   0.537870,    3.698532
   0.542118,    3.722943
   0.546366,    3.745058
   0.550613,    3.760586
   0.554861,    3.775699
   0.559109,    3.790431
   0.563357,    3.799273
   0.567605,    3.805001
   0.571853,    3.810192
   0.576101,    3.814874
   0.580349,    3.812286
   0.584597,    3.807553
   0.588845,    3.802095
   0.593092,    3.795897
   0.597340,    3.784066
   0.601588,    3.768084
   0.605836,    3.751165
   0.610084,    3.733303
   0.614332,    3.714491
   0.618580,    3.686956
   0.622828,    3.657876
   0.627076,    3.627654
   0.631324,    3.596279
   0.635571,    3.563745
   0.639819,    3.523570
   0.644067,    3.480382
   0.648315,    3.435845
   0.652563,    3.389948
   0.656811,    3.342683
   0.661059,    3.293779
   0.665307,    3.235570
   0.669555,    3.175806
   0.673803,    3.114477
   0.678050,    3.051573
   0.682298,    2.987083
   0.686546,    2.920999
   0.690794,    2.848923
   0.695042,    2.771363
   0.699290,    2.692024
   0.703538,    2.610895
   0.707786,    2.527965
   0.712034,    2.443223
   0.716282,    2.356659
   0.720529,    2.267095
   0.724777,    2.168661
   0.729025,    2.068224
   0.733273,    1.965773
   0.737521,    1.861296
   0.741769,    1.754780
   0.746017,    1.646215
   0.750265,    1.535587
   0.754513,    1.422886
   0.758761,    1.303087
   0.763008,    1.177951
   0.767256,    1.050566
   0.771504,    0.920919
   0.775752,    0.788997
   0.780000,    0.654789
