Speed, Powers
 128.082471, 9190992.529517
 129.113499, 9036164.032059
 130.144526, 8886476.612083
 131.175553, 8741193.282000
 132.206581, 8608655.601273
 133.237608, 8480068.768401
 134.268636, 8356159.135094
 135.299663, 8242772.086052
 136.330691, 8130659.305779
 137.361718, 8027885.725053
 138.392745, 7928328.831549
 139.423773, 7833961.329502
 140.454800, 7745541.758604
 141.485828, 7659532.382702
 142.516855, 7580863.463000
 143.547883, 7503126.227886
 144.578910, 7432861.033064
 145.609937, 7363275.345972
 146.640965, 7300113.745658
 147.671992, 7238527.811831
 148.703020, 7181222.659278
 149.734047, 7127456.850556
 150.765075, 7074819.245471
 151.796102, 7028669.415235
 152.827129, 6980586.785300
 153.858157, 6940813.707723
 154.889184, 6900322.831098
 155.920212, 6862585.563884
 156.951239, 6829430.722381
 157.982267, 6794723.090778
 159.013294, 6766644.456276
 160.044321, 6739181.041105
 161.075349, 6710757.662240
 162.106376, 6690244.974470
 163.137404, 6668517.425519
 164.168431, 6646762.088339
 165.199459, 6631840.568057
 166.230486, 6615854.766012
 167.261513, 6599211.357595
 168.292541, 6589860.904920
 169.323568, 6579588.132617
 170.354596, 6568387.390185
 171.385623, 6562727.662099
 172.416651, 6558108.492965
 173.447678, 6552695.825750
 174.478705, 6548867.756649
 175.509733, 6549815.832389
 176.540760, 6550096.656744
 177.571788, 6549706.309963
 178.602815, 6553129.411189
 179.633843, 6558986.121618
 180.664870, 6564290.713866
 181.695897, 6569040.018993
 182.726925, 6577790.325949
 183.757952, 6588644.979933
 184.788980, 6599056.369001
 185.820007, 6609022.006084
 186.851035, 6621212.586002
 187.882062, 6637117.724273
 188.913089, 6652682.296549
 189.944117, 6667904.433928
 190.975144, 6682782.267512
 192.006172, 6702666.356358
 193.037199, 6723397.804214
 194.068227, 6743884.078207
 195.099254, 6764123.868843
 196.130281, 6784115.866628
 197.161309, 6809384.949408
 198.192336, 6835114.216672
 199.223364, 6860688.898422
 200.254391, 6886108.190481
 201.285419, 6911371.288671
 202.316446, 6939710.275719
 203.347473, 6970567.672629
 204.378501, 7001356.322596
 205.409528, 7032075.877054
 206.440556, 7062725.987438
 207.471583, 7093306.305182
 208.502611, 7127892.843857
 209.533638, 7163983.572223
 210.564665, 7200086.788941
 211.595693, 7236202.555463
 212.626720, 7272330.933237
 213.657748, 7308471.983715
 214.688775, 7346512.491081
 215.719803, 7388048.786226
 216.750830, 7429674.985885
 217.781857, 7471391.519755
 218.812885, 7513198.817532
 219.843912, 7555097.308912
 220.874940, 7597087.423592
 221.905967, 7640863.799344
 222.936995, 7688177.795295
 223.968022, 7735656.063969
 224.999049, 7783299.365084
 226.030077, 7831108.458362
 227.061104, 7879084.103521
 228.092132, 7927227.060283
 229.123159, 7975538.088367
 230.154187, 8026696.980889
