Vfailure/VsTO, Distance
   0.500000,  420.189748
   0.500551,  421.153378
   0.501101,  422.117008
   0.501652,  423.080637
   0.502202,  424.044267
   0.502753,  425.007897
   0.503303,  425.971527
   0.503854,  426.935156
   0.504404,  427.898786
   0.504955,  428.862416
   0.505506,  429.826046
   0.506056,  430.789675
   0.506607,  431.753305
   0.507157,  432.716935
   0.507708,  433.680565
   0.508258,  434.644194
   0.508809,  435.607824
   0.509359,  436.571454
   0.509910,  437.535084
   0.510460,  438.498714
   0.511011,  439.462343
   0.511562,  440.425973
   0.512112,  441.389603
   0.512663,  442.353233
   0.513213,  443.316862
   0.513764,  444.280492
   0.514314,  445.244122
   0.514865,  446.207752
   0.515415,  447.171381
   0.515966,  448.135011
   0.516517,  449.098641
   0.517067,  450.062271
   0.517618,  451.025900
   0.518168,  451.989530
   0.518719,  452.953160
   0.519269,  453.916790
   0.519820,  454.880420
   0.520370,  455.844049
   0.520921,  456.807679
   0.521471,  457.771309
   0.522022,  458.734939
   0.522573,  459.698568
   0.523123,  460.662198
   0.523674,  461.625828
   0.524224,  462.589458
   0.524775,  463.553087
   0.525325,  464.516717
   0.525876,  465.480347
   0.526426,  466.443977
   0.526977,  467.407606
   0.527528,  468.371236
   0.528078,  469.334866
   0.528629,  470.298496
   0.529179,  471.262125
   0.529730,  472.225755
   0.530280,  473.189385
   0.530831,  474.153015
   0.531381,  475.116645
   0.531932,  476.080274
   0.532482,  477.043904
   0.533033,  478.007534
   0.533584,  478.971164
   0.534134,  479.934793
   0.534685,  480.898423
   0.535235,  481.862053
   0.535786,  482.825683
   0.536336,  483.789312
   0.536887,  484.752942
   0.537437,  485.716572
   0.537988,  486.680202
   0.538539,  487.643831
   0.539089,  488.607461
   0.539640,  489.571091
   0.540190,  490.534721
   0.540741,  491.498350
   0.541291,  492.461980
   0.541842,  493.425610
   0.542392,  494.389240
   0.542943,  495.352870
   0.543493,  496.316499
   0.544044,  497.280129
   0.544595,  498.243759
   0.545145,  499.207389
   0.545696,  500.171018
   0.546246,  501.134648
   0.546797,  502.098278
   0.547347,  503.061908
   0.547898,  504.025537
   0.548448,  504.989167
   0.548999,  505.952797
   0.549550,  506.916427
   0.550100,  507.880056
   0.550651,  508.843686
   0.551201,  509.807316
   0.551752,  510.770946
   0.552302,  511.734576
   0.552853,  512.698205
   0.553403,  513.661835
   0.553954,  514.625465
   0.554505,  515.589095
   0.555055,  516.552724
   0.555606,  517.516354
   0.556156,  518.479984
   0.556707,  519.443614
   0.557257,  520.407243
   0.557808,  521.370873
   0.558358,  522.334503
   0.558909,  523.298133
   0.559459,  524.261762
   0.560010,  525.225392
   0.560561,  526.189022
   0.561111,  527.152652
   0.561662,  528.116281
   0.562212,  529.079911
   0.562763,  530.043541
   0.563313,  531.007171
   0.563864,  531.970801
   0.564414,  532.934430
   0.564965,  533.898060
   0.565516,  534.861690
   0.566066,  535.825320
   0.566617,  536.788949
   0.567167,  537.752579
   0.567718,  538.716209
   0.568268,  539.679839
   0.568819,  540.643468
   0.569369,  541.607098
   0.569920,  542.570728
   0.570470,  543.534358
   0.571021,  544.497987
   0.571572,  545.461617
   0.572122,  546.425247
   0.572673,  547.388877
   0.573223,  548.352506
   0.573774,  549.316136
   0.574324,  550.279766
   0.574875,  551.243396
   0.575425,  552.207026
   0.575976,  553.170655
   0.576527,  554.134285
   0.577077,  555.097915
   0.577628,  556.061545
   0.578178,  557.025174
   0.578729,  557.988804
   0.579279,  558.952434
   0.579830,  559.916064
   0.580380,  560.879693
   0.580931,  561.843323
   0.581481,  562.806953
   0.582032,  563.770583
   0.582583,  564.734212
   0.583133,  565.697842
   0.583684,  566.661472
   0.584234,  567.625102
   0.584785,  568.588732
   0.585335,  569.552361
   0.585886,  570.515991
   0.586436,  571.479621
   0.586987,  572.443251
   0.587538,  573.406880
   0.588088,  574.370510
   0.588639,  575.334140
   0.589189,  576.297770
   0.589740,  577.261399
   0.590290,  578.225029
   0.590841,  579.188659
   0.591391,  580.152289
   0.591942,  581.115918
   0.592492,  582.079548
   0.593043,  583.043178
   0.593594,  584.006808
   0.594144,  584.970437
   0.594695,  585.934067
   0.595245,  586.897697
   0.595796,  587.861327
   0.596346,  588.824957
   0.596897,  589.788586
   0.597447,  590.752216
   0.597998,  591.715846
   0.598549,  592.679476
   0.599099,  593.643105
   0.599650,  594.606735
   0.600200,  595.570365
   0.600751,  596.533995
   0.601301,  597.497624
   0.601852,  598.461254
   0.602402,  599.424884
   0.602953,  600.388514
   0.603504,  601.352143
   0.604054,  602.315773
   0.604605,  603.279403
   0.605155,  604.243033
   0.605706,  605.206663
   0.606256,  606.170292
   0.606807,  607.133922
   0.607357,  608.097552
   0.607908,  609.061182
   0.608458,  610.024811
   0.609009,  610.988441
   0.609560,  611.952071
   0.610110,  612.915701
   0.610661,  613.879330
   0.611211,  614.842960
   0.611762,  615.806590
   0.612312,  616.770220
   0.612863,  617.733849
   0.613413,  618.697479
   0.613964,  619.661109
   0.614515,  620.624739
   0.615065,  621.588368
   0.615616,  622.551998
   0.616166,  623.515628
   0.616717,  624.479258
   0.617267,  625.442888
   0.617818,  626.406517
   0.618368,  627.370147
   0.618919,  628.333777
   0.619469,  629.297407
   0.620020,  630.261036
   0.620571,  631.224666
   0.621121,  632.188296
   0.621672,  633.151926
   0.622222,  634.115555
   0.622773,  635.079185
   0.623323,  636.042815
   0.623874,  637.006445
   0.624424,  637.970074
   0.624975,  638.933704
   0.625526,  639.897334
   0.626076,  640.860964
   0.626627,  641.824593
   0.627177,  642.788223
   0.627728,  643.751853
   0.628278,  644.715483
   0.628829,  645.679113
   0.629379,  646.642742
   0.629930,  647.606372
   0.630480,  648.570002
   0.631031,  649.533632
   0.631582,  650.497261
   0.632132,  651.460891
   0.632683,  652.424521
   0.633233,  653.388151
   0.633784,  654.351780
   0.634334,  655.315410
   0.634885,  656.279040
   0.635435,  657.242670
   0.635986,  658.206299
   0.636537,  659.169929
   0.637087,  660.133559
   0.637638,  661.097189
   0.638188,  662.060819
   0.638739,  663.024448
   0.639289,  663.988078
   0.639840,  664.951708
   0.640390,  665.915338
   0.640941,  666.878967
   0.641491,  667.842597
   0.642042,  668.806227
   0.642593,  669.769857
   0.643143,  670.733486
   0.643694,  671.697116
   0.644244,  672.660746
   0.644795,  673.624376
   0.645345,  674.588005
   0.645896,  675.551635
   0.646446,  676.515265
   0.646997,  677.478895
   0.647548,  678.442524
   0.648098,  679.406154
   0.648649,  680.369784
   0.649199,  681.333414
   0.649750,  682.297044
   0.650300,  683.260673
   0.650851,  684.224303
   0.651401,  685.187933
   0.651952,  686.151563
   0.652503,  687.115192
   0.653053,  688.078822
   0.653604,  689.042452
   0.654154,  690.006082
   0.654705,  690.969711
   0.655255,  691.933341
   0.655806,  692.896971
   0.656356,  693.860601
   0.656907,  694.824230
   0.657457,  695.787860
   0.658008,  696.751490
   0.658559,  697.715120
   0.659109,  698.678749
   0.659660,  699.642379
   0.660210,  700.606009
   0.660761,  701.569639
   0.661311,  702.533269
   0.661862,  703.496898
   0.662412,  704.460528
   0.662963,  705.424158
   0.663514,  706.387788
   0.664064,  707.351417
   0.664615,  708.315047
   0.665165,  709.278677
   0.665716,  710.242307
   0.666266,  711.205936
   0.666817,  712.169566
   0.667367,  713.133196
   0.667918,  714.096826
   0.668468,  715.060455
   0.669019,  716.024085
   0.669570,  716.987715
   0.670120,  717.951345
   0.670671,  718.914975
   0.671221,  719.878604
   0.671772,  720.842234
   0.672322,  721.805864
   0.672873,  722.769494
   0.673423,  723.733123
   0.673974,  724.696753
   0.674525,  725.660383
   0.675075,  726.624013
   0.675626,  727.587642
   0.676176,  728.551272
   0.676727,  729.514902
   0.677277,  730.478532
   0.677828,  731.442161
   0.678378,  732.405791
   0.678929,  733.369421
   0.679479,  734.333051
   0.680030,  735.296680
   0.680581,  736.260310
   0.681131,  737.223940
   0.681682,  738.187570
   0.682232,  739.151200
   0.682783,  740.114829
   0.683333,  741.078459
   0.683884,  742.415218
   0.684434,  743.751977
   0.684985,  745.088736
   0.685536,  746.425495
   0.686086,  747.762254
   0.686637,  749.099014
   0.687187,  750.435773
   0.687738,  751.772532
   0.688288,  753.109291
   0.688839,  754.446050
   0.689389,  755.782809
   0.689940,  757.119568
   0.690490,  758.456327
   0.691041,  759.793086
   0.691592,  761.129845
   0.692142,  762.466604
   0.692693,  763.803363
   0.693243,  765.140122
   0.693794,  766.476881
   0.694344,  767.813641
   0.694895,  769.150400
   0.695445,  770.487159
   0.695996,  771.823918
   0.696547,  773.160677
   0.697097,  774.497436
   0.697648,  775.834195
   0.698198,  777.170954
   0.698749,  778.507713
   0.699299,  779.844472
   0.699850,  781.181231
   0.700400,  782.517990
   0.700951,  783.854749
   0.701502,  785.191509
   0.702052,  786.528268
   0.702603,  787.865027
   0.703153,  789.201786
   0.703704,  790.538545
   0.704254,  791.875304
   0.704805,  793.212063
   0.705355,  794.548822
   0.705906,  795.885581
   0.706456,  797.222340
   0.707007,  798.559099
   0.707558,  799.895858
   0.708108,  801.232617
   0.708659,  802.569377
   0.709209,  803.906136
   0.709760,  805.242895
   0.710310,  806.579654
   0.710861,  807.916413
   0.711411,  809.253172
   0.711962,  810.589931
   0.712513,  811.926690
   0.713063,  813.263449
   0.713614,  814.600208
   0.714164,  815.936967
   0.714715,  817.273726
   0.715265,  818.610485
   0.715816,  819.947244
   0.716366,  821.284004
   0.716917,  822.620763
   0.717467,  823.957522
   0.718018,  825.294281
   0.718569,  826.631040
   0.719119,  827.967799
   0.719670,  829.304558
   0.720220,  830.641317
   0.720771,  831.978076
   0.721321,  833.314835
   0.721872,  834.651594
   0.722422,  835.988353
   0.722973,  837.325112
   0.723524,  838.661872
   0.724074,  839.998631
   0.724625,  841.335390
   0.725175,  842.672149
   0.725726,  844.008908
   0.726276,  845.345667
   0.726827,  846.682426
   0.727377,  848.019185
   0.727928,  849.355944
   0.728478,  850.692703
   0.729029,  852.029462
   0.729580,  853.366221
   0.730130,  854.702980
   0.730681,  856.039740
   0.731231,  857.376499
   0.731782,  858.713258
   0.732332,  860.050017
   0.732883,  861.386776
   0.733433,  862.723535
   0.733984,  864.060294
   0.734535,  865.397053
   0.735085,  866.733812
   0.735636,  868.070571
   0.736186,  869.407330
   0.736737,  870.744089
   0.737287,  872.080848
   0.737838,  873.417608
   0.738388,  874.754367
   0.738939,  876.091126
   0.739489,  877.427885
   0.740040,  878.764644
   0.740591,  880.101403
   0.741141,  881.438162
   0.741692,  882.774921
   0.742242,  884.111680
   0.742793,  885.448439
   0.743343,  886.785198
   0.743894,  888.121957
   0.744444,  889.458716
   0.744995,  890.795475
   0.745546,  892.132235
   0.746096,  893.468994
   0.746647,  894.805753
   0.747197,  896.142512
   0.747748,  897.479271
   0.748298,  898.816030
   0.748849,  900.152789
   0.749399,  901.489548
   0.749950,  902.826307
   0.750501,  904.163066
   0.751051,  905.499825
   0.751602,  906.836584
   0.752152,  908.173343
   0.752703,  909.510103
   0.753253,  910.846862
   0.753804,  912.183621
   0.754354,  913.520380
   0.754905,  914.857139
   0.755455,  916.193898
   0.756006,  917.530657
   0.756557,  918.867416
   0.757107,  920.204175
   0.757658,  921.540934
   0.758208,  922.877693
   0.758759,  924.214452
   0.759309,  925.551211
   0.759860,  926.887971
   0.760410,  928.224730
   0.760961,  929.561489
   0.761512,  930.898248
   0.762062,  932.235007
   0.762613,  933.571766
   0.763163,  934.908525
   0.763714,  936.245284
   0.764264,  937.582043
   0.764815,  938.918802
   0.765365,  940.255561
   0.765916,  941.592320
   0.766466,  942.929079
   0.767017,  944.265839
