Speed, Forces
 119.522768, 44005.740610
 120.739119, 44905.966815
 121.955469, 45815.307996
 123.171819, 46733.764152
 124.388170, 47598.043457
 125.604520, 47308.715262
 126.820871, 46858.775731
 128.037221, 46398.927133
 129.253572, 45937.369534
 130.469922, 45492.975721
 131.686273, 45044.419492
 132.902623, 44633.434855
 134.118973, 44223.303879
 135.335324, 43809.436405
 136.551674, 43452.374794
 137.768025, 43093.797663
 138.984375, 42732.040626
 140.200726, 42381.944926
 141.417076, 42084.419681
 142.633427, 41784.324323
 143.849777, 41481.658849
 145.066128, 41176.423262
 146.282478, 40898.198891
 147.498828, 40677.788900
 148.715179, 40455.553770
 149.931529, 40231.493502
 151.147880, 40005.608095
 152.364230, 39777.897550
 153.580581, 39612.386833
 154.796931, 39466.328939
 156.013282, 39319.118837
 157.229632, 39170.756527
 158.445982, 39021.242008
 159.662333, 38870.575281
 160.878683, 38740.192578
 162.095034, 38661.333282
 163.311384, 38581.880002
 164.527735, 38501.832738
 165.744085, 38421.191491
 166.960436, 38339.956261
 168.176786, 38258.127046
 169.393136, 38175.703849
 170.609487, 38145.554541
 171.825837, 38135.137172
 173.042188, 38124.645797
 174.258538, 38114.080416
 175.474889, 38103.441028
 176.691239, 38092.727634
 177.907590, 38081.940234
 179.123940, 38071.078828
 180.340290, 38060.143416
 181.556641, 38095.370653
 182.772991, 38152.800301
 183.989342, 38210.613417
 185.205692, 38268.810003
 186.422043, 38327.390057
 187.638393, 38386.353581
 188.854744, 38445.700574
 190.071094, 38505.431036
 191.287444, 38565.544967
 192.503795, 38626.042367
 193.720145, 38686.923236
 194.936496, 38785.383421
 196.152846, 38910.561604
 197.369197, 39036.518436
 198.585547, 39163.253916
 199.801898, 39290.768044
 201.018248, 39419.060821
 202.234599, 39548.132246
 203.450949, 39677.982320
 204.667299, 39808.611042
 205.883650, 39940.018412
 207.100000, 40072.204431
 208.316351, 40205.169098
 209.532701, 40338.912413
 210.749052, 40473.434377
 211.965402, 40640.726028
 213.181753, 40835.017606
 214.398103, 41030.420924
 215.614453, 41226.935982
 216.830804, 41424.562781
 218.047154, 41623.301320
 219.263505, 41823.151600
 220.479855, 42024.113620
 221.696206, 42226.187380
 222.912556, 42429.372882
 224.128907, 42633.670123
 225.345257, 42839.079105
 226.561607, 43045.599828
 227.777958, 43253.232810
 228.994308, 43462.000769
 230.210659, 43672.000781
 231.427009, 43883.423180
 232.643360, 44096.559165
 233.859710, 44311.808509
 235.076061, 44581.130021
 236.292411, 44854.830251
 237.508761, 45132.845464
 238.725112, 45416.090236
 239.941462, 45705.628816
