Speed (CAS), Efficiency
 148.903579,   13.861979
 151.732298,   13.349944
 154.561018,   12.865764
 157.389737,   12.941505
 160.218456,   13.147114
 163.047176,   13.353749
 165.875895,   13.553260
 168.704614,   13.751067
 171.533334,   13.923521
 174.362053,   14.103078
 177.190772,   14.248573
 180.019491,   14.399517
 182.848211,   14.534468
 185.676930,   14.639659
 188.505649,   14.748035
 191.334369,   14.837594
 194.163088,   14.896629
 196.991807,   14.957013
 199.820527,   15.018773
 202.649246,   15.035666
 205.477965,   15.049961
 208.306684,   15.064482
 211.135404,   15.079231
 213.964123,   15.051104
 216.792842,   15.017377
 219.621562,   14.983360
 222.450281,   14.949059
 225.279000,   14.912590
 228.107720,   14.833623
 230.936439,   14.754518
 233.765158,   14.675293
 236.593877,   14.595966
 239.422597,   14.516552
 242.251316,   14.433162
 245.080035,   14.315527
 247.908755,   14.198462
 250.737474,   14.081984
 253.566193,   13.966113
 256.394913,   13.850865
 259.223632,   13.736256
 262.052351,   13.622302
 264.881070,   13.491021
 267.709790,   13.348180
 270.538509,   13.206863
 273.367228,   13.067067
 276.195948,   12.928791
 279.024667,   12.792033
 281.853386,   12.656787
 284.682106,   12.523050
 287.510825,   12.390815
 290.339544,   12.260077
 293.168263,   12.116559
 295.996983,   11.966995
 298.825702,   11.819695
 301.654421,   11.674627
 304.483141,   11.531759
 307.311860,   11.391060
 310.140579,   11.252499
 312.969299,   11.116045
 315.798018,   10.981665
 318.626737,   10.849330
 321.455456,   10.719008
 324.284176,   10.590669
 327.112895,   10.464281
 329.941614,   10.339816
 332.770334,   10.208940
 335.599053,   10.074704
 338.427772,    9.942859
 341.256492,    9.813357
 344.085211,    9.686149
 346.913930,    9.561186
 349.742649,    9.438422
 352.571369,    9.317812
 355.400088,    9.199310
 358.228807,    9.082873
 361.057527,    8.968458
 363.886246,    8.856023
 366.714965,    8.745527
 369.543685,    8.636930
 372.372404,    8.530194
 375.201123,    8.425279
 378.029842,    8.322148
 380.858562,    8.220765
 383.687281,    8.121093
 386.516000,    8.023099
 389.344720,    7.926747
 392.173439,    7.832004
 395.002158,    7.735008
 397.830878,    7.636871
 400.659597,    7.540519
 403.488316,    7.445910
 406.317036,    7.353005
 409.145755,    7.261765
 411.974474,    7.172151
 414.803193,    7.084127
 417.631913,    6.997657
 420.460632,    6.912706
 423.289351,    6.829240
 426.118071,    6.747226
 428.946790,    6.666627
