Speed, Power
  90.324230, 9233333.944687
  92.000394, 9353123.640282
  93.676559, 9471034.762324
  95.352723, 9586944.771018
  97.028887, 9700792.556103
  98.705051, 9812751.263261
 100.381215, 9922718.850539
 102.057379, 10029717.883320
 103.733544, 10134789.084228
 105.409708, 10237932.453264
 107.085872, 10339200.166657
 108.762036, 10438557.894093
 110.438200, 10535989.922748
 112.114365, 10631790.286763
 113.790529, 10726048.153236
 115.466693, 10818400.143130
 117.142857, 10908933.012761
 118.819021, 10998199.686106
 120.495185, 11085580.943337
 122.171350, 11171076.784455
 123.847514, 11254915.880022
 125.523678, 11336933.999200
 127.199842, 11417074.447632
 128.876006, 11495487.894766
 130.552171, 11572194.969490
 132.228335, 11647032.590661
 133.904499, 11720382.993393
 135.580663, 11793987.286947
 137.256827, 11865783.960881
 138.932991, 11935773.015192
 140.609156, 12009826.074339
 142.285320, 12083406.465942
 143.961484, 12155347.380131
 145.637648, 12230843.773324
 147.313812, 12309861.616184
 148.989977, 12387474.283408
 150.666141, 12465208.390163
 152.342305, 12548230.985179
 154.018469, 12630028.920009
 155.694633, 12710602.194654
 157.370797, 12792384.828165
 159.046962, 12873375.377015
 160.723126, 12953201.140182
 162.399290, 13031551.957930
 164.075454, 13108468.682454
 165.751618, 13184208.847242
 167.427783, 13258544.503870
 169.103947, 13330890.215704
 170.780111, 13402038.769575
 172.456275, 13471990.165483
 174.132439, 13539895.623665
 175.808603, 13606491.719454
 177.484768, 13671872.488970
 179.160932, 13736341.111228
 180.837096, 13799824.248189
 182.513260, 13862101.887332
 184.189424, 13923719.650040
 185.865589, 13985750.532428
 187.541753, 14046614.862314
 189.217917, 14106312.639699
 190.894081, 14166160.569792
 192.570245, 14224960.763373
 194.246409, 14282619.193227
 195.922574, 14339287.711204
 197.598738, 14394914.734372
 199.274902, 14449404.249085
 200.951066, 14502910.233881
 202.627230, 14555664.360503
 204.303395, 14607289.885210
 205.979559, 14657786.808004
 207.655723, 14708068.822222
 209.331887, 14757269.198860
 211.008051, 14805356.239848
 212.684215, 14852809.625246
 214.360380, 14899424.482557
 216.036544, 14944937.744340
 217.712708, 14989719.657777
 219.388872, 15034191.924594
 221.065036, 15077580.311035
 222.741201, 15119884.817100
 224.417365, 15163140.654677
 226.093529, 15205343.799816
 227.769693, 15246493.478065
 229.445857, 15288036.598127
 231.122021, 15329241.402464
 232.798186, 15369423.946371
 234.474350, 15408963.082010
 236.150514, 15448177.944783
 237.826678, 15486385.795204
 239.502842, 15523588.716019
 241.179006, 15559846.061130
 242.855171, 15595097.276590
 244.531335, 15629342.362399
 246.207499, 15662986.452785
 247.883663, 15695795.857144
 249.559827, 15727606.892073
 251.235992, 15759364.064461
 252.912156, 15791631.186371
 254.588320, 15822932.367316
 256.264484, 15853582.924011
