Speed, Power
 103.431239, 4551568.271164
 104.893892, 4747407.173341
 106.356545, 4948784.548583
 107.819198, 5131451.676818
 109.281852, 5142590.968715
 110.744505, 5141099.577501
 112.207158, 5137727.646259
 113.669811, 5134156.365663
 115.132464, 5133274.247547
 116.595118, 5131850.930722
 118.057771, 5134282.675292
 119.520424, 5138291.677961
 120.983077, 5140099.068565
 122.445730, 5150698.495133
 123.908383, 5160440.140754
 125.371037, 5168337.036510
 126.833690, 5180771.587582
 128.296343, 5201083.204230
 129.758996, 5220038.399968
 131.221649, 5237621.710806
 132.684302, 5259963.837068
 134.146956, 5290724.083939
 135.609609, 5320588.973808
 137.072262, 5349548.744273
 138.534915, 5377593.632929
 139.997568, 5415378.374203
 141.460221, 5456346.253864
 142.922875, 5496827.397906
 144.385528, 5536816.773639
 145.848181, 5576309.348373
 147.310834, 5619731.229295
 148.773487, 5673377.894464
 150.236141, 5726960.780574
 151.698794, 5780479.260586
 153.161447, 5833932.707463
 154.624100, 5887320.494167
 156.086753, 5940641.993659
 157.549406, 6005643.598729
 159.012060, 6074139.837316
 160.474713, 6142989.295504
 161.937366, 6212195.222342
 163.400019, 6281760.866877
 164.862672, 6351689.478157
 166.325325, 6421984.305231
 167.787979, 6492648.597145
 169.250632, 6575680.281409
 170.713285, 6662335.519420
 172.175938, 6749760.761576
 173.638591, 6837962.605190
 175.101245, 6926947.647575
 176.563898, 7016722.486044
 178.026551, 7107293.717911
 179.489204, 7198667.940489
 180.951857, 7290851.751091
 182.414510, 7383851.747030
 183.877164, 7488115.191407
 185.339817, 7597895.895138
 186.802470, 7708870.192537
 188.265123, 7821047.503133
 189.727776, 7934437.246453
 191.190429, 8049048.842024
 192.653083, 8164891.709375
 194.115736, 8281975.268034
 195.578389, 8400308.937529
 197.041042, 8519902.137387
 198.503695, 8640764.287136
 199.966348, 8762904.806304
 201.429002, 8886333.114420
 202.891655, 9016090.049113
 204.354308, 9157056.926620
 205.816961, 9299660.905031
 207.279614, 9443913.701792
 208.742268, 9589827.034351
 210.204921, 9737412.620155
 211.667574, 9886682.176652
 213.130227, 10037647.421288
 214.592880, 10190320.071511
 216.055533, 10344711.844769
 217.518187, 10500834.458508
 218.980840, 10658699.630176
 220.443493, 10818319.077220
 221.906146, 10979704.517087
 223.368799, 11142867.667226
 224.831452, 11307820.245082
 226.294106, 11474573.968104
 227.756759, 11643140.553738
 229.219412, 11813531.719433
 230.682065, 11992793.409944
 232.144718, 12181773.988693
 233.607372, 12372896.078139
 235.070025, 12566173.171104
 236.532678, 12761618.760410
 237.995331, 12959246.338881
 239.457984, 13159069.399338
 240.920637, 13361101.434603
 242.383291, 13565355.966298
 243.845944, 13771855.707180
 245.308597, 13980678.221466
 246.771250, 14191985.131538
 248.233903, 14406031.816483
