Speed (TAS), Efficiency
 283.487498,   16.066177
 285.166674,   16.109473
 286.845850,   16.185602
 288.525026,   16.271096
 290.204202,   16.358776
 291.883377,   16.448596
 293.562553,   16.539935
 295.241729,   16.628480
 296.920905,   16.718446
 298.600081,   16.809910
 300.279257,   16.897662
 301.958433,   16.983414
 303.637609,   17.070527
 305.316785,   17.159028
 306.995961,   17.245870
 308.675137,   17.324784
 310.354313,   17.404860
 312.033488,   17.486120
 313.712664,   17.568587
 315.391840,   17.652284
 317.071016,   17.725939
 318.750192,   17.796037
 320.429368,   17.867066
 322.108544,   17.939042
 323.787720,   18.011981
 325.466896,   18.085900
 327.146072,   18.160815
 328.825248,   18.222922
 330.504424,   18.279774
 332.183599,   18.337275
 333.862775,   18.395433
 335.541951,   18.454257
 337.221127,   18.513756
 338.900303,   18.573940
 340.579479,   18.634819
 342.258655,   18.682890
 343.937831,   18.725169
 345.617007,   18.767848
 347.296183,   18.810931
 348.975359,   18.854423
 350.654534,   18.898327
 352.333710,   18.942649
 354.012886,   18.987392
 355.692062,   19.032561
 357.371238,   19.078161
 359.050414,   19.119924
 360.729590,   19.142984
 362.408766,   19.166208
 364.087942,   19.189597
 365.767118,   19.213152
 367.446294,   19.236873
 369.125470,   19.260762
 370.804645,   19.284819
 372.483821,   19.309047
 374.162997,   19.333445
 375.842173,   19.358015
 377.521349,   19.382758
 379.200525,   19.407675
 380.879701,   19.413166
 382.558877,   19.415565
 384.238053,   19.417975
 385.917229,   19.420396
 387.596405,   19.422828
 389.275581,   19.425272
 390.954756,   19.427727
 392.633932,   19.430193
 394.313108,   19.432670
 395.992284,   19.435158
 397.671460,   19.437658
 399.350636,   19.440169
 401.029812,   19.442691
 402.708988,   19.445224
 404.388164,   19.445072
 406.067340,   19.426254
 407.746516,   19.407388
 409.425691,   19.388467
 411.104867,   19.369473
 412.784043,   19.350385
 414.463219,   19.331174
 416.142395,   19.311806
 417.821571,   19.292236
 419.500747,   19.272413
 421.179923,   19.252278
 422.859099,   19.231761
 424.538275,   19.210785
 426.217451,   19.189261
 427.896627,   19.167093
 429.575802,   19.144170
 431.254978,   19.120374
 432.934154,   19.095573
 434.613330,   19.068377
 436.292506,   19.022075
 437.971682,   18.974384
 439.650858,   18.925133
 441.330034,   18.874143
 443.009210,   18.821221
 444.688386,   18.766165
 446.367562,   18.708762
 448.046737,   18.648788
 449.725913,   18.586008
