Ground Roll distance, Load Factor
1112.799381,    0.806612
1139.150625,    0.804528
1322.101989,    0.790139
1358.494576,    0.787292
1394.821551,    0.784456
1431.083034,    0.781630
1467.279146,    0.778814
1474.510534,    0.778252
1474.736660,    0.778235
1474.853863,    0.778226
1474.910239,    0.778221
1474.933754,    0.778219
1474.940039,    0.778219
1474.943320,    0.778218
1474.946314,    0.778218
1474.976256,    0.778212
1475.275669,    0.778150
1478.269145,    0.777535
1508.138492,    0.771348
1685.825868,    0.732470
1858.700951,    0.691005
2026.307574,    0.647052
2188.162256,    0.600780
2343.756073,    0.552439
2492.557427,    0.502371
2634.015790,    0.451012
2767.566530,    0.398901
2892.636831,    0.346677
3008.652730,    0.295076
3115.047183,    0.244914
3211.269050,    0.197076
3296.792790,    0.152482
3371.128574,    0.112065
3433.832498,    0.076725
3484.516475,    0.047299
3522.857383,    0.024514
3548.605041,    0.008953
3561.059765,    0.001351
3563.263987,    0.000000
