Ground Roll distance, Load Factor
 339.181251,    0.806612
 347.213110,    0.804528
 402.976686,    0.790139
 414.069147,    0.787292
 425.141609,    0.784456
 436.194109,    0.781630
 447.226684,    0.778814
 449.430811,    0.778252
 449.499734,    0.778235
 449.535457,    0.778226
 449.552641,    0.778221
 449.559808,    0.778219
 449.561724,    0.778219
 449.562724,    0.778218
 449.563637,    0.778218
 449.572763,    0.778212
 449.664024,    0.778150
 450.576435,    0.777535
 459.680612,    0.771348
 513.839724,    0.732470
 566.532050,    0.691005
 617.618549,    0.647052
 666.951855,    0.600780
 714.376851,    0.552439
 759.731504,    0.502371
 802.848013,    0.451012
 843.554278,    0.398901
 881.675706,    0.346677
 917.037352,    0.295076
 949.466381,    0.244914
 978.794807,    0.197076
1004.862442,    0.152482
1027.519989,    0.112065
1046.632145,    0.076725
1062.080622,    0.047299
1073.766930,    0.024514
1081.614816,    0.008953
1085.411016,    0.001351
1086.082863,    0.000000
