Speed (TAS), Efficiency
 103.460139,   13.197533
 104.946975,   13.315986
 106.433812,   13.500289
 107.920648,   13.690548
 109.407485,   13.881419
 110.894321,   14.063579
 112.381158,   14.248652
 113.867994,   14.417237
 115.354831,   14.586053
 116.841667,   14.752659
 118.328504,   14.897798
 119.815340,   15.047713
 121.302177,   15.202604
 122.789013,   15.317867
 124.275850,   15.432189
 125.762686,   15.549636
 127.249523,   15.664533
 128.736359,   15.739598
 130.223196,   15.816271
 131.710032,   15.894588
 133.196869,   15.974587
 134.683705,   16.024804
 136.170542,   16.063411
 137.657378,   16.102632
 139.144215,   16.142474
 140.631051,   16.182945
 142.117888,   16.199012
 143.604724,   16.196087
 145.091561,   16.193132
 146.578397,   16.190148
 148.065234,   16.187134
 149.552070,   16.184091
 151.038906,   16.164337
 152.525743,   16.120003
 154.012579,   16.075481
 155.499416,   16.030775
 156.986252,   15.985892
 158.473089,   15.940835
 159.959925,   15.895611
 161.446762,   15.850224
 162.933598,   15.773571
 164.420435,   15.691664
 165.907271,   15.609871
 167.394108,   15.528202
 168.880944,   15.446665
 170.367781,   15.365270
 171.854617,   15.284027
 173.341454,   15.202943
 174.828290,   15.122027
 176.315127,   15.032372
 177.801963,   14.921922
 179.288800,   14.812177
 180.775636,   14.703140
 182.262473,   14.594815
 183.749309,   14.487208
 185.236146,   14.380320
 186.722982,   14.274155
 188.209819,   14.168717
 189.696655,   14.064007
 191.183492,   13.960027
 192.670328,   13.856780
 194.157164,   13.754266
 195.644001,   13.637884
 197.130837,   13.514849
 198.617674,   13.393108
 200.104510,   13.272651
 201.591347,   13.153466
 203.078183,   13.035544
 204.565020,   12.918875
 206.051856,   12.803446
 207.538693,   12.689248
 209.025529,   12.576270
 210.512366,   12.464501
 211.999202,   12.353929
 213.486039,   12.244545
 214.972875,   12.136336
 216.459712,   12.029291
 217.946548,   11.923399
 219.433385,   11.818650
 220.920221,   11.715032
 222.407058,   11.601124
 223.893894,   11.485859
 225.380731,   11.372116
 226.867567,   11.259873
 228.354404,   11.149108
 229.841240,   11.039798
 231.328077,   10.931920
 232.814913,   10.825424
 234.301750,   10.720201
 235.788586,   10.616081
 237.275422,   10.512835
 238.762259,   10.410175
 240.249095,   10.307756
 241.735932,   10.205176
 243.222768,   10.101984
 244.709605,    9.997676
 246.196441,    9.891702
 247.683278,    9.783473
 249.170114,    9.672364
 250.656951,    9.557722
