Mach, Efficiency
   0.241157,   12.605741
   0.246600,   12.781536
   0.252042,   13.022886
   0.257485,   13.258197
   0.262928,   13.484385
   0.268371,   13.683062
   0.273814,   13.871180
   0.279257,   14.039101
   0.284700,   14.194464
   0.290142,   14.309584
   0.295585,   14.428821
   0.301028,   14.494383
   0.306471,   14.554416
   0.311914,   14.611156
   0.317357,   14.616556
   0.322800,   14.622052
   0.328242,   14.627647
   0.333685,   14.587786
   0.339128,   14.536536
   0.344571,   14.484824
   0.350014,   14.432664
   0.355457,   14.334932
   0.360900,   14.231093
   0.366343,   14.127203
   0.371785,   14.023298
   0.377228,   13.916138
   0.382671,   13.768496
   0.388114,   13.621906
   0.393557,   13.476399
   0.399000,   13.332006
   0.404443,   13.188754
   0.409885,   13.046668
   0.415328,   12.871147
   0.420771,   12.697636
   0.426214,   12.526571
   0.431657,   12.357944
   0.437100,   12.191741
   0.442543,   12.027949
   0.447985,   11.866553
   0.453428,   11.707536
   0.458871,   11.527194
   0.464314,   11.348696
   0.469757,   11.173634
   0.475200,   11.001942
   0.480643,   10.833558
   0.486085,   10.668419
   0.491528,   10.506463
   0.496971,   10.347627
   0.502414,   10.191851
   0.507857,   10.039074
   0.513300,    9.889236
   0.518743,    9.733286
   0.524186,    9.574012
   0.529628,    9.418284
   0.535071,    9.266009
   0.540514,    9.117096
   0.545957,    8.971458
   0.551400,    8.829009
   0.556843,    8.689665
   0.562286,    8.553346
   0.567728,    8.419973
   0.573171,    8.289470
   0.578614,    8.161761
   0.584057,    8.036776
   0.589500,    7.914443
   0.594943,    7.794694
   0.600386,    7.677464
   0.605828,    7.562686
   0.611271,    7.450300
   0.616714,    7.334674
   0.622157,    7.219705
   0.627600,    7.107321
   0.633043,    6.997448
   0.638486,    6.890015
   0.643928,    6.784952
   0.649371,    6.682193
   0.654814,    6.581674
   0.660257,    6.483332
   0.665700,    6.387108
   0.671143,    6.292942
   0.676586,    6.200779
   0.682028,    6.110565
   0.687471,    6.022245
   0.692914,    5.935771
   0.698357,    5.851091
   0.703800,    5.768158
   0.709243,    5.686927
   0.714686,    5.607352
   0.720129,    5.529390
   0.725571,    5.452998
   0.731014,    5.378137
   0.736457,    5.304765
   0.741900,    5.232813
   0.747343,    5.162156
   0.752786,    5.092611
   0.758229,    5.023943
   0.763671,    4.955861
   0.769114,    4.888032
   0.774557,    4.820077
   0.780000,    4.751577
