Speed, Power
 116.650771, 5650018.749963
 117.933977, 5679193.943039
 119.217183, 5681923.189978
 120.500389, 5681773.723724
 121.783595, 5681409.294722
 123.066801, 5680840.467858
 124.350007, 5681656.426063
 125.633213, 5683909.533358
 126.916419, 5684426.264440
 128.199625, 5691318.766298
 129.482831, 5697575.927874
 130.766038, 5702317.944624
 132.049244, 5711357.931727
 133.332450, 5723738.992902
 134.615656, 5734869.064698
 135.898862, 5744736.107457
 137.182068, 5756303.760482
 138.465274, 5777726.130008
 139.748480, 5798242.896744
 141.031686, 5817845.668154
 142.314892, 5836526.051700
 143.598098, 5857775.298784
 144.881304, 5888548.566756
 146.164510, 5918746.089246
 147.447717, 5948362.766908
 148.730923, 5977393.500395
 150.014129, 6005833.190358
 151.297335, 6040018.004931
 152.580541, 6080103.555312
 153.863747, 6119906.805815
 155.146953, 6159425.382291
 156.430159, 6198656.910592
 157.713365, 6237599.016568
 158.996571, 6276249.326071
 160.279777, 6324805.884465
 161.562983, 6376323.176077
 162.846189, 6427861.534956
 164.129395, 6479421.128426
 165.412602, 6531002.123814
 166.695808, 6582604.688444
 167.979014, 6634228.989644
 169.262220, 6685875.194738
 170.545426, 6747057.638490
 171.828632, 6812132.768099
 173.111838, 6877529.684199
 174.395044, 6943250.789873
 175.678250, 7009298.488203
 176.961456, 7075675.182271
 178.244662, 7142383.275161
 179.527868, 7209425.169954
 180.811074, 7276803.269734
 182.094281, 7344519.977583
 183.377487, 7423828.059539
 184.660693, 7505591.819725
 185.943899, 7587979.292026
 187.227105, 7670994.810616
 188.510311, 7754642.709665
 189.793517, 7838927.323346
 191.076723, 7923852.985831
 192.359929, 8009424.031292
 193.643135, 8095644.793899
 194.926341, 8182519.607826
 196.209547, 8270052.807244
 197.492753, 8358248.726325
 198.775960, 8451935.512342
 200.059166, 8554645.055747
 201.342372, 8658284.057981
 202.625578, 8762858.480715
 203.908784, 8868374.285623
 205.191990, 8974837.434377
 206.475196, 9082253.888650
 207.758402, 9190629.610113
 209.041608, 9299970.560439
 210.324814, 9410282.701302
 211.608020, 9521571.994372
 212.891226, 9633844.401323
 214.174432, 9747105.883827
 215.457639, 9861362.403557
 216.740845, 9976619.922184
 218.024051, 10092884.401382
 219.307257, 10210161.802823
 220.590463, 10339547.875191
 221.873669, 10472115.651458
 223.156875, 10606001.767285
 224.440081, 10741289.831093
 225.723287, 10878100.144280
 227.006493, 11016593.282516
 228.289699, 11156973.820410
 229.572905, 11299494.201561
 230.856111, 11444458.756016
 232.139317, 11592227.867158
 233.422524, 11743222.290044
 234.705730, 11897927.623221
 235.988936, 12056898.936032
 237.272142, 12220765.553436
 238.555348, 12390236.000372
 239.838554, 12566103.107668
 241.121760, 12749249.281538
 242.404966, 12940651.938675
 243.688172, 13141389.108953
