Speed (TAS), Rate of Climb
 116.650771,    8.277638
 117.933977,    8.397328
 119.217183,    8.557877
 120.500389,    8.722428
 121.783595,    8.886816
 123.066801,    9.051024
 124.350007,    9.212568
 125.633213,    9.371944
 126.916419,    9.534090
 128.199625,    9.685789
 129.482831,    9.838006
 130.766038,    9.992115
 132.049244,   10.139027
 133.332450,   10.280237
 134.615656,   10.422927
 135.898862,   10.567116
 137.182068,   10.708170
 138.465274,   10.833335
 139.748480,   10.959440
 141.031686,   11.086499
 142.314892,   11.214523
 143.598098,   11.338054
 144.881304,   11.446214
 146.164510,   11.554798
 147.447717,   11.663813
 148.730923,   11.773269
 150.014129,   11.883173
 151.297335,   11.983616
 152.580541,   12.074355
 153.863747,   12.165058
 155.146953,   12.255731
 156.430159,   12.345560
 157.713365,   12.431372
 158.996571,   12.517086
 160.279777,   12.586753
 161.562983,   12.651236
 162.846189,   12.715131
 164.129395,   12.778438
 165.412602,   12.841157
 166.695808,   12.903289
 167.979014,   12.964831
 169.262220,   13.025785
 170.545426,   13.071271
 171.828632,   13.110115
 173.111838,   13.147901
 174.395044,   13.184625
 175.678250,   13.220284
 176.961456,   13.254875
 178.244662,   13.288392
 179.527868,   13.320833
 180.811074,   13.352193
 182.094281,   13.382469
 183.377487,   13.394064
 184.660693,   13.401264
 185.943899,   13.406934
 187.227105,   13.411067
 188.510311,   13.420215
 189.793517,   13.429310
 191.076723,   13.436956
 192.359929,   13.443146
 193.643135,   13.447874
 194.926341,   13.451133
 196.209547,   13.452916
 197.492753,   13.453216
 198.775960,   13.444484
 200.059166,   13.421194
 201.342372,   13.396005
 202.625578,   13.368907
 203.908784,   13.339891
 205.191990,   13.308947
 206.475196,   13.276065
 207.758402,   13.241238
 209.041608,   13.204454
 210.324814,   13.165706
 211.608020,   13.124983
 212.891226,   13.082277
 214.174432,   13.037577
 215.457639,   12.990875
 216.740845,   12.942162
 218.024051,   12.891428
 219.307257,   12.834914
 220.590463,   12.754849
 221.873669,   12.669270
 223.156875,   12.581091
 224.440081,   12.490181
 225.723287,   12.396353
 227.006493,   12.299354
 228.289699,   12.198867
 229.572905,   12.094494
 230.856111,   11.985762
 232.139317,   11.874733
 233.422524,   11.759085
 234.705730,   11.637136
 235.988936,   11.508016
 237.272142,   11.370742
 238.555348,   11.224206
 239.838554,   11.067167
 241.121760,   10.898246
 242.404966,   10.715915
 243.688172,   10.518487
