Mach, Rate of Climb
   0.373377,  -80.106236
   0.377484,  -74.670252
   0.381592,  -61.279214
   0.385699,  -47.103224
   0.389806,  -33.066487
   0.393914,  -18.959198
   0.398021,   -5.705106
   0.402128,    7.310862
   0.406236,   20.423210
   0.410343,   31.612229
   0.414450,   43.166651
   0.418557,   55.090742
   0.422665,   64.484829
   0.426772,   73.781499
   0.430879,   83.360921
   0.434987,   93.226378
   0.439094,  100.477699
   0.443201,  106.459219
   0.447309,  112.609582
   0.451416,  118.930864
   0.455523,  125.425141
   0.459631,  128.429605
   0.463738,  130.844710
   0.467845,  133.318881
   0.471952,  135.853105
   0.476060,  138.448368
   0.480167,  140.082501
   0.484274,  138.816315
   0.488382,  137.510189
   0.492489,  136.164207
   0.496596,  134.778454
   0.500704,  133.353014
   0.504811,  131.771217
   0.508918,  126.793706
   0.513025,  120.547180
   0.517133,  114.150340
   0.521240,  107.602430
   0.525347,  100.902695
   0.529455,   94.050377
   0.533562,   87.044721
   0.537669,   79.884971
   0.541777,   68.853362
   0.545884,   57.184922
   0.549991,   45.263757
   0.554098,   33.088372
   0.558206,   20.657270
   0.562313,    7.968957
   0.566420,   -4.978064
   0.570528,  -18.185288
   0.574635,  -31.654210
   0.578742,  -46.691505
   0.582850,  -64.814733
   0.586957,  -83.293125
   0.591064, -102.128817
   0.595171, -121.323943
   0.599279, -140.880636
   0.603386, -160.618013
   0.607493, -180.082120
   0.611601, -199.902900
   0.615708, -220.082487
   0.619815, -240.623015
   0.623923, -261.526618
   0.628030, -283.567314
   0.632137, -309.303048
   0.636244, -335.489713
   0.640352, -362.129979
   0.644459, -389.226521
   0.648566, -416.782009
   0.652674, -444.799118
   0.656781, -473.280520
   0.660888, -502.228887
   0.664996, -531.646892
   0.669103, -561.537207
   0.673210, -591.902506
   0.677317, -622.745460
   0.681425, -654.068744
   0.685532, -685.875028
   0.689639, -718.166986
   0.693747, -751.527334
   0.697854, -788.879037
   0.701961, -826.967818
   0.706069, -866.268864
   0.710176, -906.153883
   0.714283, -946.634057
   0.718390, -987.731221
   0.722498, -1029.479112
   0.726605, -1071.924572
   0.730712, -1115.128811
   0.734820, -1159.168710
   0.738927, -1204.138177
   0.743034, -1249.928150
   0.747142, -1296.744704
   0.751249, -1344.884977
   0.755356, -1394.525607
   0.759463, -1445.867833
   0.763571, -1499.139172
   0.767678, -1554.595151
   0.771785, -1612.521095
   0.775893, -1673.233971
   0.780000, -1737.084293
