Ground Distance, Angles
   0.000000,   -3.000000
  34.569533,   -2.986396
  69.135709,   -2.986820
 103.696730,   -2.987663
 138.252467,   -2.988935
 172.803174,   -2.989805
 207.348722,   -2.990261
 241.889276,   -2.989864
 276.424706,   -2.988591
 310.955040,   -2.988177
 345.480147,   -2.988646
 380.000237,   -2.989504
 414.515182,   -2.990760
 449.025231,   -2.991585
 483.530259,   -2.991967
 518.030434,   -2.992673
 552.525632,   -2.993710
 587.016054,   -2.994316
 621.501578,   -2.994482
 655.982371,   -2.995040
 690.458314,   -2.996002
 724.929602,   -2.996485
 759.396116,   -2.996479
 793.857996,   -2.996768
 828.315123,   -2.997359
 862.767692,   -2.998205
 897.215586,   -2.999313
 931.659000,   -2.999922
 966.097819,   -3.000020
1000.532195,   -3.000446
1034.962012,   -3.001208
1069.387454,   -3.000974
1103.808407,   -2.999717
1138.224875,   -2.999183
1172.636743,   -2.999389
1207.044175,   -2.999922
1241.447058,   -3.000791
1275.845568,   -3.001120
1310.239593,   -3.000894
1344.629244,   -3.000906
1379.014408,   -3.001163
1413.395241,   -3.001723
1447.771634,   -3.002594
1482.143789,   -3.003676
1516.511597,   -3.004975
1550.875279,   -3.005665
1585.234730,   -3.005731
1619.590060,   -3.006053
1653.941165,   -3.006637
1688.288215,   -3.007458
1722.631106,   -3.008524
1756.970016,   -3.008957
1791.304844,   -3.008740
1825.635683,   -3.008673
1859.962431,   -3.008758
1894.285216,   -3.009062
1928.603935,   -3.009591
1962.918749,   -3.010324
1997.229558,   -3.011267
2031.536553,   -3.012293
2065.839638,   -3.013404
2100.138976,   -3.013848
2134.434473,   -3.013606
2168.726220,   -3.013535
2203.014121,   -3.013639
2237.298293,   -3.013907
2271.578639,   -3.014345
2305.855302,   -3.014935
2340.128189,   -3.015682
2374.397465,   -3.016563
2408.663039,   -3.017581
2442.925097,   -3.018711
2477.183549,   -3.019954
2511.438595,   -3.021212
2545.690148,   -3.022485
2579.938393,   -3.022956
2614.183245,   -3.022606
2648.424747,   -3.022332
2682.662812,   -3.022137
2716.897517,   -3.022020
2751.128773,   -3.021985
2785.356671,   -3.022028
2819.581123,   -3.022152
2853.802231,   -3.022350
2888.019910,   -3.022624
2922.234273,   -3.022966
2956.445234,   -3.023376
2990.652919,   -3.023845
3024.857242,   -3.024373
3059.058336,   -3.024947
3093.256118,   -3.025569
3127.450725,   -3.026223
3161.642077,   -3.026910
3195.830314,   -3.027616
3230.015357,   -3.028340
3264.197346,   -3.029068
3298.376205,   -3.029798
3332.552072,   -3.030518
3366.724871,   -3.031225
3400.894737,   -3.031908
3435.061595,   -3.032564
3469.225572,   -3.033182
3503.386597,   -3.033761
3537.544787,   -3.034291
3571.700071,   -3.034771
3605.852558,   -3.035194
3640.002177,   -3.035559
3674.149025,   -3.035860
3708.293033,   -3.036097
3742.434287,   -3.036267
3776.572715,   -3.036370
3810.708394,   -3.036406
3844.841252,   -3.036373
3878.971354,   -3.036277
3913.098627,   -3.036115
3947.223127,   -3.035893
3981.344780,   -3.035612
4015.463631,   -3.035278
4049.579609,   -3.034892
4083.692749,   -3.034464
4117.802979,   -3.033992
4151.910329,   -3.033489
4186.014725,   -3.032954
4220.116195,   -3.032400
4254.214663,   -3.031826
4288.310156,   -3.031245
4322.402597,   -3.030658
4356.492012,   -3.030076
4390.578324,   -3.029501
4424.661564,   -3.028943
4458.741651,   -3.028404
4492.818622,   -3.027893
4526.892396,   -3.027413
4560.963014,   -3.026971
4595.030397,   -3.026568
4629.094592,   -3.026212
4663.155520,   -3.025903
4697.213239,   -3.025646
4731.267666,   -3.025442
4765.318870,   -3.025293
4799.366768,   -3.025201
4833.411440,   -3.025166
4867.452802,   -3.025188
4901.490942,   -3.025265
4935.525778,   -3.025398
4969.557407,   -3.025582
5003.585748,   -3.025819
5037.610904,   -3.026101
5071.632796,   -3.026430
5105.651534,   -3.026797
5139.667038,   -3.027203
5173.679425,   -3.027638
5207.688616,   -3.028102
5241.694730,   -3.028586
5275.697690,   -3.029089
5309.697617,   -3.029601
5343.694433,   -3.030121
5377.688261,   -3.030639
5411.679024,   -3.031155
5445.666841,   -3.031659
5479.651637,   -3.032150
5513.633527,   -3.032619
5547.612438,   -3.033065
5581.588479,   -3.033481
5615.561578,   -3.033865
5649.531837,   -3.034212
5683.499185,   -3.034521
5717.463717,   -3.034786
5751.425360,   -3.035008
5785.384204,   -3.035184
5819.340176,   -3.035313
5853.293356,   -3.035394
5887.243673,   -3.035427
5921.191197,   -3.035413
5955.135857,   -3.035351
5989.077716,   -3.035245
6023.016704,   -3.035094
6056.952875,   -3.034903
6090.886158,   -3.034672
6124.816603,   -3.034407
6158.744138,   -3.034107
6192.668807,   -3.033782
6226.590538,   -3.033429
6260.509373,   -3.033058
6294.425237,   -3.032668
6328.338171,   -3.032269
6362.248100,   -3.031861
6396.155064,   -3.031452
6430.058988,   -3.031044
6463.959913,   -3.030643
6497.857762,   -3.030252
6531.752580,   -3.029877
6565.644289,   -3.029519
6599.532938,   -3.029186
6633.418449,   -3.028877
6667.300876,   -3.028599
6701.180140,   -3.028352
6735.056301,   -3.028140
6768.929279,   -3.027965
6802.799143,   -3.027827
6836.665811,   -3.027729
6870.529358,   -3.027671
6904.389705,   -3.027653
6938.246931,   -3.027675
6972.100958,   -3.027738
7005.951873,   -3.027839
7039.799596,   -3.027978
7073.644221,   -3.028151
7107.485669,   -3.028360
7141.324038,   -3.028598
7175.159251,   -3.028866
7208.991409,   -3.029158
7242.820435,   -3.029473
7276.646436,   -3.029806
7310.469332,   -3.030155
7344.289233,   -3.030514
7378.106062,   -3.030882
7411.919926,   -3.031252
7445.730751,   -3.031624
7479.538642,   -3.031990
7513.343525,   -3.032350
7547.145505,   -3.032697
7580.944507,   -3.033031
7614.740633,   -3.033345
7648.533809,   -3.033640
7682.324132,   -3.033910
7716.111529,   -3.034154
7749.896093,   -3.034369
7783.677750,   -3.034555
7817.456587,   -3.034709
7851.232532,   -3.034830
7885.005664,   -3.034917
7918.775912,   -3.034970
7952.543351,   -3.034990
7986.307908,   -3.034976
8020.069652,   -3.034929
8053.828510,   -3.034849
8087.584547,   -3.034740
8121.337689,   -3.034600
8155.087997,   -3.034435
8188.835396,   -3.034244
8222.579942,   -3.034032
8256.321563,   -3.033799
8290.060309,   -3.033551
8323.796108,   -3.033288
8357.529011,   -3.033016
8391.258943,   -3.032734
8424.985953,   -3.032451
8458.709969,   -3.032165
8492.431039,   -3.031883
8526.149089,   -3.031605
8559.864172,   -3.031337
8593.576211,   -3.031079
8627.285260,   -3.030837
8660.991245,   -3.030610
8694.694223,   -3.030404
8728.394118,   -3.030219
8762.090991,   -3.030058
8795.784767,   -3.029921
8829.475512,   -3.029812
8863.163149,   -3.029729
8896.847750,   -3.029674
8930.529237,   -3.029649
8964.207688,   -3.029651
8997.883026,   -3.029683
9031.555331,   -3.029741
9065.224528,   -3.029828
9098.890701,   -3.029940
9132.553775,   -3.030078
9166.213839,   -3.030238
9199.870816,   -3.030420
9233.524801,   -3.030620
9267.175716,   -3.030839
9300.823657,   -3.031071
9334.468550,   -3.031316
9368.110490,   -3.031569
9401.749402,   -3.031831
9435.385385,   -3.032095
9469.018363,   -3.032362
9502.648435,   -3.032626
9536.275524,   -3.032888
9569.899728,   -3.033141
9603.520973,   -3.033386
9637.139353,   -3.033619
9670.754794,   -3.033838
9704.367387,   -3.034041
9737.977059,   -3.034227
9771.583898,   -3.034393
9805.187832,   -3.034538
9838.788942,   -3.034662
9872.387159,   -3.034762
9905.982559,   -3.034839
9939.575073,   -3.034891
9973.164774,   -3.034920
10006.751590,   -3.034924
10040.335593,   -3.034905
10073.916710,   -3.034862
10107.495008,   -3.034798
10141.070416,   -3.034712
10174.642996,   -3.034607
10208.212677,   -3.034483
10241.779519,   -3.034344
10275.343450,   -3.034189
10308.904527,   -3.034022
10342.462680,   -3.033843
10376.017964,   -3.033658
10409.570306,   -3.033465
10443.119763,   -3.033269
10476.666262,   -3.033071
10510.209859,   -3.032875
10543.750480,   -3.032681
10577.288183,   -3.032493
10610.822895,   -3.032312
10644.354673,   -3.032141
10677.883445,   -3.031981
10711.409271,   -3.031835
10744.932077,   -3.031703
10778.451927,   -3.031588
10811.968747,   -3.031490
10845.482604,   -3.031410
10878.993423,   -3.031349
10912.501276,   -3.031309
10946.006086,   -3.031289
10979.507930,   -3.031288
11013.006732,   -3.031309
11046.502570,   -3.031349
11079.995368,   -3.031409
11113.485209,   -3.031487
11146.972017,   -3.031583
11180.455877,   -3.031696
11213.936714,   -3.031825
11247.414614,   -3.031967
11280.889502,   -3.032122
11314.361468,   -3.032287
11347.830437,   -3.032463
11381.296499,   -3.032644
11414.759580,   -3.032832
11448.219769,   -3.033022
11481.676993,   -3.033214
11515.131343,   -3.033405
11548.582744,   -3.033594
11582.031286,   -3.033778
11615.476896,   -3.033957
11648.919661,   -3.034126
11682.359510,   -3.034287
11715.796526,   -3.034437
11749.230639,   -3.034574
11782.661931,   -3.034697
11816.090331,   -3.034807
11849.515917,   -3.034900
11882.938620,   -3.034977
11916.358515,   -3.035038
11949.775532,   -3.035081
11983.189744,   -3.035108
12016.601080,   -3.035117
12050.009612,   -3.035109
12083.415267,   -3.035085
12116.818114,   -3.035046
12150.218082,   -3.034990
12183.615236,   -3.034922
12217.009505,   -3.034840
12250.400954,   -3.034746
12283.789509,   -3.034641
12317.175233,   -3.034528
12350.558055,   -3.034407
12383.938036,   -3.034280
12417.315102,   -3.034148
12450.689317,   -3.034014
12484.060606,   -3.033878
12517.429031,   -3.033743
12550.794519,   -3.033610
12584.157131,   -3.033481
12617.516796,   -3.033357
12650.873575,   -3.033240
12684.227396,   -3.033131
12717.578322,   -3.033031
12750.926281,   -3.032941
12784.271340,   -3.032864
12817.613423,   -3.032798
12850.952602,   -3.032746
12884.288801,   -3.032707
12917.622092,   -3.032682
12950.952401,   -3.032672
12984.279802,   -3.032676
13017.604222,   -3.032694
13050.925736,   -3.032727
13084.244271,   -3.032773
13117.559905,   -3.032832
13150.872565,   -3.032905
13184.182332,   -3.032989
13217.489131,   -3.033084
13250.793045,   -3.033189
13284.094001,   -3.033303
13317.392082,   -3.033424
13350.687215,   -3.033552
13383.979484,   -3.033684
13417.268817,   -3.033821
13450.555298,   -3.033959
13483.838855,   -3.034098
13517.119571,   -3.034237
13550.397375,   -3.034374
13583.672350,   -3.034507
13616.944425,   -3.034637
13650.213681,   -3.034760
13683.480048,   -3.034876
13716.743606,   -3.034984
13750.004283,   -3.035084
13783.262160,   -3.035173
13816.517164,   -3.035253
13849.769374,   -3.035321
13883.018717,   -3.035378
13916.265270,   -3.035422
13949.508961,   -3.035455
13982.749863,   -3.035475
14015.987905,   -3.035483
14049.223158,   -3.035480
14082.455551,   -3.035465
14115.685153,   -3.035439
14148.911894,   -3.035402
14182.135839,   -3.035355
14215.356919,   -3.035299
14248.575199,   -3.035235
14281.790608,   -3.035163
14315.003211,   -3.035086
14348.212935,   -3.035003
14381.419846,   -3.034917
14414.623872,   -3.034827
14447.825076,   -3.034736
14481.023388,   -3.034643
14514.218870,   -3.034552
14547.411451,   -3.034463
14580.601195,   -3.034376
14613.788031,   -3.034294
14646.972023,   -3.034216
14680.153100,   -3.034145
14713.331328,   -3.034080
14746.506635,   -3.034023
14779.679088,   -3.033974
14812.848616,   -3.033934
14846.015288,   -3.033904
14879.179031,   -3.033883
14912.339917,   -3.033872
14945.497873,   -3.033872
14978.652973,   -3.033882
15011.805144,   -3.033902
15044.954461,   -3.033932
15078.100850,   -3.033972
