Time, Acceleration
   0.000000,    2.820599
   0.500000,    2.804012
   1.000000,    2.787406
   1.500000,    2.770711
   2.000000,    2.753990
   2.500000,    2.737190
   3.000000,    2.720368
   3.500000,    2.703475
   4.000000,    2.686563
   4.500000,    2.669590
   5.000000,    2.652600
   5.500000,    2.635559
   6.000000,    2.618503
   6.500000,    2.601406
   7.000000,    2.584296
   7.500000,    2.567153
   8.000000,    2.550001
   8.500000,    2.532824
   9.000000,    2.515640
   9.500000,    2.498440
  10.000000,    2.481236
  10.500000,    2.464024
  11.000000,    2.446810
  11.500000,    2.429596
  12.000000,    2.412382
  12.500000,    2.395502
  13.000000,    2.378717
  13.500000,    2.363775
  14.000000,    2.349360
  14.500000,    2.334720
  15.000000,    2.320016
  15.500000,    2.305288
  16.000000,    2.290553
  16.500000,    2.275801
  17.000000,    2.261044
  17.500000,    2.246276
  18.000000,    2.231505
  18.500000,    2.216730
  19.000000,    2.201954
  19.500000,    2.187179
  20.000000,    2.172405
  20.500000,    2.158531
  21.000000,    2.144915
  21.500000,    2.131476
  22.000000,    2.118089
  22.500000,    2.104646
  23.000000,    2.091187
  23.500000,    2.077725
  24.000000,    2.064262
  24.500000,    2.050802
  25.000000,    2.037343
  25.500000,    2.023892
  26.000000,    2.010443
  26.500000,    1.997006
  27.000000,    1.983574
  27.500000,    1.970158
  28.000000,    1.956748
  28.388923,    1.946416
  28.888923,    1.933973
  29.388923,    1.922994
  29.888923,    1.913184
  30.388923,    1.897971
  30.888923,    1.878438
  31.388923,    1.854873
  31.888923,    1.828083
  32.111100,    1.816179
  32.611100,    1.471741
  32.958167,    1.232655
  33.458167,    0.956776
  33.958167,    0.718376
  34.458167,    0.477181
  34.674151,    0.372992
  35.174151,    0.130260
  35.674151,   -0.112379
  35.740661,   -0.144655
  36.240661,    0.000399
  36.740661,   -0.001974
  37.240661,   -0.001919
  37.740661,    0.000525
  38.240661,    0.001985
  38.363141,    0.002342
  38.863141,    0.000696
  39.363141,    0.000023
  39.863141,    0.000216
  40.363141,    0.000465
  40.863141,    0.000766
  41.363141,    0.000839
  41.863141,    0.000712
  42.363141,    0.000681
  42.863141,    0.000736
  43.363141,    0.000785
  43.863141,    0.000830
  44.363141,    0.000782
  44.863141,    0.000651
  45.363141,    0.000906
  45.863141,    0.001502
  46.363141,    0.001163
  46.674151,    0.000436
  47.174151,    0.001586
  47.674151,   -0.001136
  48.174151,   -0.002792
  48.674151,    0.001500
  49.174151,    0.003036
  49.674151,    0.001084
  50.174151,    0.000824
  50.674151,    0.000848
  51.174151,    0.000719
  51.674151,    0.000564
  52.174151,   -0.000612
  52.674151,   -0.001959
  53.174151,   -0.000385
  53.674151,    0.001678
  54.174151,    0.001390
  54.674151,    0.000781
  55.174151,   -0.000591
  55.674151,   -0.002068
  56.174151,   -0.002224
  56.674151,   -0.002199
  57.174151,   -0.000279
  57.674151,    0.001847
  58.174151,    0.001398
  58.674151,    0.000796
  59.174151,    0.000816
  59.674151,    0.000875
  60.174151,    0.000777
  60.674151,    0.000671
  61.174151,    0.001240
  61.674151,    0.001849
  62.174151,    0.001368
  62.674151,    0.000821
  63.174151,   -0.000671
  63.674151,   -0.002220
  64.174151,   -0.000848
  64.674151,    0.000699
  65.174151,    0.000711
  65.674151,    0.000667
  66.174151,    0.000654
  66.674151,    0.000641
  67.174151,    0.000773
  67.674151,    0.000909
  68.174151,    0.000743
  68.674151,    0.000566
  69.174151,    0.001223
  69.674151,    0.001909
  70.174151,    0.001344
  70.674151,    0.000734
  71.174151,   -0.000688
  71.674151,   -0.002139
  72.174151,   -0.002138
  72.674151,   -0.002085
  73.174151,   -0.000096
  73.674151,    0.001851
  74.174151,    0.001261
  74.674151,    0.000649
  75.174151,   -0.000790
  75.674151,   -0.002190
  76.174151,   -0.002130
  76.674151,   -0.001978
  77.174151,    0.000064
  77.674151,    0.001882
  78.174151,    0.001281
  78.674151,    0.000717
  79.174151,    0.000542
  79.674151,    0.000402
  80.174151,    0.000653
  80.674151,    0.000874
  81.174151,    0.000785
  81.674151,    0.000612
  82.174151,    0.000462
  82.674151,    0.000755
  83.174151,    0.001397
  83.674151,    0.001984
  84.174151,    0.001964
  84.674151,    0.001893
  85.174151,    0.001262
  85.674151,    0.000687
  86.174151,    0.000720
  86.674151,    0.000742
  87.174151,    0.000646
  87.674151,    0.000616
  88.174151,    0.001312
  88.674151,    0.001900
  89.174151,    0.001315
  89.674151,    0.000649
  90.174151,   -0.000912
  90.674151,   -0.002345
