Time, Horizontal Forces
   0.000000,    0.000000
   0.500000,   18.989692
   1.000000,   42.779128
   1.500000,   96.053285
   2.000000,  157.750565
   2.500000,  247.858408
   3.000000,  346.082510
   3.500000,  471.647928
   4.000000,  605.024147
   4.500000,  764.678885
   5.000000,  931.840806
   5.500000, 1124.226367
   6.000000, 1323.817755
   6.500000, 1547.587205
   7.000000, 1778.263786
   7.500000, 2032.083471
   8.000000, 2292.514622
   8.500000, 2575.065777
   9.000000, 2863.936120
   9.500000, 3173.916382
  10.000000, 3489.927275
  10.500000, 3826.052105
  11.000000, 4167.923035
  11.500000, 4528.927032
  12.000000, 4895.396916
  12.500000, 5280.053354
  13.000000, 5669.905282
  13.500000, 6077.503630
  14.000000, 6490.171732
  14.500000, 6919.941721
  15.000000, 7354.597336
  15.500000, 7805.551494
  16.000000, 8261.161780
  16.500000, 8732.277688
  17.000000, 9207.823204
  17.500000, 9698.092606
  18.000000, 10192.568292
  18.500000, 10700.998021
  19.000000, 11213.414108
  19.500000, 11739.026949
  20.000000, 12268.409807
  20.500000, 12810.468709
  21.000000, 13356.148871
  21.500000, 13914.115404
  22.000000, 14475.591877
  22.500000, 15048.690652
  23.000000, 15625.109657
  23.500000, 16212.493569
  24.000000, 16803.009909
  24.500000, 17403.844913
  25.000000, 18007.627727
  25.500000, 18621.094579
  26.000000, 19237.327944
  26.500000, 19862.622764
  27.000000, 20490.506239
  27.500000, 21126.841018
  28.000000, 21765.590145
  28.388923, 22266.082546
  28.888923, 23169.306607
  29.388923, 24314.411705
  29.888923, 25652.950857
  30.388923, 27372.191608
  30.888923, 29395.882240
  31.388923, 31627.344256
  31.888923, 34024.962582
  32.111100, 35090.354160
  32.611100, 44380.030117
  32.958167, 50828.309660
  33.458167, 51546.978061
  33.958167, 52053.569116
  34.458167, 52446.055363
  34.674151, 52615.596787
  35.174151, 52679.470387
  35.674151, 52718.970142
  35.740661, 52724.224393
  36.240661, 37867.123865
  36.740661, 35480.043244
  37.240661, 34613.128843
  37.740661, 34347.106791
  38.240661, 34273.048598
  38.363141, 34254.907316
  38.863141, 34218.708359
  39.363141, 34199.776860
  39.863141, 34196.169252
  40.363141, 34197.738423
  40.863141, 34203.901690
  41.363141, 34204.933657
  41.863141, 34201.411885
  42.363141, 34197.894339
  42.863141, 34194.380541
  43.363141, 34195.975967
  43.863141, 34202.105538
  44.363141, 34198.019120
  44.863141, 34184.866591
  45.363141, 34176.878029
  45.863141, 34173.472195
  46.363141, 34195.087397
  46.674151, 34222.344300
  47.174151, 34220.323206
  47.674151, 34206.817931
  48.174151, 34193.649283
  48.674151, 34182.361037
  49.174151, 34176.715842
  49.674151, 34178.213587
  50.174151, 34183.592612
  50.674151, 34189.621733
  51.174151, 34179.258480
  51.674151, 34166.149584
  52.174151, 34161.126378
  52.674151, 34157.457487
  53.174151, 34162.406812
  53.674151, 34168.799646
  54.174151, 34166.457874
  54.674151, 34162.921908
  55.174151, 34159.254896
  55.674151, 34155.569967
  56.174151, 34152.068576
  56.674151, 34148.592278
  57.174151, 34154.167634
  57.674151, 34160.719579
  58.174151, 34157.711189
  58.674151, 34154.128908
  59.174151, 34159.470966
  59.674151, 34165.348737
  60.174151, 34153.422345
  60.674151, 34140.427199
  61.174151, 34145.282802
  61.674151, 34151.209956
  62.174151, 34148.163710
  62.674151, 34144.578804
  63.174151, 34140.848996
  63.674151, 34137.110489
  64.174151, 34142.644347
  64.674151, 34148.734809
  65.174151, 34145.453011
  65.674151, 34141.836588
  66.174151, 34138.237740
  66.674151, 34134.639520
  67.174151, 34140.080178
  67.674151, 34145.843557
  68.174151, 34133.579150
  68.674151, 34120.671086
  69.174151, 34125.846917
  69.674151, 34131.668410
  70.174151, 34128.409840
  70.674151, 34124.827078
  71.174151, 34121.102584
  71.674151, 34117.373030
  72.174151, 34113.836126
  72.674151, 34110.306101
  73.174151, 34116.462221
  73.674151, 34122.493906
  74.174151, 34118.885368
  74.674151, 34115.273247
  75.174151, 34111.523780
  75.674151, 34107.779454
  76.174151, 34104.232114
  76.674151, 34101.140432
  77.174151, 34107.362976
  77.674151, 34113.791234
  78.174151, 34122.448898
  78.674151, 34129.398395
  79.174151, 34117.835747
  79.674151, 34108.064648
  80.174151, 34117.709331
  80.674151, 34126.461487
  81.174151, 34125.540935
  81.674151, 34127.371767
  82.174151, 34130.976208
  82.674151, 34122.849796
  83.174151, 34122.032342
  83.674151, 34122.098721
