Time, Emission H2O
   0.000000,    0.179148
   0.100000,  179.167344
   0.200000,  358.499094
   0.300000,  537.851101
   0.400000,  717.203108
   0.500000,  896.555115
   0.600000, 1075.907123
   0.700000, 1255.259130
   0.800000, 1434.611137
   0.900000, 1613.963144
   1.000000, 1793.315151
   1.100000, 1972.667159
   1.200000, 2152.282641
   1.300000, 2331.931020
   1.400000, 2511.579399
   1.500000, 2691.227779
   1.600000, 2870.876158
   1.700000, 3050.524537
   1.800000, 3230.172916
   1.900000, 3409.821296
   2.000000, 3589.469675
   2.100000, 3769.118054
   2.200000, 3948.986012
   2.300000, 4128.881386
   2.400000, 4308.776759
   2.500000, 4488.672133
   2.600000, 4668.567507
   2.700000, 4848.462881
   2.800000, 5028.358255
   2.900000, 5208.253629
   3.000000, 5388.149002
   3.100000, 5568.044376
   3.200000, 5748.116873
   3.300000, 5928.211485
   3.400000, 6108.306097
   3.500000, 6288.400710
   3.600000, 6468.495322
   3.700000, 6648.589934
   3.800000, 6828.684546
   3.900000, 7008.779159
   4.000000, 7188.873771
   4.100000, 7368.968383
   4.200000, 7549.199099
   4.300000, 7729.446810
   4.400000, 7909.694520
   4.500000, 8089.942231
   4.600000, 8270.189941
   4.700000, 8450.437651
   4.800000, 8630.685362
   4.900000, 8810.933072
   5.000000, 8991.180782
   5.100000, 9171.428493
   5.200000, 9351.772718
   5.300000, 9532.128994
   5.400000, 9712.485271
   5.500000, 9892.841547
   5.600000, 10073.197823
   5.700000, 10253.554100
   5.800000, 10433.910376
   5.900000, 10614.266652
   6.000000, 10794.622929
   6.100000, 10974.979205
   6.200000, 11155.393828
   6.300000, 11335.815736
   6.400000, 11516.237644
   6.500000, 11696.659552
   6.600000, 11877.081460
   6.700000, 12057.503368
   6.800000, 12237.925276
   6.900000, 12418.347184
   7.000000, 12598.769092
   7.100000, 12779.191000
   7.200000, 12959.634496
   7.300000, 13140.080687
   7.400000, 13320.526879
   7.500000, 13500.973070
   7.600000, 13681.419262
   7.700000, 13861.865453
   7.800000, 14042.311645
   7.900000, 14222.757836
   8.000000, 14403.204028
   8.100000, 14583.650219
   8.200000, 14764.082637
   8.300000, 14944.513336
   8.400000, 15124.944034
   8.500000, 15305.374733
   8.600000, 15485.805431
   8.700000, 15666.236130
   8.800000, 15846.666829
   8.900000, 16027.097527
   9.000000, 16207.528226
   9.100000, 16387.958924
   9.200000, 16568.341871
   9.300000, 16748.718857
   9.400000, 16929.095842
   9.500000, 17109.472827
   9.600000, 17289.849812
   9.700000, 17470.226797
   9.800000, 17650.603782
   9.900000, 17830.980767
  10.000000, 18011.357753
  10.100000, 18191.734738
  10.200000, 18372.031361
  10.300000, 18552.317951
  10.400000, 18732.604541
  10.500000, 18912.891130
  10.600000, 19093.177720
  10.700000, 19273.464309
  10.800000, 19453.750899
  10.900000, 19634.037489
  11.000000, 19814.324078
  11.100000, 19994.610668
  11.200000, 20174.785636
  11.300000, 20354.946667
  11.400000, 20535.107698
  11.500000, 20715.268730
  11.600000, 20895.429761
  11.700000, 21075.590792
  11.800000, 21255.751823
  11.900000, 21435.912854
  12.000000, 21616.073885
  12.100000, 21796.234916
  12.200000, 21976.255984
  12.300000, 22156.259577
  12.400000, 22336.263169
  12.500000, 22516.266762
  12.600000, 22696.270354
  12.700000, 22876.273947
  12.800000, 23056.277539
  12.900000, 23236.281132
  13.000000, 23416.284724
  13.100000, 23596.288316
  13.200000, 23776.328643
  13.300000, 23956.373556
  13.400000, 24136.418469
  13.500000, 24316.463383
  13.600000, 24496.508296
  13.700000, 24676.553209
  13.800000, 24856.598122
  13.900000, 25036.643035
  14.000000, 25216.687948
  14.100000, 25396.732862
  14.200000, 25576.966029
  14.300000, 25757.222702
  14.400000, 25937.479375
  14.500000, 26117.736048
  14.600000, 26297.992721
  14.700000, 26478.249395
  14.800000, 26658.506068
  14.900000, 26838.762741
  15.000000, 27019.019414
  15.100000, 27199.276087
  15.200000, 27379.693576
  15.300000, 27560.131146
  15.400000, 27740.568715
  15.500000, 27921.006284
  15.600000, 28101.443853
  15.700000, 28281.881423
  15.800000, 28462.318992
  15.900000, 28642.756561
  16.000000, 28823.194130
  16.100000, 29003.631699
  16.200000, 29184.203575
  16.300000, 29364.792220
  16.400000, 29545.380866
  16.500000, 29725.969511
  16.600000, 29906.558156
  16.700000, 30087.146802
  16.800000, 30267.735447
  16.900000, 30448.324092
  17.000000, 30628.912737
  17.100000, 30809.501383
  17.200000, 30990.198744
  17.300000, 31170.909680
  17.400000, 31351.620615
  17.500000, 31532.331551
  17.600000, 31713.042486
  17.700000, 31893.753422
  17.800000, 32074.464357
  17.900000, 32255.175293
  18.000000, 32435.886229
  18.100000, 32616.597164
  18.200000, 32797.392136
  18.300000, 32978.197600
  18.400000, 33159.003064
  18.500000, 33339.808528
  18.600000, 33520.613992
  18.700000, 33701.419456
  18.800000, 33882.224921
  18.900000, 34063.030385
  19.000000, 34243.835849
  19.100000, 34424.641313
  19.200000, 34605.507033
  19.300000, 34786.380277
  19.400000, 34967.253521
  19.500000, 35148.126765
  19.600000, 35329.000008
  19.700000, 35509.873252
  19.800000, 35690.746496
  19.900000, 35871.619740
  20.000000, 36052.492984
  20.100000, 36233.366227
  20.200000, 36414.318673
  20.300000, 36595.281009
  20.400000, 36776.243344
  20.500000, 36957.205679
  20.600000, 37138.168014
  20.700000, 37319.130349
  20.800000, 37500.092685
  20.900000, 37681.055020
  21.000000, 37862.017355
  21.100000, 38042.979690
  21.200000, 38224.152817
  21.300000, 38405.352263
  21.400000, 38586.551709
  21.500000, 38767.751155
  21.600000, 38948.950601
  21.700000, 39130.150047
  21.800000, 39311.349493
  21.900000, 39492.548939
  22.000000, 39673.748385
  22.100000, 39854.947831
  22.200000, 40036.364442
  22.300000, 40217.808167
  22.400000, 40399.251892
  22.500000, 40580.695617
  22.600000, 40762.139343
  22.700000, 40943.583068
  22.800000, 41125.026793
  22.900000, 41306.470518
  23.000000, 41487.914244
  23.100000, 41669.357969
  23.200000, 41850.997590
  23.300000, 42032.661670
  23.400000, 42214.325750
  23.500000, 42395.989830
  23.600000, 42577.653910
  23.700000, 42759.317990
  23.800000, 42940.982070
  23.900000, 43122.646150
  24.000000, 43304.310230
  24.100000, 43485.974310
  24.200000, 43667.813714
  24.300000, 43849.675008
  24.400000, 44031.536302
  24.500000, 44213.397596
  24.600000, 44395.258891
  24.700000, 44577.120185
  24.800000, 44758.981479
  24.900000, 44940.842773
  25.000000, 45122.704068
  25.100000, 45304.565362
  25.200000, 45486.582097
  25.300000, 45668.618240
  25.400000, 45850.654383
  25.500000, 46032.690526
  25.600000, 46214.726669
  25.700000, 46396.762812
  25.800000, 46578.798955
  25.900000, 46760.835097
  26.000000, 46942.871240
  26.100000, 47124.907383
  26.200000, 47307.079765
  26.300000, 47489.269158
  26.400000, 47671.458550
  26.500000, 47853.647943
  26.600000, 48035.837335
  26.700000, 48218.026727
  26.800000, 48400.216120
  26.900000, 48582.405512
  27.000000, 48764.594905
  27.100000, 48946.784297
  27.200000, 49129.091399
  27.300000, 49311.413199
  27.400000, 49493.734998
  27.500000, 49676.056797
  27.600000, 49858.378596
  27.700000, 50040.700396
  27.800000, 50223.022195
