V (EAS), 
 149.852423,    0.000000
 149.852423,    1.000000
 159.528541,    1.133399
 169.204659,    1.275061
 178.880777,    1.425061
 188.556895,    1.583401
 198.233013,    1.750081
 207.909131,    1.925100
 217.585249,    2.108459
 227.261367,    2.300157
 236.937485,    2.500000
 459.756388,    2.500000
 574.695485,    2.500000
 574.695485,    0.000000
 459.756388,   -1.000000
 186.865431,   -1.000000
 186.865431,   -1.000078
 186.865431,   -1.000078
 186.865431,   -1.000078
 186.865431,   -1.000078
 186.865431,   -1.000078
 186.865431,   -1.000078
 186.865431,   -1.000078
 186.865431,   -1.000078
 186.865431,   -1.000078
 186.865431,   -1.000000
 186.865431,    0.000000
