Speed (CAS), Climb Angle
 143.739313,    1.154058
 145.933700,    1.215023
 148.128086,    1.271204
 150.322472,    1.322882
 152.516858,    1.370034
 154.711244,    1.412384
 156.905631,    1.450621
 159.100017,    1.485053
 161.294403,    1.515823
 163.488789,    1.543383
 165.683175,    1.567771
 167.877562,    1.588871
 170.071948,    1.607275
 172.266334,    1.623274
 174.460720,    1.637249
 176.655106,    1.649158
 178.849493,    1.658079
 181.043879,    1.665164
 183.238265,    1.671243
 185.432651,    1.673997
 187.627038,    1.675781
 189.821424,    1.675788
 192.015810,    1.673160
 194.210196,    1.669885
 196.404582,    1.662728
 198.598969,    1.655160
 200.793355,    1.643730
 202.987741,    1.631730
 205.182127,    1.615753
 207.376513,    1.599181
 209.570900,    1.579161
 211.765286,    1.558266
 213.959672,    1.535841
 216.154058,    1.512563
 218.348444,    1.490040
 220.542831,    1.467850
 222.737217,    1.446032
 224.931603,    1.429613
 227.125989,    1.410755
 229.320375,    1.396064
 231.514762,    1.380665
 233.709148,    1.364410
 235.903534,    1.348330
 238.097920,    1.332296
 240.292306,    1.313235
 242.486693,    1.293820
 244.681079,    1.274114
 246.875465,    1.253005
 249.069851,    1.229767
 251.264237,    1.206271
 253.458624,    1.182467
 255.653010,    1.157393
 257.847396,    1.130329
 260.041782,    1.103032
 262.236168,    1.075501
 264.430555,    1.047736
 266.624941,    1.017323
 268.819327,    0.986404
 271.013713,    0.955236
 273.208100,    0.923814
 275.402486,    0.892137
 277.596872,    0.857984
 279.791258,    0.823209
 281.985644,    0.788158
 284.180031,    0.752829
 286.374417,    0.717223
 288.568803,    0.681037
 290.763189,    0.642420
 292.957575,    0.603507
 295.151962,    0.564298
 297.346348,    0.524794
 299.540734,    0.484993
 301.735120,    0.444897
 303.929506,    0.403330
 306.123893,    0.360298
 308.318279,    0.316952
 310.512665,    0.273294
 312.707051,    0.229323
 314.901437,    0.185038
 317.095824,    0.140441
 319.290210,    0.095530
 321.484596,    0.048641
 323.678982,    0.000884
 325.873368,   -0.047203
 328.067755,   -0.095617
 330.262141,   -0.144361
 332.456527,   -0.193433
 334.650913,   -0.242833
 336.845299,   -0.292562
 339.039686,   -0.342621
 341.234072,   -0.394071
 343.428458,   -0.446869
 345.622844,   -0.500009
 347.817230,   -0.553492
 350.011617,   -0.607318
 352.206003,   -0.661486
 354.400389,   -0.715997
 356.594775,   -0.770850
 358.789162,   -0.826046
 360.983548,   -0.881585
