Speed, Forces
 211.532799, 17365.917830
 214.270126, 17283.348741
 217.007452, 17200.779653
 219.744778, 17118.210565
 222.482105, 17038.303170
 225.219431, 16958.911174
 227.956757, 16879.519178
 230.694084, 16800.152846
 233.431410, 16724.261529
 236.168736, 16648.370212
 238.906063, 16572.478895
 241.643389, 16496.903335
 244.380715, 16422.797111
 247.118042, 16348.690886
 249.855368, 16274.584661
 252.592694, 16201.219864
 255.330021, 16129.253770
 258.067347, 16057.287676
 260.804673, 15985.321582
 263.542000, 15916.150357
 266.279326, 15849.600803
 269.016652, 15783.051249
 271.753979, 15716.501695
 274.491305, 15655.711938
 277.228631, 15597.564193
 279.965958, 15539.416449
 282.703284, 15481.268704
 285.440610, 15430.238287
 288.177937, 15380.413958
 290.915263, 15330.589629
 293.652589, 15280.874673
 296.389916, 15235.487124
 299.127242, 15190.099575
 301.864568, 15144.712026
 304.601895, 15099.185086
 307.339221, 15053.079787
 310.076547, 15006.974488
 312.813874, 14960.869189
 315.551200, 14913.831905
 318.288526, 14865.164476
 321.025853, 14816.497047
 323.763179, 14767.829617
 326.500505, 14718.721314
 329.237831, 14669.227217
 331.975158, 14619.733120
 334.712484, 14570.239023
 337.449810, 14522.023712
 340.187137, 14474.349010
 342.924463, 14426.674308
 345.661789, 14378.999606
 348.399116, 14333.395470
 351.136442, 14288.094152
 353.873768, 14242.792834
 356.611095, 14197.499994
 359.348421, 14152.400681
 362.085747, 14107.301368
 364.823074, 14062.202054
 367.560400, 14016.925897
 370.297726, 13970.990519
 373.035053, 13925.055142
 375.772379, 13879.119764
 378.509705, 13833.267966
 381.247032, 13787.551912
 383.984358, 13741.835857
 386.721684, 13696.119803
 389.459011, 13650.700452
 392.196337, 13605.523244
 394.933663, 13560.346035
 397.670990, 13515.168826
 400.408316, 13469.959756
 403.145642, 13424.738306
 405.882969, 13379.516856
 408.620295, 13334.295406
 411.357621, 13289.438060
 414.094948, 13244.625837
 416.832274, 13199.813614
 419.569600, 13155.059928
 422.306927, 13111.235097
 425.044253, 13067.410265
 427.781579, 13023.585433
 430.518906, 12979.984967
 433.256232, 12937.140553
 435.993558, 12894.296138
 438.730885, 12851.451724
 441.468211, 12808.931572
 444.205537, 12766.901078
 446.942863, 12724.870585
 449.680190, 12682.840091
 452.417516, 12641.097715
 455.154842, 12599.574521
 457.892169, 12558.051327
 460.629495, 12516.528134
 463.366821, 12475.260376
 466.104148, 12434.083535
 468.841474, 12392.906693
 471.578800, 12351.729852
 474.316127, 12311.386725
 477.053453, 12271.129031
 479.790779, 12230.871337
 482.528106, 12190.746859
