Speed (CAS), Efficiency
 159.068337,   15.258212
 161.794382,   15.568907
 164.520427,   15.871166
 167.246472,   16.162074
 169.972517,   16.439504
 172.698562,   16.705538
 175.424607,   16.959342
 178.150652,   17.200222
 180.876697,   17.427651
 183.602742,   17.641276
 186.328787,   17.840937
 189.054832,   18.026674
 191.780877,   18.198729
 194.506922,   18.357554
 197.232967,   18.503809
 199.959012,   18.631593
 202.685057,   18.746319
 205.411102,   18.849974
 208.137147,   18.939714
 210.863192,   19.012496
 213.589237,   19.077035
 216.315282,   19.125194
 219.041327,   19.161612
 221.767372,   19.188494
 224.493417,   19.198818
 227.219462,   19.203950
 229.945507,   19.190862
 232.671552,   19.174166
 235.397597,   19.140902
 238.123642,   19.102666
 240.849687,   19.052899
 243.575732,   18.993742
 246.301777,   18.931456
 249.027822,   18.852271
 251.753866,   18.772884
 254.479911,   18.683538
 257.205956,   18.585414
 259.932001,   18.487287
 262.658046,   18.377542
 265.384091,   18.262271
 268.110136,   18.147269
 270.836181,   18.024003
 273.562226,   17.893638
 276.288271,   17.763868
 279.014316,   17.633851
 281.740361,   17.490578
 284.466406,   17.348255
 287.192451,   17.206892
 289.918496,   17.063909
 292.644541,   16.911236
 295.370586,   16.759880
 298.096631,   16.609843
 300.822676,   16.461127
 303.548721,   16.303627
 306.274766,   16.146021
 309.000811,   15.990064
 311.726856,   15.835749
 314.452901,   15.683068
 317.178946,   15.522404
 319.904991,   15.362993
 322.631036,   15.205499
 325.357081,   15.049907
 328.083126,   14.896196
 330.809171,   14.741756
 333.535216,   14.583137
 336.261261,   14.426635
 338.987306,   14.272222
 341.713351,   14.119873
 344.439396,   13.969559
 347.165441,   13.821256
 349.891486,   13.669627
 352.617531,   13.518285
 355.343576,   13.369122
 358.069621,   13.222103
 360.795666,   13.077196
 363.521710,   12.934366
 366.247755,   12.793583
 368.973800,   12.654813
 371.699845,   12.512421
 374.425890,   12.372099
 377.151935,   12.233898
 379.877980,   12.097781
 382.604025,   11.963711
 385.330070,   11.831653
 388.056115,   11.701571
 390.782160,   11.573432
 393.508205,   11.447201
 396.234250,   11.320136
 398.960295,   11.193402
 401.686340,   11.068634
 404.412385,   10.945795
 407.138430,   10.824849
 409.864475,   10.705761
 412.590520,   10.588495
 415.316565,   10.473019
 418.042610,   10.359298
 420.768655,   10.247300
 423.494700,   10.136993
 426.220745,   10.028335
 428.946790,    9.918222
