Speed (CAS), Efficiency
  73.945891,   14.101313
  75.074781,   14.398926
  76.203671,   14.692310
  77.332561,   14.980668
  78.461450,   15.263254
  79.590340,   15.539390
  80.719230,   15.808422
  81.848120,   16.069938
  82.977010,   16.323644
  84.105899,   16.569077
  85.234789,   16.806205
  86.363679,   17.035059
  87.492569,   17.255828
  88.621459,   17.468868
  89.750348,   17.674386
  90.879238,   17.865432
  92.008128,   18.049233
  93.137018,   18.226761
  94.265907,   18.390565
  95.394797,   18.545370
  96.523687,   18.695697
  97.652577,   18.827452
  98.781467,   18.956324
  99.910356,   19.071367
 101.039246,   19.179240
 102.168136,   19.276338
 103.297026,   19.364563
 104.425916,   19.442493
 105.554805,   19.513027
 106.683695,   19.570866
 107.812585,   19.626234
 108.941475,   19.663364
 110.070365,   19.701023
 111.199254,   19.722708
 112.328144,   19.739003
 113.457034,   19.752338
 114.585924,   19.747336
 115.714814,   19.742287
 116.843703,   19.730333
 117.972593,   19.704169
 119.101483,   19.677823
 120.230373,   19.646116
 121.359263,   19.599245
 122.488152,   19.552162
 123.617042,   19.504873
 124.745932,   19.440202
 125.874822,   19.373375
 127.003711,   19.306411
 128.132601,   19.235827
 129.261491,   19.150587
 130.390381,   19.065361
 131.519271,   18.980158
 132.648160,   18.893514
 133.777050,   18.791650
 134.905940,   18.690030
 136.034830,   18.588664
 137.163720,   18.487559
 138.292609,   18.379021
 139.421499,   18.263279
 140.550389,   18.148062
 141.679279,   18.033378
 142.808169,   17.919235
 143.937058,   17.801051
 145.065948,   17.674365
 146.194838,   17.548502
 147.323728,   17.423463
 148.452618,   17.299252
 149.581507,   17.175871
 150.710397,   17.047939
 151.839287,   16.914304
 152.968177,   16.781774
 154.097066,   16.650345
 155.225956,   16.520016
 156.354846,   16.390781
 157.483736,   16.262639
 158.612626,   16.128817
 159.741515,   15.992734
 160.870405,   15.857987
 161.999295,   15.724566
 163.128185,   15.592463
 164.257075,   15.461665
 165.385964,   15.332165
 166.514854,   15.203950
 167.643744,   15.070970
 168.772634,   14.936966
 169.901524,   14.804449
 171.030413,   14.673402
 172.159303,   14.543809
 173.288193,   14.415655
 174.417083,   14.288924
 175.545973,   14.163601
 176.674862,   14.039669
 177.803752,   13.915535
 178.932642,   13.787641
 180.061532,   13.661288
 181.190421,   13.536458
 182.319311,   13.413129
 183.448201,   13.291281
 184.577091,   13.170896
 185.705981,   13.051953
