Speed, Power
  98.746754, 5888551.497574
 100.254265, 5959184.998034
 101.761775, 6029162.529047
 103.269286, 6098660.074514
 104.776796, 6167498.845655
 106.284307, 6235650.057458
 107.791817, 6303139.174496
 109.299327, 6370038.455724
 110.806838, 6436297.949242
 112.314348, 6502236.897651
 113.821859, 6567692.541365
 115.329369, 6633036.050447
 116.836880, 6698189.012425
 118.344390, 6763244.233355
 119.851901, 6828400.708798
 121.359411, 6893349.958572
 122.866921, 6958601.305407
 124.374432, 7023511.223538
 125.881942, 7088851.656026
 127.389453, 7153723.518446
 128.896963, 7219022.861764
 130.404474, 7283820.962398
 131.911984, 7348423.281079
 133.419495, 7412553.524416
 134.927005, 7475588.962754
 136.434515, 7537974.344159
 137.942026, 7598689.744802
 139.449536, 7658333.045532
 140.957047, 7716206.152105
 142.464557, 7772544.895224
 143.972068, 7827670.441033
 145.479578, 7881390.429966
 146.987088, 7935021.070153
 148.494599, 7989211.152486
 150.002109, 8044248.629303
 151.509620, 8104827.063919
 153.017130, 8165764.766587
 154.524641, 8237184.297395
 156.032151, 8308398.804857
 157.539662, 8386950.915838
 159.047172, 8465886.372977
 160.554682, 8547506.047080
 162.062193, 8629727.085497
 163.569703, 8712331.516329
 165.077214, 8795117.849982
 166.584724, 8877657.780649
 168.092235, 8960014.594831
 169.599745, 9042156.186535
 171.107256, 9124025.978286
 172.614766, 9205809.033652
 174.122276, 9287404.747753
 175.629787, 9368982.521042
 177.137297, 9450487.423078
 178.644808, 9531991.525246
 180.152318, 9613496.144661
 181.659829, 9694999.865787
 183.167339, 9776526.977618
 184.674850, 9858054.697348
 186.182360, 9939598.859414
 187.689870, 10021146.232517
 189.197381, 10102699.073100
 190.704891, 10184254.172934
 192.212402, 10265809.781706
 193.719912, 10347365.756515
 195.227423, 10428921.731323
 196.734933, 10510477.706132
 198.242443, 10592033.680941
 199.749954, 10673589.655749
 201.257464, 10755145.630558
 202.764975, 10836701.605366
 204.272485, 10918257.580175
 205.779996, 10999813.554984
 207.287506, 11081369.529792
 208.795017, 11162925.504601
 210.302527, 11244481.479409
 211.810037, 11326037.454218
 213.317548, 11407593.429026
 214.825058, 11489149.403835
 216.332569, 11570705.378644
 217.840079, 11652261.353452
 219.347590, 11733817.328261
 220.855100, 11815373.303069
 222.362611, 11896929.277878
 223.870121, 11978485.252687
 225.377631, 12060041.227495
 226.885142, 12141597.202304
 228.392652, 12223153.177112
 229.900163, 12304709.151921
 231.407673, 12386265.126730
 232.915184, 12467821.101538
 234.422694, 12549377.076347
 235.930204, 12630933.051155
 237.437715, 12712489.025964
 238.945225, 12794045.000773
 240.452736, 12875600.975581
 241.960246, 12957156.950390
 243.467757, 13038712.925198
 244.975267, 13120268.900007
 246.482778, 13201824.874815
 247.990288, 13283380.849624
