Speed, Power
 115.950682, 5435888.587373
 117.191647, 5421508.757163
 118.432611, 5408963.191270
 119.673575, 5398189.093584
 120.914539, 5389109.116641
 122.155503, 5381630.986744
 123.396467, 5375647.129074
 124.637431, 5371034.292805
 125.878396, 5369020.577845
 127.119360, 5368406.237991
 128.360324, 5368935.302610
 129.601288, 5371019.650421
 130.842252, 5375523.621880
 132.083216, 5380845.598629
 133.324181, 5387721.132352
 134.565145, 5396860.317530
 135.806109, 5406387.916028
 137.047073, 5418678.057803
 138.288037, 5431721.272980
 139.529001, 5446448.021826
 140.769965, 5462863.079631
 142.010930, 5480259.740352
 143.251894, 5499851.694154
 144.492858, 5520140.073435
 145.733822, 5542660.704664
 146.974786, 5566050.211346
 148.215750, 5591195.930133
 149.456714, 5617882.675489
 150.697679, 5645292.421313
 151.938643, 5675458.319324
 153.179607, 5705186.869064
 154.420571, 5738523.329282
 155.661535, 5772002.601307
 156.902499, 5806746.225688
 158.143464, 5844126.083989
 159.384428, 5881275.293936
 160.625392, 5921128.050847
 161.866356, 5962414.050513
 163.107320, 6003571.859060
 164.348284, 6048030.738899
 165.589248, 6093541.440410
 166.830213, 6139026.580628
 168.071177, 6187460.840571
 169.312141, 6237493.189817
 170.553105, 6287602.442788
 171.794069, 6339247.533650
 173.035033, 6394074.837549
 174.275997, 6449081.007989
 175.516962, 6504267.353147
 176.757926, 6562902.403202
 177.998890, 6623052.295077
 179.239854, 6683484.180507
 180.480818, 6744200.063291
 181.721782, 6808904.657402
 182.962747, 6874799.647459
 184.203711, 6941079.897353
 185.444675, 7007748.069013
 186.685639, 7077359.933048
 187.926603, 7149390.138133
 189.167567, 7221908.558740
 190.408531, 7294918.477443
 191.649496, 7368423.176814
 192.890460, 7446539.827017
 194.131424, 7525649.782467
 195.372388, 7605354.014397
 196.613352, 7685656.388535
 197.854316, 7766560.770607
 199.095281, 7851598.411268
 200.336245, 7938309.031730
 201.577209, 8025719.870641
 202.818173, 8113835.339395
 204.059137, 8202659.849387
 205.300101, 8292625.514679
 206.541065, 8387411.068732
 207.782030, 8483002.101889
 209.022994, 8579403.533722
 210.263958, 8676620.283802
 211.504922, 8774657.271701
 212.745886, 8873519.416992
 213.986850, 8976561.940122
 215.227814, 9081668.809498
 216.468779, 9187695.955511
 217.709743, 9294648.768423
 218.950707, 9402532.638494
 220.191671, 9511352.955987
 221.432635, 9621115.111160
 222.673599, 9734447.896534
 223.914564, 9850673.192263
 225.155528, 9967933.488996
 226.396492, 10086234.610195
 227.637456, 10205582.379321
 228.878420, 10325982.619836
 230.119384, 10447441.155201
 231.360348, 10569963.808878
 232.601313, 10695478.940999
 233.842277, 10824695.549452
 235.083241, 10955067.242022
 236.324205, 11086600.237882
 237.565169, 11219300.756208
 238.806133, 11353175.016171
