Speed (CAS), Rate of Climb
 159.068337, 2019.224567
 162.533178, 2066.103864
 165.998019, 2113.270352
 169.462860, 2159.594438
 172.927701, 2203.538470
 176.392541, 2246.996530
 179.857382, 2289.444783
 183.322223, 2329.986195
 186.787064, 2368.788906
 190.251905, 2405.969570
 193.716746, 2441.162844
 197.181586, 2474.216548
 200.646427, 2504.860878
 204.111268, 2533.491406
 207.576109, 2560.124622
 211.040950, 2584.428232
 214.505790, 2606.861027
 217.970631, 2627.498714
 221.435472, 2645.988678
 224.900313, 2662.506098
 228.365154, 2677.390472
 231.829995, 2690.240031
 235.294835, 2701.255817
 238.759676, 2710.614035
 242.224517, 2717.632033
 245.689358, 2723.393634
 249.154199, 2726.463338
 252.619039, 2728.364482
 256.083880, 2727.632499
 259.548721, 2725.518733
 263.013562, 2721.190035
 266.478403, 2715.124901
 269.943244, 2707.530239
 273.408084, 2697.389440
 276.872925, 2686.941610
 280.337766, 2674.429882
 283.802607, 2659.653044
 287.267448, 2646.211802
 290.732288, 2630.759619
 294.197129, 2612.841931
 297.661970, 2596.514463
 301.126811, 2579.212847
 304.591652, 2558.827085
 308.056493, 2538.735680
 311.521333, 2517.877204
 314.986174, 2495.457239
 318.451015, 2470.682783
 321.915856, 2444.913789
 325.380697, 2417.700101
 328.845537, 2389.148764
 332.310378, 2358.101973
 335.775219, 2324.944442
 339.240060, 2290.184710
 342.704901, 2253.716587
 346.169742, 2215.687517
 349.634582, 2175.189337
 353.099423, 2132.186963
 356.564264, 2087.538575
 360.029105, 2041.233122
 363.493946, 1993.569991
 366.958786, 1944.234307
 370.423627, 1892.495641
 373.888468, 1837.967415
 377.353309, 1781.680694
 380.818150, 1723.625688
 384.282991, 1663.643141
 387.747831, 1601.802768
 391.212672, 1538.155761
 394.677513, 1472.677747
 398.142354, 1403.707121
 401.607195, 1332.850437
 405.072035, 1260.195378
 408.536876, 1185.781268
 412.001717, 1109.449569
 415.466558, 1031.189810
 418.931399,  950.992952
 422.396240,  868.842835
 425.861080,  784.741514
 429.325921,  697.185934
 432.790762,  607.422865
 436.255603,  515.617484
 439.720444,  422.481851
 443.185285,  327.324406
 446.650125,  230.099779
 450.114966,  131.527090
 453.579807,   31.050042
 457.044648,  -71.517046
 460.509489, -175.918820
 463.974329, -282.291190
 467.439170, -391.014199
 470.904011, -503.620713
 474.368852, -618.606547
 477.833693, -735.795382
 481.298534, -855.481659
 484.763374, -977.903438
 488.228215, -1102.577153
 491.693056, -1229.535593
 495.157897, -1358.847180
 498.622738, -1490.449729
 502.087578, -1624.258687
