Mach, Rate of Climb
   0.310587,  948.987555
   0.315328,  980.705917
   0.320070, 1011.360943
   0.324811, 1040.875574
   0.329553, 1069.245216
   0.334294, 1096.495290
   0.339036, 1122.618608
   0.343777, 1147.812664
   0.348519, 1171.910517
   0.353261, 1194.912858
   0.358002, 1217.070876
   0.362744, 1238.491400
   0.367485, 1258.938886
   0.372227, 1278.464408
   0.376968, 1297.608001
   0.381710, 1315.457319
   0.386451, 1332.497289
   0.391193, 1348.901268
   0.395935, 1364.270835
   0.400676, 1378.744781
   0.405418, 1392.658909
   0.410159, 1405.279053
   0.414901, 1417.586622
   0.419642, 1428.678241
   0.424384, 1439.178325
   0.429125, 1449.585920
   0.433867, 1459.154374
   0.438608, 1467.775946
   0.443350, 1476.600041
   0.448092, 1485.047317
   0.452833, 1493.132122
   0.457575, 1499.684274
   0.462316, 1507.790271
   0.467058, 1514.552794
   0.471799, 1520.726710
   0.476541, 1526.878458
   0.481282, 1531.990213
   0.486024, 1536.899480
   0.490766, 1541.065303
   0.495507, 1543.750707
   0.500249, 1546.156140
   0.504990, 1547.882476
   0.509732, 1547.945558
   0.514473, 1547.272990
   0.519215, 1546.285645
   0.523956, 1543.493240
   0.528698, 1540.035657
   0.533439, 1536.152742
   0.538181, 1531.583883
   0.542923, 1525.341346
   0.547664, 1519.084046
   0.552406, 1512.417558
   0.557147, 1505.195902
   0.561889, 1496.362081
   0.566630, 1487.353867
   0.571372, 1477.896620
   0.576113, 1467.988175
   0.580855, 1456.838163
   0.585596, 1444.379864
   0.590338, 1431.423661
   0.595080, 1417.872469
   0.599821, 1403.669067
   0.604563, 1388.408836
   0.609304, 1371.509012
   0.614046, 1354.100727
   0.618787, 1336.147048
   0.623529, 1317.635222
   0.628270, 1298.601597
   0.633012, 1278.393962
   0.637754, 1256.677783
   0.642495, 1234.357241
   0.647237, 1211.423392
   0.651978, 1187.876005
   0.656720, 1163.714889
   0.661461, 1138.947497
   0.666203, 1112.578851
   0.670944, 1084.988965
   0.675686, 1056.738982
   0.680427, 1027.974066
   0.685169,  998.682988
   0.689911,  968.725806
   0.694652,  938.099189
   0.699394,  907.079642
   0.704135,  874.232581
   0.708877,  840.198321
   0.713618,  805.550729
   0.718360,  770.358432
   0.723101,  734.450105
   0.727843,  697.822192
   0.732585,  660.610483
   0.737326,  622.709977
   0.742068,  584.081484
   0.746809,  544.360651
   0.751551,  502.691311
   0.756292,  460.252883
   0.761034,  417.041610
   0.765775,  373.232529
   0.770517,  328.743849
   0.775258,  283.474484
   0.780000,  237.463574
