Speed (TAS), Rate of Climb
  83.656968,    4.411332
  85.479192,    4.585621
  87.301415,    4.749540
  89.123639,    4.904629
  90.945863,    5.049524
  92.768086,    5.185742
  94.590310,    5.312042
  96.412533,    5.430408
  98.234757,    5.539981
 100.056981,    5.640176
 101.879204,    5.732222
 103.701428,    5.816157
 105.523651,    5.892326
 107.345875,    5.960372
 109.168099,    6.020845
 110.990322,    6.071391
 112.812546,    6.113719
 114.634769,    6.147686
 116.456993,    6.174207
 118.279217,    6.190139
 120.101440,    6.198105
 121.923664,    6.199284
 123.745887,    6.189191
 125.568111,    6.172587
 127.390335,    6.146603
 129.212558,    6.112517
 131.034782,    6.069851
 132.857005,    6.019392
 134.679229,    5.959978
 136.501453,    5.895250
 138.323676,    5.819496
 140.145900,    5.740457
 141.968123,    5.648481
 143.790347,    5.549715
 145.612571,    5.443243
 147.434794,    5.322236
 149.257018,    5.194577
 151.079241,    5.057665
 152.901465,    4.907341
 154.723689,    4.750923
 156.545912,    4.591036
 158.368136,    4.420150
 160.190359,    4.251187
 162.012583,    4.082153
 163.834807,    3.922031
 165.657030,    3.753360
 167.479254,    3.590529
 169.301477,    3.423340
 171.123701,    3.255254
 172.945925,    3.073929
 174.768148,    2.884014
 176.590372,    2.686782
 178.412595,    2.481584
 180.234819,    2.268775
 182.057043,    2.041559
 183.879266,    1.803721
 185.701490,    1.557794
 187.523713,    1.303885
 189.345937,    1.041941
 191.168161,    0.771957
 192.990384,    0.487145
 194.812608,    0.191562
 196.634831,   -0.112557
 198.457055,   -0.425265
 200.279279,   -0.746676
 202.101502,   -1.076858
 203.923726,   -1.415906
 205.745949,   -1.768734
 207.568173,   -2.135002
 209.390397,   -2.510624
 211.212620,   -2.895683
 213.034844,   -3.290261
 214.857068,   -3.694442
 216.679291,   -4.108308
 218.501515,   -4.531942
 220.323738,   -4.965427
 222.145962,   -5.414217
 223.968186,   -5.876893
 225.790409,   -6.349895
 227.612633,   -6.833309
 229.434856,   -7.327219
 231.257080,   -7.831710
 233.079304,   -8.346866
 234.901527,   -8.872773
 236.723751,   -9.409515
 238.545974,   -9.957177
 240.368198,  -10.515844
 242.190422,  -11.086346
 244.012645,  -11.676389
 245.834869,  -12.277896
 247.657092,  -12.890955
 249.479316,  -13.515652
 251.301540,  -14.152072
 253.123763,  -14.800302
 254.945987,  -15.460429
 256.768210,  -16.132538
 258.590434,  -16.816716
 260.412658,  -17.513050
 262.234881,  -18.221624
 264.057105,  -18.942527
