Speed, Powers
 134.947207, 9155427.762922
 136.265207, 8953418.880421
 137.583208, 8763560.243616
 138.901209, 8584656.578293
 140.219210, 8415571.391037
 141.537211, 8256387.261972
 142.855212, 8111801.287089
 144.173212, 7974255.985256
 145.491213, 7842801.044933
 146.809214, 7723706.644751
 148.127215, 7611599.697768
 149.445216, 7503166.968158
 150.763217, 7407394.914634
 152.081218, 7315009.350093
 153.399218, 7228497.487660
 154.717219, 7150409.854286
 156.035220, 7073171.589526
 157.353221, 7007663.341763
 158.671222, 6941103.791857
 159.989223, 6885051.651793
 161.307223, 6828224.027249
 162.625224, 6780861.114015
 163.943225, 6732236.298489
 165.261226, 6693398.514639
 166.579227, 6652327.668477
 167.897228, 6621005.350728
 169.215228, 6588526.859085
 170.533229, 6562070.206577
 171.851230, 6537935.769114
 173.169231, 6515039.086194
 174.487232, 6498975.105130
 175.805233, 6481417.802177
 177.123233, 6470135.947284
 178.441234, 6460574.398122
 179.759235, 6449985.264848
 181.077236, 6448094.108623
 182.395237, 6445125.076915
 183.713238, 6442611.922265
 185.031238, 6447167.820110
 186.349239, 6450830.183093
 187.667240, 6454569.688212
 188.985241, 6465577.882830
 190.303242, 6475865.454906
 191.621243, 6485427.378751
 192.939243, 6501533.947676
 194.257244, 6518401.451992
 195.575245, 6534706.372183
 196.893246, 6553251.812051
 198.211247, 6576620.598141
 199.529248, 6599579.105411
 200.847248, 6622124.605722
 202.165249, 6648728.581913
 203.483250, 6678223.742469
 204.801251, 6707448.887166
 206.119252, 6736402.267059
 207.437253, 6768851.908116
 208.755254, 6804607.336390
 210.073254, 6840224.969720
 211.391255, 6875703.938122
 212.709256, 6911825.461055
 214.027257, 6953931.006309
 215.345258, 6996023.173977
 216.663259, 7038101.881678
 217.981259, 7080167.047033
 219.299260, 7124265.641566
 220.617261, 7172876.121518
 221.935262, 7221590.741696
 223.253263, 7270410.124249
 224.571264, 7319334.891326
 225.889264, 7368736.691115
 227.207265, 7424090.405697
 228.525266, 7479659.828290
 229.843267, 7535446.210187
 231.161268, 7591450.802684
 232.479269, 7647674.857077
 233.797269, 7705722.592599
 235.115270, 7768330.937926
 236.433271, 7831262.549348
 237.751272, 7894519.239018
 239.069273, 7958102.819088
 240.387274, 8022015.101714
 241.705274, 8086257.899048
 243.023275, 8155663.306795
 244.341276, 8226300.861993
 245.659277, 8297366.890890
 246.977278, 8368863.704715
 248.295279, 8440793.614697
 249.613279, 8513158.932065
 250.931280, 8585961.968049
 252.249281, 8662917.168415
 253.567282, 8742075.875226
 254.885283, 8821764.501419
 256.203284, 8901985.801427
 257.521284, 8982742.529683
 258.839285, 9064037.440621
 260.157286, 9145873.288673
 261.475287, 9228252.828275
 262.793288, 9314332.102880
 264.111289, 9403065.664467
 265.429290, 9492429.863455
