Ground Roll Distance, Horizontal Forces
   0.000000, 48958.312911
   0.000000, 48762.025855
   0.000000, 47402.989616
   0.000000, 47136.444741
   0.000000, 46871.619623
   0.000000, 46608.499844
   0.000000, 46347.071137
   0.000000, 46294.987079
   0.000000, 46290.182469
   0.000000, 46289.954331
   0.000000, 46289.755745
   0.000000, 46289.718344
   0.000000, 46289.674606
   0.000000, 46289.632720
   0.000000, 46289.213851
   0.000000, 46285.025139
   0.000000, 46243.134864
   0.000000, 45823.923184
   0.000000, 43006.590543
   0.000000, 40174.742646
   0.000000, 37338.838770
   0.000000, 34510.162229
   0.000000, 31700.774029
   0.000000, 28923.450039
   0.000000, 26191.601049
   0.000000, 23519.175477
   0.000000, 20920.544878
   0.000000, 18410.372956
   0.000000, 16003.469238
   0.000000, 13714.629164
   0.000000, 11558.462879
   0.000000, 9549.215536
   0.000000, 7700.582407
   0.000000, 6025.522526
   0.000000, 4536.074864
   0.000000, 3243.181273
   0.000000, 2156.520471
   0.000000, 1284.357255
   0.000000,  633.410878
   0.000000,  208.746136
   0.000000,   13.690158
   0.000000,    0.000000
