Time, Acceleration
   0.000100,    2.773646
   0.001100,    2.773623
   0.003671,    2.773563
   0.010362,    2.773407
   0.028882,    2.772975
   0.060165,    2.772246
   0.091278,    2.771520
   0.122690,    2.770787
   0.154123,    2.770052
   0.185567,    2.769317
   0.217045,    2.768580
   0.248920,    2.767833
   0.280657,    2.767089
   0.312410,    2.766344
   0.344202,    2.765597
   0.376445,    2.764839
   0.408747,    2.764079
   0.441602,    2.763306
   0.474516,    2.762530
   0.507488,    2.761753
   0.540309,    2.760978
   0.573983,    2.760182
   0.607864,    2.759381
   0.641841,    2.758577
   0.676000,    2.757768
   0.710884,    2.756941
   0.745482,    2.756120
   0.780390,    2.755291
   0.815977,    2.754445
   0.851617,    2.753597
   0.887533,    2.752742
   0.923127,    2.751894
   0.959042,    2.751037
   0.996038,    2.750154
   1.033163,    2.749266
   1.070231,    2.748380
   1.108148,    2.747472
   1.145881,    2.746568
   1.184041,    2.745652
   1.222380,    2.744732
   1.230232,    2.744543
   1.246482,    2.744153
   1.253238,    2.743990
   1.253977,    2.743973
   1.254256,    2.743966
   1.254359,    2.743963
   1.254478,    2.743961
   1.255109,    2.743945
   1.257770,    2.743881
   1.265851,    2.743687
   1.288354,    2.743146
   1.328544,    2.742179
   1.368777,    2.741210
   1.409213,    2.740236
   1.449512,    2.739263
   1.490090,    2.738283
   1.531731,    2.737276
   1.573020,    2.736277
   1.615359,    2.735251
   1.657669,    2.734225
   1.699631,    2.733207
   1.742582,    2.732163
   1.786424,    2.731097
   1.829601,    2.730045
   1.872805,    2.728992
   1.916663,    2.727922
   1.961416,    2.726829
   2.005981,    2.725740
   2.051153,    2.724634
   2.096504,    2.723523
   2.141941,    2.722409
   2.187657,    2.721286
   2.233774,    2.720153
   2.280446,    2.719005
   2.327534,    2.717845
   2.375408,    2.716665
   2.423614,    2.715475
   2.471563,    2.714290
   2.519928,    2.713094
   2.521872,    2.713046
   2.522617,    2.713027
   2.522684,    2.713026
   2.522814,    2.713022
   2.523636,    2.713002
   2.527321,    2.712911
   2.539416,    2.712613
   2.568574,    2.711893
   2.618722,    2.710653
   2.668231,    2.709428
   2.717782,    2.708201
   2.767572,    2.706966
   2.817925,    2.705716
   2.868273,    2.704465
   2.919188,    2.703198
   2.969866,    2.701936
   3.020862,    2.700664
   3.072582,    2.699373
   3.125032,    2.698062
   3.177533,    2.696749
   3.230151,    2.695431
   3.283734,    2.694087
   3.337179,    2.692745
   3.390155,    2.691414
   3.443742,    2.690066
   3.497829,    2.688703
   3.551434,    2.687351
   3.605852,    2.685978
   3.660892,    2.684586
   3.716130,    2.683189
   3.771366,    2.681789
   3.782419,    2.681509
   3.790691,    2.681299
   3.796185,    2.681160
   3.800448,    2.681052
   3.805251,    2.680930
   3.805478,    2.680924
   3.805639,    2.680920
   3.805732,    2.680918
   3.805772,    2.680917
   3.805809,    2.680916
   3.806184,    2.680907
   3.808168,    2.680856
   3.816515,    2.680645
   3.843168,    2.679971
   3.899238,    2.678551
   3.955430,    2.677127
   4.012363,    2.675682
   4.069268,    2.674236
   4.126566,    2.672778
   4.183741,    2.671322
   4.241286,    2.669855
   4.299330,    2.668373
   4.358443,    2.666863
   4.417221,    2.665359
   4.476275,    2.663846
   4.535101,    2.662337
   4.595139,    2.660796
   4.655306,    2.659249
   4.715248,    2.657707
   4.775618,    2.656151
   4.836405,    2.654583
   4.897346,    2.653009
   4.958366,    2.651432
   5.019778,    2.649842
   5.081466,    2.648243
   5.093856,    2.647922
   5.102107,    2.647708
   5.103017,    2.647684
   5.104085,    2.647657
   5.104318,    2.647651
   5.104505,    2.647646
   5.104608,    2.647643
   5.104777,    2.647639
   5.104928,    2.647635
   5.105957,    2.647608
   5.110706,    2.647485
   5.127163,    2.647059
   5.178478,    2.645729
   5.240850,    2.644112
   5.303274,    2.642491
   5.365764,    2.640866
   5.428584,    2.639231
   5.491959,    2.637579
   5.555510,    2.635921
   5.619197,    2.634258
   5.683060,    2.632588
   5.747416,    2.630903
   5.812059,    2.629209
   5.876876,    2.627508
   5.941910,    2.625799
   6.007028,    2.624087
   6.072494,    2.622363
   6.137445,    2.620650
   6.203225,    2.618914
   6.269401,    2.617166
   6.336428,    2.615393
   6.403086,    2.613627
   6.416509,    2.613272
   6.418669,    2.613214
   6.419290,    2.613198
   6.420070,    2.613177
   6.420190,    2.613174
   6.420428,    2.613168
   6.420646,    2.613162
   6.422007,    2.613126
   6.435609,    2.612766
   6.486367,    2.611421
   6.555206,    2.609595
   6.623134,    2.607791
   6.691234,    2.605980
   6.759484,    2.604164
   6.828239,    2.602332
   6.896800,    2.600503
   6.965806,    2.598660
   7.035160,    2.596805
   7.104547,    2.594948
   7.173832,    2.593091
   7.243221,    2.591230
   7.312674,    2.589364
   7.382981,    2.587474
   7.453365,    2.585579
   7.524096,    2.583673
   7.594943,    2.581761
   7.666192,    2.579837
   7.737542,    2.577908
   7.751908,    2.577519
   7.752847,    2.577494
   7.753327,    2.577481
   7.753620,    2.577473
   7.753908,    2.577465
   7.755995,    2.577409
   7.764215,    2.577186
   7.791437,    2.576449
   7.863239,    2.574503
   7.935040,    2.572556
   8.006905,    2.570604
   8.079038,    2.568643
   8.151368,    2.566675
   8.224021,    2.564695
   8.296833,    2.562709
   8.370064,    2.560710
   8.443201,    2.558711
   8.516849,    2.556695
   8.590779,    2.554670
   8.664807,    2.552640
   8.739042,    2.550603
   8.813644,    2.548552
   8.888550,    2.546492
   8.962951,    2.544443
   9.037902,    2.542377
   9.052935,    2.541962
   9.098725,    2.540699
   9.101757,    2.540615
   9.104306,    2.540544
   9.105113,    2.540522
   9.105705,    2.540506
   9.105894,    2.540501
   9.106122,    2.540494
   9.107840,    2.540447
   9.115744,    2.540229
   9.142662,    2.539486
   9.209533,    2.537638
   9.285404,    2.535540
   9.361617,    2.533431
   9.438120,    2.531311
   9.514877,    2.529182
   9.591281,    2.527061
   9.668067,    2.524926
   9.745048,    2.522785
   9.822676,    2.520623
   9.900111,    2.518464
   9.977818,    2.516295
  10.055759,    2.514118
  10.133588,    2.511941
  10.211990,    2.509747
  10.290415,    2.507550
  10.368858,    2.505350
  10.447400,    2.503145
  10.463260,    2.502699
  10.474741,    2.502377
  10.476318,    2.502332
  10.478051,    2.502284
  10.478280,    2.502277
  10.478391,    2.502274
  10.478493,    2.502271
  10.479510,    2.502243
  10.485016,    2.502088
  10.514484,    2.501261
  10.600160,    2.498854
  10.679781,    2.496615
  10.759300,    2.494376
  10.838906,    2.492133
  10.918922,    2.489877
  10.998967,    2.487617
  11.079409,    2.485344
  11.160094,    2.483062
  11.241179,    2.480766
  11.322058,    2.478474
  11.403388,    2.476167
  11.484659,    2.473860
  11.566005,    2.471549
  11.647724,    2.469224
  11.729739,    2.466890
  11.811747,    2.464553
  11.828119,    2.464086
  11.838541,    2.463789
  11.845460,    2.463592
  11.868708,    2.462929
  11.871664,    2.462844
  11.872199,    2.462829
  11.872297,    2.462826
  11.873271,    2.462799
  11.874635,    2.462760
  11.883560,    2.462506
