Ground distance, Vertical Forces
   0.000000, 662782.440250
   0.000002, 662782.440250
   0.000019, 662782.440250
   0.000149, 662782.440250
   0.001157, 662782.440250
   0.005019, 662782.440250
   0.011552, 662782.440250
   0.020869, 662782.440250
   0.032928, 662782.440250
   0.047730, 662782.440250
   0.065291, 662782.440250
   0.085869, 662782.440250
   0.109152, 662782.440250
   0.135235, 662782.440250
   0.164145, 662782.440250
   0.196320, 662782.440250
   0.231437, 662782.440250
   0.270112, 662782.440250
   0.311848, 662782.440250
   0.356659, 662782.440250
   0.404247, 662782.440250
   0.456162, 662782.440250
   0.511555, 662782.440250
   0.570286, 662782.440250
   0.632541, 662782.440250
   0.699440, 662782.440250
   0.769102, 662782.440250
   0.842734, 662782.440250
   0.921253, 662782.440250
   1.003385, 662782.440250
   1.089693, 662782.440250
   1.178729, 662782.440250
   1.272103, 662782.440250
   1.371995, 662782.440250
   1.476024, 662782.440250
   1.583670, 662782.440250
   1.697689, 662782.440250
   1.815076, 662782.440250
   1.937770, 662782.440250
   2.065065, 662782.440250
   2.091634, 662782.440250
   2.147155, 662782.440250
   2.170454, 662782.440250
   2.173007, 662782.440250
   2.173974, 662782.440250
   2.174331, 662782.440250
   2.174741, 662782.440250
   2.176926, 662782.440250
   2.186151, 662782.440250
   2.214279, 662782.440250
   2.293560, 662782.440250
   2.438606, 662782.440250
   2.588242, 662782.440250
   2.743106, 662782.440250
   2.901905, 662782.440250
   3.066295, 662782.440250
   3.239679, 662782.440250
   3.416284, 662782.440250
   3.602227, 662782.440250
   3.792940, 662782.440250
   3.986916, 662782.440250
   4.190451, 662782.440250
   4.403404, 662782.440250
   4.618261, 662782.440250
   4.838341, 662782.440250
   5.066965, 662782.440250
   5.305667, 662782.440250
   5.548789, 662782.440250
   5.800749, 662782.440250
   6.059301, 662782.440250
   6.323960, 662782.440250
   6.595912, 662782.440250
   6.876020, 662782.440250
   7.165385, 662782.440250
   7.463330, 662782.440250
   7.772425, 662782.440250
   8.089957, 662782.440250
   8.412061, 662782.440250
   8.743273, 662782.440250
   8.756721, 662782.440250
   8.761877, 662782.440250
   8.762341, 662782.440250
   8.763238, 662782.440250
   8.768932, 662782.440250
   8.794465, 662782.440250
   8.878527, 662782.440250
   9.082814, 662782.440250
   9.439557, 662782.440250
   9.798442, 662782.440250
  10.164286, 662782.440250
  10.538580, 662782.440250
  10.923938, 662782.440250
  11.316117, 662782.440250
  11.719686, 662782.440250
  12.128339, 662782.440250
  12.546554, 662782.440250
  12.977883, 662782.440250
  13.422667, 662782.440250
  13.875325, 662782.440250
  14.336448, 662782.440250
  14.813698, 662782.440250
  15.297426, 662782.440250
  15.784494, 662782.440250
  16.284866, 662782.440250
  16.797737, 662782.440250
  17.313800, 662782.440250
  17.845598, 662782.440250
  18.391558, 662782.440250
  18.947657, 662782.440250
  19.511924, 662782.440250
  19.625817, 662782.440250
  19.711268, 662782.440250
  19.768122, 662782.440250
  19.812298, 662782.440250
  19.862128, 662782.440250
  19.864479, 662782.440250
  19.866149, 662782.440250
  19.867116, 662782.440250
  19.867530, 662782.440250
  19.867920, 662782.440250
  19.871811, 662782.440250
  19.892414, 662782.440250
  19.979217, 662782.440250
  20.257651, 662782.440250
  20.849595, 662782.440250
  21.451279, 662782.440250
  22.069508, 662782.440250
  22.696116, 662782.440250
  23.335791, 662782.440250
  23.982838, 662782.440250
  24.642893, 662782.440250
  25.317621, 662782.440250
  26.014029, 662782.440250
  26.715726, 662782.440250
  27.429982, 662782.440250
  28.150722, 662782.440250
  28.895818, 662782.440250
  29.652133, 662782.440250
  30.415185, 662782.440250
  31.193337, 662782.440250
  31.986659, 662782.440250
  32.791824, 662782.440250
  33.607913, 662782.440250
  34.439206, 662782.440250
  35.284297, 662782.440250
  35.455258, 662782.440250
  35.569327, 662782.440250
  35.581913, 662782.440250
  35.596698, 662782.440250
  35.599924, 662782.440250
  35.602508, 662782.440250
  35.603940, 662782.440250
  35.606270, 662782.440250
  35.608368, 662782.440250
  35.622608, 662782.440250
  35.688400, 662782.440250
  35.916825, 662782.440250
  36.633691, 662782.440250
  37.514415, 662782.440250
  38.406176, 662782.440250
  39.309181, 662782.440250
  40.227351, 662782.440250
  41.164200, 662782.440250
  42.114278, 662782.440250
  43.077065, 662782.440250
  44.053249, 662782.440250
  45.047828, 662782.440250
  46.057811, 662782.440250
  47.081548, 662782.440250
  48.119805, 662782.440250
  49.170523, 662782.440250
  50.238074, 662782.440250
  51.308343, 662782.440250
  52.403527, 662782.440250
  53.516742, 662782.440250
  54.655966, 662782.440250
  55.800568, 662782.440250
  56.032461, 662782.440250
  56.069815, 662782.440250
  56.080558, 662782.440250
  56.094061, 662782.440250
  56.096137, 662782.440250
  56.100254, 662782.440250
  56.104032, 662782.440250
  56.127572, 662782.440250
  56.363243, 662782.440250
  57.246920, 662782.440250
  58.456130, 662782.440250
  59.661463, 662782.440250
  60.881919, 662782.440250
  62.117194, 662782.440250
  63.373879, 662782.440250
  64.639270, 662782.440250
  65.925209, 662782.440250
  67.230108, 662782.440250
  68.548120, 662782.440250
  69.876662, 662782.440250
  71.219667, 662782.440250
  72.576411, 662782.440250
  73.962564, 662782.440250
  75.363040, 662782.440250
  76.783331, 662782.440250
  78.218918, 662782.440250
  79.675707, 662782.440250
  81.147679, 662782.440250
  81.445645, 662782.440250
  81.465134, 662782.440250
  81.475106, 662782.440250
  81.481179, 662782.440250
  81.487163, 662782.440250
  81.530501, 662782.440250
  81.701317, 662782.440250
  82.268256, 662782.440250
  83.772777, 662782.440250
  85.290540, 662782.440250
  86.822952, 662782.440250
  88.374420, 662782.440250
  89.943549, 662782.440250
  91.533205, 662782.440250
  93.139926, 662782.440250
  94.769577, 662782.440250
  96.410862, 662782.440250
  98.077444, 662782.440250
  99.764338, 662782.440250
 101.467486, 662782.440250
 103.189418, 662782.440250
 104.934029, 662782.440250
 106.700028, 662782.440250
 108.468262, 662782.440250
 110.263792, 662782.440250
