V/VsTO, Thrust - Yawing Moment
   0.265431, 593180.006118
   0.269184, 592774.449129
   0.272938, 592369.295774
   0.276691, 591964.242468
   0.280444, 591559.189162
   0.284198, 591154.135856
   0.287951, 590749.082550
   0.291704, 590344.029244
   0.295457, 589938.975938
   0.299211, 589533.922632
   0.302964, 589128.869326
   0.306717, 588723.816020
   0.310471, 588318.762714
   0.314224, 587913.709408
   0.317977, 587508.656102
   0.321730, 587103.602796
   0.325484, 586698.507602
   0.329237, 586293.354014
   0.332990, 585888.200426
   0.336744, 585483.046837
   0.340497, 585077.893249
   0.344250, 584672.739661
   0.348003, 584267.586073
   0.351757, 583862.432485
   0.355510, 583457.278897
   0.359263, 583052.125309
   0.363017, 582646.971721
   0.366770, 582241.818133
   0.370523, 581836.664544
   0.374277, 581431.510956
   0.378030, 581026.363851
   0.381783, 580621.400590
   0.385536, 580216.437329
   0.389290, 579811.474067
   0.393043, 579406.510806
   0.396796, 579001.547544
   0.400550, 578596.584283
   0.404303, 578191.621022
   0.408056, 577786.657760
   0.411809, 577381.694499
   0.415563, 576976.731237
   0.419316, 576571.767976
   0.423069, 576166.804715
   0.426823, 575761.841453
   0.430576, 575356.878192
   0.434329, 574952.312496
   0.438082, 574547.960485
   0.441836, 574143.608474
   0.445589, 573739.256463
   0.449342, 573334.904452
   0.453096, 572930.552441
   0.456849, 572526.200431
   0.460602, 572121.848420
   0.464355, 571717.496409
   0.468109, 571313.144398
   0.471862, 570908.792387
   0.475615, 570504.440376
   0.479369, 570100.088365
   0.483122, 569695.736354
   0.486875, 569291.914904
   0.490628, 568889.551777
   0.494382, 568487.188649
   0.498135, 568084.825522
   0.501888, 567682.462394
   0.505642, 567280.099267
   0.509395, 566877.736139
   0.513148, 566475.373012
   0.516901, 566073.009885
   0.520655, 565670.646757
   0.524408, 565268.283630
   0.528161, 564865.920502
   0.531915, 564463.557375
   0.535668, 564061.194247
   0.539421, 563658.831120
   0.543174, 563260.009286
   0.546928, 562861.656171
   0.550681, 562463.303056
   0.554434, 562064.949942
   0.558188, 561666.596827
