Speed (TAS), Climb Angle
  68.412598,   10.283535
  69.773287,   10.231293
  71.133977,   10.172549
  72.494666,   10.107426
  73.855356,   10.036122
  75.216045,    9.958823
  76.576735,    9.877731
  77.937424,    9.791681
  79.298113,    9.700274
  80.658803,    9.605730
  82.019492,    9.507901
  83.380182,    9.406073
  84.740871,    9.300874
  86.101560,    9.194826
  87.462250,    9.085043
  88.822939,    8.971736
  90.183629,    8.858123
  91.544318,    8.743104
  92.905007,    8.625367
  94.265697,    8.505128
  95.626386,    8.386604
  96.987076,    8.265721
  98.347765,    8.141690
  99.708455,    8.020769
 101.069144,    7.897628
 102.429833,    7.773391
 103.790523,    7.648086
 105.151212,    7.525637
 106.511902,    7.400289
 107.872591,    7.274330
 109.233280,    7.149559
 110.593970,    7.025125
 111.954659,    6.897952
 113.315349,    6.771427
 114.676038,    6.646781
 116.036727,    6.519022
 117.397417,    6.390811
 118.758106,    6.265148
 120.118796,    6.137059
 121.479485,    6.008482
 122.840175,    5.880733
 124.200864,    5.751713
 125.561553,    5.622172
 126.922243,    5.492267
 128.282932,    5.362763
 129.643622,    5.231681
 131.004311,    5.100044
 132.365000,    4.969219
 133.725690,    4.836939
 135.086379,    4.703179
 136.447069,    4.569100
 137.807758,    4.435929
 139.168447,    4.301798
 140.529137,    4.164873
 141.889826,    4.028368
 143.250516,    3.891700
 144.611205,    3.754422
 145.971895,    3.616835
 147.332584,    3.477268
 148.693273,    3.336910
 150.053963,    3.195917
 151.414652,    3.055069
 152.775342,    2.913789
 154.136031,    2.771873
 155.496720,    2.627633
 156.857410,    2.482845
 158.218099,    2.337397
 159.578789,    2.191291
 160.939478,    2.044963
 162.300167,    1.898030
 163.660857,    1.750436
 165.021546,    1.601066
 166.382236,    1.450208
 167.742925,    1.298668
 169.103615,    1.146445
 170.464304,    0.993546
 171.824993,    0.839961
 173.185683,    0.685690
 174.546372,    0.530607
 175.907062,    0.374725
 177.267751,    0.216773
 178.628440,    0.057435
 179.989130,   -0.103054
 181.349819,   -0.264251
 182.710509,   -0.426159
 184.071198,   -0.589228
 185.431887,   -0.753284
 186.792577,   -0.918053
 188.153266,   -1.083703
 189.513956,   -1.250873
 190.874645,   -1.418762
 192.235334,   -1.588302
 193.596024,   -1.760378
 194.956713,   -1.933533
 196.317403,   -2.107428
 197.678092,   -2.282449
 199.038782,   -2.459285
 200.399471,   -2.636866
 201.760160,   -2.815194
 203.120850,   -2.995654
