Speed (TAS), Rate of Climb
  83.326277,   10.527925
  84.443421,   10.639926
  85.560564,   10.747368
  86.677707,   10.851500
  87.794851,   10.950197
  88.911994,   11.043482
  90.029138,   11.132544
  91.146281,   11.219183
  92.263424,   11.300697
  93.380568,   11.376417
  94.497711,   11.448155
  95.614854,   11.518509
  96.731998,   11.584125
  97.849141,   11.644973
  98.966285,   11.700934
 100.083428,   11.756478
 101.200571,   11.807955
 102.317715,   11.852953
 103.434858,   11.895083
 104.552002,   11.936508
 105.669145,   11.972024
 106.786288,   12.004396
 107.903432,   12.031054
 109.020575,   12.058075
 110.137719,   12.079040
 111.254862,   12.096641
 112.372005,   12.109044
 113.489149,   12.121462
 114.606292,   12.127342
 115.723435,   12.130901
 116.840579,   12.127926
 117.957722,   12.124807
 119.074866,   12.116377
 120.192009,   12.103157
 121.309152,   12.087768
 122.426296,   12.066819
 123.543439,   12.043190
 124.660583,   12.015477
 125.777726,   11.981563
 126.894869,   11.946354
 128.012013,   11.906729
 129.129156,   11.860661
 130.246299,   11.811813
 131.363443,   11.760514
 132.480586,   11.701586
 133.597730,   11.639547
 134.714873,   11.574532
 135.832016,   11.504168
 136.949160,   11.428550
 138.066303,   11.349669
 139.183447,   11.267622
 140.300590,   11.179066
 141.417733,   11.085971
 142.534877,   10.989454
 143.652020,   10.889584
 144.769164,   10.784042
 145.886307,   10.672707
 147.003450,   10.557790
 148.120594,   10.439332
 149.237737,   10.317787
 150.354880,   10.188054
 151.472024,   10.054003
 152.589167,    9.916226
 153.706311,    9.775042
 154.823454,    9.630077
 155.940597,    9.477897
 157.057741,    9.320106
 158.174884,    9.158573
 159.292028,    8.993091
 160.409171,    8.823645
 161.526314,    8.650220
 162.643458,    8.468800
 163.760601,    8.282135
 164.877744,    8.091337
 165.994888,    7.896384
 167.112031,    7.697067
 168.229175,    7.493566
 169.346318,    7.285486
 170.463461,    7.068398
 171.580605,    6.846555
 172.697748,    6.620355
 173.814892,    6.389783
 174.932035,    6.154818
 176.049178,    5.914785
 177.166322,    5.670320
 178.283465,    5.419649
 179.400609,    5.161084
 180.517752,    4.897038
 181.634895,    4.628375
 182.752039,    4.355088
 183.869182,    4.077158
 184.986325,    3.793428
 186.103469,    3.504977
 187.220612,    3.211818
 188.337756,    2.912429
 189.454899,    2.603242
 190.572042,    2.289129
 191.689186,    1.970128
 192.806329,    1.646222
 193.923473,    1.315769
