Ground Roll Distance, Acceleration
1117.822477, -5904.652890
1144.388958, -5890.214160
1328.377689, -5792.093580
1364.806824, -5773.052244
1401.114305, -5754.200605
1437.300645, -5735.536753
1473.366357, -5717.058800
1480.565068, -5713.385352
1480.721886, -5713.305384
1480.822369, -5713.254144
1480.897945, -5713.215606
1480.960926, -5713.183491
1480.992742, -5713.167268
1481.012661, -5713.157111
1481.027422, -5713.149585
1481.040856, -5713.142734
1481.047247, -5713.139476
1481.048337, -36310.951697
1481.049377, -36310.986215
1481.059781, -36311.331397
1481.163820, -36314.783372
1482.204000, -36349.318669
1492.584573, -36696.230090
1594.207107, -40325.106232
1632.921811, -41829.569385
1652.658680, -42621.952669
1671.614893, -43400.483776
1790.960324, -48784.703602
1900.155422, -54595.048804
1995.264108, -60562.434516
2077.292183, -66611.734654
2147.441338, -72678.262977
2166.535511, -74511.149372
2183.312048, -76197.922439
2197.558282, -77691.935337
2200.662747, -78012.805471
2203.826896, -78334.624365
2234.167869, -81567.561941
2247.662553, -83100.931364
2254.336162, -83883.871207
2260.048486, -84553.943617
2265.199585, -85168.452720
2305.170103, -90372.339799
2309.108691, -90935.565518
2311.414434, -91270.404680
2312.892912, -91475.274247
2315.533100, -91832.045413
2339.551955, -95313.438386
2365.720333, -99850.623109
2370.051857, -100735.171924
2371.517823, -101048.437452
2372.148331, -101185.657614
2375.061868, -101932.533229
2377.488268, -102595.677039
2388.298381, -106541.969962
2389.566071, -107348.807667
2390.315832, -108035.226191
2390.693677, -108655.718791
2390.728643, -108769.817660
2390.763557, -108994.720336
2390.764666, -109023.782428
2390.764964, -109043.534341
2390.764979, -109049.546418
