Ground distance, CL
   0.000000,    0.849775
   0.000002,    0.849775
   0.000024,    0.849775
   0.000168,    0.849775
   0.001522,    0.849775
   0.008608,    0.849775
   0.022097,    0.849775
   0.041801,    0.849775
   0.067777,    0.849775
   0.099966,    0.849775
   0.138571,    0.849775
   0.183768,    0.849775
   0.235058,    0.849775
   0.292985,    0.849775
   0.357442,    0.849775
   0.428854,    0.849775
   0.506947,    0.849775
   0.591796,    0.849775
   0.684228,    0.849775
   0.783029,    0.849775
   0.888667,    0.849775
   1.002245,    0.849775
   1.122697,    0.849775
   1.250978,    0.849775
   1.387134,    0.849775
   1.530639,    0.849775
   1.683092,    0.849775
   1.843261,    0.849775
   2.010826,    0.849775
   2.188889,    0.849775
   2.373507,    0.849775
   2.566830,    0.849775
   2.767614,    0.849775
   2.980071,    0.849775
   3.200836,    0.849775
   3.431782,    0.849775
   3.672330,    0.849775
   3.921458,    0.849775
   4.180962,    0.849775
   4.448738,    0.849775
   4.728563,    0.849775
   5.020881,    0.849775
   5.321764,    0.849775
   5.635446,    0.849775
   5.962867,    0.849775
   6.303340,    0.849775
   6.649361,    0.849775
   7.007577,    0.849775
   7.382256,    0.849775
   7.764463,    0.849775
   8.163656,    0.849775
   8.568382,    0.849775
   8.991208,    0.849775
   9.077093,    0.849775
   9.124357,    0.849775
   9.151566,    0.849775
   9.172111,    0.849775
   9.189273,    0.849775
   9.201266,    0.849775
   9.204965,    0.849775
   9.207521,    0.849775
   9.208894,    0.849775
   9.216725,    0.849775
   9.223846,    0.849775
   9.257054,    0.849775
   9.375685,    0.849775
   9.653618,    0.849775
  10.085865,    0.849775
  10.553634,    0.849775
  11.033922,    0.849775
  11.531837,    0.849775
  12.047192,    0.849775
  12.570552,    0.849775
  13.113761,    0.849775
  13.670141,    0.849775
  14.245223,    0.849775
  14.824278,    0.849775
  15.420956,    0.849775
  16.036438,    0.849775
  16.662410,    0.849775
  17.309587,    0.849775
  17.973669,    0.849775
  18.651353,    0.849775
  19.347910,    0.849775
  20.063726,    0.849775
  20.798624,    0.849775
  21.549948,    0.849775
  22.321854,    0.849775
  23.105506,    0.849775
  23.913696,    0.849775
  24.740971,    0.849775
  25.578138,    0.849775
  26.434607,    0.849775
  27.317241,    0.849775
  28.210063,    0.849775
  29.133912,    0.849775
  30.073961,    0.849775
  31.023903,    0.849775
  32.009652,    0.849775
  33.010532,    0.849775
  34.023803,    0.849775
  35.059176,    0.849775
  36.118378,    0.849775
  37.202878,    0.849775
  37.246720,    0.849775
  37.285711,    0.849775
  37.317636,    0.849775
  37.325309,    0.849775
  37.326839,    0.849775
  37.328248,    0.849775
  37.342339,    0.849775
  37.424673,    0.849775
  37.689713,    0.849775
  38.440006,    0.849775
  39.567864,    0.849775
  40.714044,    0.849775
  41.887421,    0.849775
  43.074567,    0.849775
  44.286152,    0.849775
  45.523873,    0.849775
  46.771378,    0.849775
  48.064335,    0.849775
  49.368226,    0.849775
  50.703684,    0.849775
  52.071638,    0.849775
  53.444462,    0.849775
  54.840769,    0.849775
  56.259258,    0.849775
