Time, Horizontal Forces
   0.000000, 28397.652714
   0.000001, 28397.457901
   0.000007, 28396.895674
   0.000051, 28395.569918
   0.000464, 28391.305740
   0.002624, 28382.503536
   0.006735, 28373.357667
   0.012741, 28364.225685
   0.020659, 28355.081522
   0.030470, 28345.948487
   0.042237, 28336.777760
   0.056013, 28327.551442
   0.071646, 28318.373773
   0.089302, 28309.148075
   0.108948, 28299.903246
   0.130715, 28290.591611
   0.154517, 28281.261522
   0.180380, 28271.909330
   0.208553, 28262.458806
   0.238667, 28253.041316
   0.270866, 28243.610880
   0.305484, 28234.080294
   0.342198, 28224.548476
   0.381298, 28214.946434
   0.422798, 28205.281906
   0.466539, 28195.598899
   0.513006, 28185.799906
   0.561826, 28175.974551
   0.612900, 28166.145025
   0.667173, 28156.141397
   0.723445, 28146.193019
   0.782370, 28136.184736
   0.843569, 28126.184277
   0.908326, 28115.992638
   0.975615, 28105.783174
   1.046007, 28095.475782
   1.119326, 28085.105162
   1.195260, 28074.719581
   1.274357, 28064.249456
   1.355975, 28053.783762
   1.441266, 28043.181460
   1.530365, 28032.438738
   1.622074, 28021.706150
   1.717684, 28010.838457
   1.817482, 27999.815935
   1.921258, 27988.673755
   2.026725, 27977.657476
   2.135910, 27966.554151
   2.250112, 27955.243556
   2.366608, 27944.001077
   2.488282, 27932.554070
   2.611643, 27921.234112
   2.740520, 27909.693488
   2.766698, 27907.383164
   2.781104, 27906.116478
   2.789397, 27905.388775
   2.795659, 27904.840043
   2.800890, 27904.382121
   2.804546, 27904.062382
   2.805673, 27903.963793
   2.806452, 27903.895698
   2.806871, 27903.859136
   2.809258, 27903.650469
   2.811428, 27903.460789
   2.821550, 27902.577270
   2.857709, 27899.434071
   2.942423, 27892.148043
   3.074172, 27881.024765
   3.216748, 27869.256288
   3.363140, 27857.444931
   3.514904, 27845.472276
   3.671984, 27833.353370
   3.831504, 27821.312623
   3.997074, 27809.081457
   4.166659, 27796.817656
   4.341944, 27784.405317
   4.518440, 27772.161993
   4.700307, 27759.797810
   4.887906, 27747.296342
   5.078702, 27734.829782
   5.275962, 27722.189035
   5.478374, 27709.465819
   5.684932, 27696.726504
   5.897243, 27683.875875
   6.115424, 27670.913317
   6.339421, 27657.848243
   6.568424, 27644.732358
   6.803701, 27631.497966
   7.042558, 27618.299068
   7.288895, 27604.924184
   7.541048, 27591.470536
   7.796216, 27578.088056
   8.057268, 27564.626795
   8.326295, 27550.985688
   8.598427, 27537.414684
   8.880016, 27523.601547
   9.166543, 27509.774547
   9.456086, 27496.025150
   9.756542, 27481.983738
  10.061610, 27467.951801
  10.370455, 27453.966724
  10.686037, 27439.895623
  11.008882, 27425.719709
  11.339437, 27411.424727
  11.352800, 27410.851364
  11.364685, 27410.341735
  11.374415, 27409.924678
  11.376754, 27409.824460
  11.377221, 27409.804473
  11.377650, 27409.786057
  11.381945, 27409.601899
  11.407040, 27408.526587
  11.487824, 27405.073311
  11.716514, 27395.364628
  12.060285, 27380.951807
  12.409641, 27366.519695
  12.767286, 27351.960053
  13.129128, 27337.441660
  13.498419, 27322.835285
  13.875677, 27308.124876
  14.255916, 27293.505314
  14.650009, 27278.563729
  15.047435, 27263.704329
  15.454483, 27248.693672
  15.871435, 27233.527921
  16.289872, 27218.513700
  16.715467, 27203.445729
  17.147822, 27188.340155
  17.594470, 27172.940694
  18.042803, 27157.685282
  18.503879, 27142.199625
  18.969333, 27126.768371
  19.442362, 27111.285730
  19.923004, 27095.752713
  20.416617, 27080.001513
  20.910906, 27064.425585
  21.421529, 27048.534454
  21.934780, 27032.758607
  22.462547, 27016.735446
  22.994058, 27000.795265
  23.535604, 26984.750110
  24.078322, 26968.861925
  24.634539, 26952.770931
  25.202594, 26936.531686
  25.773761, 26920.394784
  25.890542, 26917.118477
  25.904643, 26916.723404
  25.916605, 26916.388329
  25.926806, 26916.102648
  25.937440, 26915.804930
  25.948330, 26915.500064
  25.950910, 26915.427854
  25.952918, 26915.371678
  25.953803, 26915.346900
  25.960678, 26915.154264
  25.966932, 26914.979037
  25.998580, 26914.092706
  26.145674, 26909.980608
  26.572892, 26898.105405
  27.175189, 26881.531661
  27.773542, 26865.255381
  28.381676, 26848.899750
  29.003680, 26832.359587
  29.633972, 26815.787265
  30.270121, 26799.246972
  30.920865, 26782.514548
  31.578447, 26765.792705
  32.243480, 26749.066054
  32.917387, 26732.299832
  33.603812, 26715.406387
  34.298193, 26698.500557
  34.999784, 26681.600870
  35.716043, 26664.530637
  36.439586, 26647.468695
  37.174982, 26630.309016
