V/VsTO, Thrust - Yawing Moment
   0.298139, 17517.328508
   0.301480, 17912.109340
   0.304821, 18311.289248
   0.308162, 18714.868230
   0.311503, 19122.846286
   0.314843, 19535.223418
   0.318184, 19951.999624
   0.321525, 20373.174905
   0.324866, 20798.749260
   0.328207, 21228.722691
   0.331548, 21663.095196
   0.334888, 22101.866775
   0.338229, 22545.037430
   0.341570, 22992.607159
   0.344911, 23444.575963
   0.348252, 23900.943841
   0.351592, 24361.710794
   0.354933, 24826.876822
   0.358274, 25296.441925
   0.361615, 25770.406102
   0.364956, 26248.769354
   0.368296, 26731.531681
   0.371637, 27218.693082
   0.374978, 27710.253558
   0.378319, 28206.213109
   0.381660, 28706.571735
   0.385000, 29211.329435
   0.388341, 29720.486210
   0.391682, 30234.042059
   0.395023, 30751.996984
   0.398364, 31274.350983
   0.401704, 31801.104057
   0.405045, 32332.256205
   0.408386, 32867.807428
   0.411727, 33407.757726
   0.415068, 33952.107099
   0.418408, 34500.855546
   0.421749, 35054.003068
   0.425090, 35611.549664
   0.428431, 36173.495336
   0.431772, 36739.840082
   0.435112, 37310.583903
   0.438453, 37885.726798
   0.441794, 38465.268768
   0.445135, 39049.209813
   0.448476, 39637.549933
   0.451817, 40230.289127
   0.455157, 40827.427396
   0.458498, 41428.964740
   0.461839, 42034.901158
   0.465180, 42645.236651
   0.468521, 43259.971219
   0.471861, 43879.104861
   0.475202, 44502.637579
   0.478543, 45130.569371
   0.481884, 45762.900237
   0.485225, 46399.630179
   0.488565, 47040.759195
   0.491906, 47686.287285
   0.495247, 48336.214451
   0.498588, 48990.540691
   0.501929, 49649.266006
   0.505269, 50312.390395
   0.508610, 50979.913859
   0.511951, 51651.836398
   0.515292, 52328.158012
   0.518633, 53008.878700
   0.521973, 53693.998463
   0.525314, 54383.517301
   0.528655, 55077.435214
   0.531996, 55775.752201
   0.535337, 56478.468263
   0.538677, 57185.583399
   0.542018, 57897.097611
   0.545359, 58613.010897
   0.548700, 59333.323257
   0.552041, 60058.034693
   0.555381, 60787.145203
   0.558722, 61520.654787
   0.562063, 62258.563447
   0.565404, 63000.871181
   0.568745, 63747.577990
   0.572085, 64498.683874
   0.575426, 65254.188832
   0.578767, 66014.092865
   0.582108, 66778.395973
   0.585449, 67547.098155
   0.588790, 68320.199412
   0.592130, 69097.699744
   0.595471, 69879.599151
   0.598812, 70665.897632
   0.602153, 71456.595188
   0.605494, 72251.691818
   0.608834, 73051.187524
   0.612175, 73855.082304
   0.615516, 74663.376158
   0.618857, 75476.069088
   0.622198, 76293.161092
   0.625538, 77114.652171
   0.628879, 77940.542324
   0.632220, 78770.831553
   0.635561, 79605.519856
   0.638902, 80444.607233
   0.642242, 81288.093686
   0.645583, 82135.979213
   0.648924, 82988.263815
   0.652265, 83844.947491
   0.655606, 84706.030242
   0.658946, 85571.512068
   0.662287, 86441.392969
   0.665628, 87315.672944
   0.668969, 88194.351994
   0.672310, 89077.430119
   0.675650, 89964.907318
   0.678991, 90856.783592
   0.682332, 91753.058941
   0.685673, 92653.733365
   0.689014, 93558.806863
   0.692354, 94468.279436
   0.695695, 95382.151083
   0.699036, 96300.421806
   0.702377, 97223.091603
   0.705718, 98150.160474
   0.709059, 99081.628421
   0.712399, 100017.495442
