V (EAS), 
  66.920033,    0.000000
  66.920033,    1.000000
  71.241125,    1.133311
  75.562218,    1.274961
  79.883310,    1.424950
  84.204402,    1.583278
  88.525494,    1.749945
  92.846586,    1.924950
  97.167679,    2.108295
 101.488771,    2.299978
 105.809863,    2.500000
 184.279695,    2.500000
 230.349619,    2.500000
 230.349619,    0.000000
 184.279695,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,   -1.000000
  84.647890,    0.000000
