Mach, Climb Angle
   0.208455,    9.600964
   0.210592,    9.591714
   0.212729,    9.583028
   0.214866,    9.574905
   0.217003,    9.567346
   0.219139,    9.558116
   0.221276,    9.518502
   0.223413,    9.479586
   0.225550,    9.441168
   0.227687,    9.402995
   0.229823,    9.365066
   0.231960,    9.327383
   0.234097,    9.289944
   0.236234,    9.252920
   0.238371,    9.217120
   0.240508,    9.181564
   0.242644,    9.146252
   0.244781,    9.111184
   0.246918,    9.076361
   0.249055,    9.041781
   0.251192,    9.008485
   0.253328,    8.975985
   0.255465,    8.943728
   0.257602,    8.907080
   0.259739,    8.847240
   0.261876,    8.787417
   0.264013,    8.727936
   0.266149,    8.670184
   0.268286,    8.612450
   0.270423,    8.554733
   0.272560,    8.497034
   0.274697,    8.439351
   0.276833,    8.381686
   0.278970,    8.325682
   0.281107,    8.270525
   0.283244,    8.215385
   0.285381,    8.160261
   0.287517,    8.105153
   0.289654,    8.050061
   0.291791,    7.995479
   0.293928,    7.943328
   0.296065,    7.891192
   0.298202,    7.839071
   0.300338,    7.786965
   0.302475,    7.734874
   0.304612,    7.682798
   0.306749,    7.632790
   0.308886,    7.583784
   0.311022,    7.534793
   0.313159,    7.485815
   0.315296,    7.436850
   0.317433,    7.387900
   0.319570,    7.339463
   0.321707,    7.293304
   0.323843,    7.247158
   0.325980,    7.201026
   0.328117,    7.138023
   0.330254,    7.070005
   0.332391,    7.001863
   0.334527,    6.935283
   0.336664,    6.869349
   0.338801,    6.803291
   0.340938,    6.737108
   0.343075,    6.670801
   0.345211,    6.604369
   0.347348,    6.538224
   0.349485,    6.473692
   0.351622,    6.409035
   0.353759,    6.344253
   0.355896,    6.279344
   0.358032,    6.214311
   0.360169,    6.149152
   0.362306,    6.085153
   0.364443,    6.021587
   0.366580,    5.957894
   0.368716,    5.894076
   0.370853,    5.830131
   0.372990,    5.766060
   0.375127,    5.702175
   0.377264,    5.639391
   0.379401,    5.576480
   0.381537,    5.513442
   0.383674,    5.450278
   0.385811,    5.386986
   0.387948,    5.323569
   0.390085,    5.260898
   0.392221,    5.198461
   0.394358,    5.135896
   0.396495,    5.073204
   0.398632,    5.010385
   0.400769,    4.947439
   0.402905,    4.884574
   0.405042,    4.822348
   0.407179,    4.759995
   0.409316,    4.697514
   0.411453,    4.634905
   0.413590,    4.572169
   0.415726,    4.509305
   0.417863,    4.446905
   0.420000,    4.384608
