Speed (CAS), Climb Angle
  70.936097,    2.260852
  71.505906,    2.276470
  72.075716,    2.292429
  72.645525,    2.308790
  73.215335,    2.325914
  73.785144,    2.343379
  74.354954,    2.361185
  74.924763,    2.355043
  75.494573,    2.346828
  76.064382,    2.338744
  76.634192,    2.330792
  77.204001,    2.323562
  77.773811,    2.316544
  78.343620,    2.309658
  78.913430,    2.302903
  79.483239,    2.296281
  80.053049,    2.289790
  80.622858,    2.283430
  81.192668,    2.277746
  81.762477,    2.272507
  82.332287,    2.267401
  82.902096,    2.262426
  83.471906,    2.257583
  84.041715,    2.252871
  84.611525,    2.248291
  85.181334,    2.244247
  85.751144,    2.240975
  86.320953,    2.237834
  86.890763,    2.234826
  87.460572,    2.213173
  88.030382,    2.187846
  88.600191,    2.162501
  89.170001,    2.137308
  89.739810,    2.113154
  90.309620,    2.088981
  90.879429,    2.064789
  91.449239,    2.040578
  92.019048,    2.016349
  92.588858,    1.992101
  93.158667,    1.967834
  93.728477,    1.944682
  94.298286,    1.921646
  94.868096,    1.898592
  95.437905,    1.875520
  96.007715,    1.852428
  96.577524,    1.829318
  97.147334,    1.806188
  97.717143,    1.783761
  98.286953,    1.761710
  98.856762,    1.739640
  99.426572,    1.717551
  99.996381,    1.695444
 100.566191,    1.673317
 101.136000,    1.651172
 101.705810,    1.629386
 102.275619,    1.608151
 102.845429,    1.586898
 103.415238,    1.565625
 103.985048,    1.544334
 104.554857,    1.523023
 105.124667,    1.501694
 105.694476,    1.480465
 106.264286,    1.459879
 106.834095,    1.439274
 107.403905,    1.418650
 107.973714,    1.398007
 108.543524,    1.377345
 109.113333,    1.356665
 109.683143,    1.335965
 110.252952,    1.300274
 110.822762,    1.262532
 111.392571,    1.224678
 111.962381,    1.186713
 112.532190,    1.148637
 113.102000,    1.110450
 113.671809,    1.072151
 114.241619,    1.034034
 114.811428,    0.995959
 115.381238,    0.957772
 115.951047,    0.919473
 116.520857,    0.881063
 117.090666,    0.842542
 117.660476,    0.803909
 118.230285,    0.765279
 118.800095,    0.726702
 119.369904,    0.688013
 119.939714,    0.649213
 120.509523,    0.610301
 121.079333,    0.571278
 121.649142,    0.532143
 122.218952,    0.492921
 122.788761,    0.453714
 123.358571,    0.414396
 123.928380,    0.374965
 124.498190,    0.335423
 125.067999,    0.295770
 125.637809,    0.256004
 126.207618,    0.216127
 126.777428,    0.176247
 127.347237,    0.136264
