Speed (CAS), Efficiency
 137.888741,   15.464334
 138.449191,   15.554640
 139.009641,   15.646379
 139.570092,   15.739584
 140.130542,   15.834288
 140.690992,   15.930525
 141.251442,   16.028331
 141.811892,   16.127740
 142.372342,   16.228792
 142.932792,   16.331524
 143.493242,   16.435976
 144.053692,   16.542190
 144.614142,   16.650207
 145.174593,   16.724653
 145.735043,   16.772090
 146.295493,   16.819981
 146.855943,   16.868332
 147.416393,   16.917149
 147.976843,   16.966436
 148.537293,   17.016200
 149.097743,   17.066446
 149.658193,   17.117181
 150.218643,   17.168411
 150.779093,   17.220141
 151.339544,   17.272379
 151.899994,   17.325130
 152.460444,   17.378401
 153.020894,   17.432198
 153.581344,   17.486529
 154.141794,   17.541400
 154.702244,   17.596819
 155.262694,   17.652791
 155.823144,   17.709325
 156.383594,   17.766429
 156.944044,   17.824108
 157.504495,   17.882372
 158.064945,   17.941228
 158.625395,   18.000683
 159.185845,   18.060746
 159.746295,   18.121426
 160.306745,   18.182730
 160.867195,   18.244667
 161.427645,   18.307246
 161.988095,   18.370476
 162.548545,   18.434365
 163.108996,   18.498923
 163.669446,   18.564160
 164.229896,   18.630084
 164.790346,   18.696706
 165.350796,   18.764036
 165.911246,   18.832084
 166.471696,   18.900859
 167.032146,   18.970373
 167.592596,   19.040637
 168.153046,   19.111661
 168.713496,   19.183457
 169.273947,   19.256036
 169.834397,   19.329410
 170.394847,   19.373994
 170.955297,   19.376618
 171.515747,   19.379251
 172.076197,   19.381893
 172.636647,   19.384544
 173.197097,   19.387205
 173.757547,   19.389876
 174.317997,   19.392555
 174.878448,   19.395244
 175.438898,   19.397943
 175.999348,   19.400651
 176.559798,   19.403368
 177.120248,   19.406094
 177.680698,   19.408830
 178.241148,   19.411576
 178.801598,   19.414331
 179.362048,   19.417095
 179.922498,   19.419869
 180.482948,   19.422652
 181.043399,   19.425445
 181.603849,   19.428247
 182.164299,   19.431058
 182.724749,   19.433879
 183.285199,   19.436710
 183.845649,   19.439550
 184.406099,   19.442399
 184.966549,   19.445259
 185.526999,   19.448127
 186.087449,   19.451005
 186.647899,   19.453893
 187.208350,   19.456790
 187.768800,   19.459697
 188.329250,   19.462613
 188.889700,   19.465539
 189.450150,   19.468475
 190.010600,   19.471420
 190.571050,   19.474374
 191.131500,   19.477338
 191.691950,   19.480312
 192.252400,   19.483296
 192.812851,   19.486289
 193.373301,   19.489292
