Mach, Efficiency
   0.205305,   14.755680
   0.207473,   14.957155
   0.209642,   15.166415
   0.211811,   15.383883
   0.213979,   15.610015
   0.216148,   15.813966
   0.218317,   15.907400
   0.220485,   16.002893
   0.222654,   16.100502
   0.224822,   16.200281
   0.226991,   16.302291
   0.229160,   16.406591
   0.231328,   16.513245
   0.233497,   16.622320
   0.235666,   16.733883
   0.237834,   16.848007
   0.240003,   16.964765
   0.242172,   17.084234
   0.244340,   17.206496
   0.246509,   17.331634
   0.248677,   17.459736
   0.250846,   17.590893
   0.253015,   17.725200
   0.255183,   17.730159
   0.257352,   17.710195
   0.259521,   17.690107
   0.261689,   17.669897
   0.263858,   17.649566
   0.266027,   17.629114
   0.268195,   17.608542
   0.270364,   17.587852
   0.272533,   17.567045
   0.274701,   17.546121
   0.276870,   17.525082
   0.279038,   17.503928
   0.281207,   17.482660
   0.283376,   17.461281
   0.285544,   17.439790
   0.287713,   17.418188
   0.289882,   17.396477
   0.292050,   17.374658
   0.294219,   17.352731
   0.296388,   17.330698
   0.298556,   17.308560
   0.300725,   17.286318
   0.302893,   17.263972
   0.305062,   17.241524
   0.307231,   17.218975
   0.309399,   17.196325
   0.311568,   17.173576
   0.313737,   17.150730
   0.315905,   17.127786
   0.318074,   17.104746
   0.320243,   17.081611
   0.322411,   17.012433
   0.324580,   16.877348
   0.326749,   16.743507
   0.328917,   16.610902
   0.331086,   16.479525
   0.333254,   16.349366
   0.335423,   16.220417
   0.337592,   16.092670
   0.339760,   15.966115
   0.341929,   15.840743
   0.344098,   15.716547
   0.346266,   15.593515
   0.348435,   15.471640
   0.350604,   15.350911
   0.352772,   15.231321
   0.354941,   15.112859
   0.357109,   14.995516
   0.359278,   14.879283
   0.361447,   14.764151
   0.363615,   14.650110
   0.365784,   14.537150
   0.367953,   14.425263
   0.370121,   14.314439
   0.372290,   14.204668
   0.374459,   14.095941
   0.376627,   13.988249
   0.378796,   13.881582
   0.380964,   13.775931
   0.383133,   13.671286
   0.385302,   13.567639
   0.387470,   13.464979
   0.389639,   13.363299
   0.391808,   13.262587
   0.393976,   13.162836
   0.396145,   13.064036
   0.398314,   12.966177
   0.400482,   12.869252
   0.402651,   12.773250
   0.404820,   12.678163
   0.406988,   12.583981
   0.409157,   12.490697
   0.411325,   12.398300
   0.413494,   12.306783
   0.415663,   12.216136
   0.417831,   12.126351
   0.420000,   12.037420
