Speed (CAS), Rate of Climb
  70.936097,    6.632319
  71.099591,    6.655428
  71.263085,    6.678625
  71.426579,    6.701910
  71.590073,    6.725284
  71.753567,    6.748748
  71.917061,    6.772301
  72.080555,    6.796261
  72.244049,    6.820450
  72.407543,    6.844733
  72.571037,    6.869108
  72.734531,    6.893577
  72.898025,    6.918140
  73.061519,    6.942796
  73.225013,    6.967547
  73.388507,    6.992393
  73.552001,    7.017334
  73.715495,    7.042371
  73.878989,    7.067503
  74.042483,    7.092732
  74.205977,    7.118057
  74.369471,    7.143479
  74.532965,    7.168103
  74.696459,    7.179459
  74.859953,    7.190850
  75.023447,    7.202548
  75.186941,    7.214252
  75.350435,    7.225962
  75.513929,    7.237679
  75.677423,    7.249402
  75.840917,    7.261132
  76.004411,    7.272869
  76.167905,    7.284612
  76.331399,    7.296363
  76.494893,    7.308121
  76.658387,    7.319887
  76.821881,    7.331660
  76.985375,    7.343441
  77.148869,    7.355230
  77.312363,    7.367027
  77.475857,    7.378832
  77.639351,    7.390645
  77.802845,    7.402563
  77.966339,    7.414593
  78.129833,    7.426633
  78.293327,    7.438682
  78.456821,    7.450742
  78.620315,    7.462811
  78.783809,    7.474891
  78.947303,    7.486982
  79.110797,    7.499083
  79.274291,    7.511194
  79.437785,    7.523317
  79.601279,    7.535450
  79.764773,    7.547595
  79.928267,    7.559751
  80.091761,    7.571919
  80.255255,    7.584098
  80.418749,    7.596289
  80.582243,    7.608492
  80.745737,    7.620755
  80.909231,    7.633038
  81.072725,    7.645333
  81.236219,    7.657641
  81.399713,    7.669961
  81.563207,    7.682295
  81.726701,    7.694643
  81.890195,    7.707003
  82.053689,    7.719377
  82.217183,    7.731765
  82.380677,    7.744167
  82.544171,    7.756583
  82.707665,    7.769013
  82.871159,    7.781457
  83.034653,    7.793916
  83.198147,    7.806389
  83.361641,    7.818877
  83.525135,    7.831371
  83.688629,    7.843852
  83.852123,    7.856349
  84.015617,    7.868861
  84.179111,    7.881389
  84.342605,    7.893932
  84.506099,    7.906491
  84.669593,    7.919066
  84.833087,    7.931656
  84.996581,    7.944263
  85.160075,    7.956887
  85.323569,    7.969526
  85.487063,    7.982183
  85.650557,    7.994856
  85.814051,    8.007546
  85.977545,    8.020253
  86.141039,    8.032978
  86.304533,    8.045720
  86.468027,    8.058494
  86.631521,    8.071294
  86.795015,    8.084112
  86.958509,    8.096948
  87.122003,    8.109803
