Speed (CAS), Efficiency
 200.033185,   17.057108
 200.649962,   17.081159
 201.266740,   17.121888
 201.883517,   17.166791
 202.500294,   17.213744
 203.117072,   17.263839
 203.733849,   17.314380
 204.350626,   17.365372
 204.967404,   17.416279
 205.584181,   17.467307
 206.200959,   17.518789
 206.817736,   17.570731
 207.434513,   17.623139
 208.051291,   17.674318
 208.668068,   17.723364
 209.284845,   17.772828
 209.901623,   17.822717
 210.518400,   17.873035
 211.135177,   17.923786
 211.751955,   17.968483
 212.368732,   17.999440
 212.985509,   18.030594
 213.602287,   18.061947
 214.219064,   18.093500
 214.835842,   18.125256
 215.452619,   18.157214
 216.069396,   18.189378
 216.686174,   18.221749
 217.302951,   18.254327
 217.919728,   18.287115
 218.536506,   18.320115
 219.153283,   18.353328
 219.770060,   18.386756
 220.386838,   18.420400
 221.003615,   18.454262
 221.620392,   18.488344
 222.237170,   18.522648
 222.853947,   18.557175
 223.470725,   18.591927
 224.087502,   18.626907
 224.704279,   18.662115
 225.321057,   18.697553
 225.937834,   18.733225
 226.554611,   18.769131
 227.171389,   18.805273
 227.788166,   18.841653
 228.404943,   18.878274
 229.021721,   18.915137
 229.638498,   18.952244
 230.255275,   18.989598
 230.872053,   19.027199
 231.488830,   19.065052
 232.105608,   19.103156
 232.722385,   19.141515
 233.339162,   19.180132
 233.955940,   19.219007
 234.572717,   19.258143
 235.189494,   19.297542
 235.806272,   19.337207
 236.423049,   19.377141
 237.039826,   19.417344
 237.656604,   19.457820
 238.273381,   19.498571
 238.890158,   19.539599
 239.506936,   19.580907
 240.123713,   19.621787
 240.740491,   19.622450
 241.357268,   19.623115
 241.974045,   19.623782
 242.590823,   19.624450
 243.207600,   19.625121
 243.824377,   19.625793
 244.441155,   19.626466
 245.057932,   19.627142
 245.674709,   19.627819
 246.291487,   19.628498
 246.908264,   19.629179
 247.525041,   19.629861
 248.141819,   19.630545
 248.758596,   19.631231
 249.375374,   19.631919
 249.992151,   19.632609
 250.608928,   19.633300
 251.225706,   19.633993
 251.842483,   19.634688
 252.459260,   19.635384
 253.076038,   19.636082
 253.692815,   19.636782
 254.309592,   19.637484
 254.926370,   19.638188
 255.543147,   19.638893
 256.159924,   19.639600
 256.776702,   19.640309
 257.393479,   19.641019
 258.010257,   19.641732
 258.627034,   19.642446
 259.243811,   19.643162
 259.860589,   19.643879
 260.477366,   19.644598
 261.094143,   19.645319
