Speed (TAS), Efficiency
 190.240074,   17.057108
 190.751780,   17.078081
 191.263487,   17.110484
 191.775194,   17.149552
 192.286901,   17.188904
 192.798608,   17.231815
 193.310314,   17.275631
 193.822021,   17.319788
 194.333728,   17.364288
 194.845435,   17.408724
 195.357142,   17.453154
 195.868849,   17.497930
 196.380555,   17.543053
 196.892262,   17.588529
 197.403969,   17.634361
 197.915676,   17.678486
 198.427383,   17.721279
 198.939090,   17.764391
 199.450796,   17.807824
 199.962503,   17.851583
 200.474210,   17.895671
 200.985917,   17.940090
 201.497624,   17.974405
 202.009330,   18.001432
 202.521037,   18.028610
 203.032744,   18.055938
 203.544451,   18.083420
 204.056158,   18.111054
 204.567865,   18.138842
 205.079571,   18.166786
 205.591278,   18.194887
 206.102985,   18.223144
 206.614692,   18.251561
 207.126399,   18.280136
 207.638105,   18.308873
 208.149812,   18.337771
 208.661519,   18.366832
 209.173226,   18.396057
 209.684933,   18.425447
 210.196640,   18.455003
 210.708346,   18.484726
 211.220053,   18.514619
 211.731760,   18.544680
 212.243467,   18.574913
 212.755174,   18.605318
 213.266881,   18.635896
 213.778587,   18.666648
 214.290294,   18.697576
 214.802001,   18.728682
 215.313708,   18.759965
 215.825415,   18.791428
 216.337121,   18.823072
 216.848828,   18.854897
 217.360535,   18.886906
 217.872242,   18.919100
 218.383949,   18.951480
 218.895656,   18.984047
 219.407362,   19.016803
 219.919069,   19.049749
 220.430776,   19.082887
 220.942483,   19.116218
 221.454190,   19.149742
 221.965897,   19.183463
 222.477603,   19.217381
 222.989310,   19.251497
 223.501017,   19.285814
 224.012724,   19.320332
 224.524431,   19.355053
 225.036137,   19.389979
 225.547844,   19.425112
 226.059551,   19.460452
 226.571258,   19.496001
 227.082965,   19.531761
 227.594672,   19.567734
 228.106378,   19.603921
 228.618085,   19.622070
 229.129792,   19.622649
 229.641499,   19.623229
 230.153206,   19.623811
 230.664913,   19.624394
 231.176619,   19.624979
 231.688326,   19.625564
 232.200033,   19.626151
 232.711740,   19.626740
 233.223447,   19.627330
 233.735153,   19.627921
 234.246860,   19.628513
 234.758567,   19.629107
 235.270274,   19.629702
 235.781981,   19.630299
 236.293688,   19.630896
 236.805394,   19.631496
 237.317101,   19.632096
 237.828808,   19.632698
 238.340515,   19.633301
 238.852222,   19.633905
 239.363928,   19.634511
 239.875635,   19.635118
 240.387342,   19.635727
 240.899049,   19.636336
