Mach, Climb Angle
   0.299489,    0.737337
   0.300707,    0.759501
   0.301924,    0.771170
   0.303141,    0.782930
   0.304359,    0.794781
   0.305576,    0.806722
   0.306793,    0.818753
   0.308010,    0.826294
   0.309228,    0.831981
   0.310445,    0.838158
   0.311662,    0.844498
   0.312880,    0.850902
   0.314097,    0.857369
   0.315314,    0.863899
   0.316531,    0.867217
   0.317749,    0.869743
   0.318966,    0.872316
   0.320183,    0.874936
   0.321400,    0.877602
   0.322618,    0.880316
   0.323835,    0.883438
   0.325052,    0.886685
   0.326270,    0.887850
   0.327487,    0.887924
   0.328704,    0.888032
   0.329921,    0.888174
   0.331139,    0.888351
   0.332356,    0.888561
   0.333573,    0.888805
   0.334791,    0.889084
   0.336008,    0.889397
   0.337225,    0.889006
   0.338442,    0.887005
   0.339660,    0.885027
   0.340877,    0.883073
   0.342094,    0.881143
   0.343311,    0.879236
   0.344529,    0.877354
   0.345746,    0.875495
   0.346963,    0.873660
   0.348181,    0.871848
   0.349398,    0.869769
   0.350615,    0.866045
   0.351832,    0.862376
   0.353050,    0.858723
   0.354267,    0.855086
   0.355484,    0.851464
   0.356702,    0.847858
   0.357919,    0.844268
   0.359136,    0.840694
   0.360353,    0.837136
   0.361571,    0.833594
   0.362788,    0.830068
   0.364005,    0.825268
   0.365222,    0.819866
   0.366440,    0.814472
   0.367657,    0.809088
   0.368874,    0.803712
   0.370092,    0.798344
   0.371309,    0.792985
   0.372526,    0.787635
   0.373743,    0.782294
   0.374961,    0.776961
   0.376178,    0.771637
   0.377395,    0.766380
   0.378613,    0.761141
   0.379830,    0.754573
   0.381047,    0.747432
   0.382264,    0.740293
   0.383482,    0.733157
   0.384699,    0.726023
   0.385916,    0.718891
   0.387133,    0.711761
   0.388351,    0.704634
   0.389568,    0.697508
   0.390785,    0.690363
   0.392003,    0.683217
   0.393220,    0.676073
   0.394437,    0.668932
   0.395654,    0.661792
   0.396872,    0.654655
   0.398089,    0.645624
   0.399306,    0.636043
   0.400524,    0.626457
   0.401741,    0.616865
   0.402958,    0.607268
   0.404175,    0.597585
   0.405393,    0.587887
   0.406610,    0.578184
   0.407827,    0.568475
   0.409044,    0.558761
   0.410262,    0.549041
   0.411479,    0.539315
   0.412696,    0.529585
   0.413914,    0.519848
   0.415131,    0.510106
   0.416348,    0.500359
   0.417565,    0.490528
   0.418783,    0.479893
   0.420000,    0.468003
