Speed (TAS), Climb Angle
 105.910992,    0.263981
 106.155096,    0.279970
 106.399200,    0.288750
 106.643305,    0.295888
 106.887409,    0.303057
 107.131514,    0.310256
 107.375618,    0.317486
 107.619722,    0.324747
 107.863827,    0.332039
 108.107931,    0.339362
 108.352035,    0.346715
 108.596140,    0.353355
 108.840244,    0.356980
 109.084349,    0.360771
 109.328453,    0.364593
 109.572557,    0.368437
 109.816662,    0.372302
 110.060766,    0.376189
 110.304871,    0.380097
 110.548975,    0.384027
 110.793079,    0.387978
 111.037184,    0.391951
 111.281288,    0.395945
 111.525392,    0.399144
 111.769497,    0.400783
 112.013601,    0.402437
 112.257706,    0.404107
 112.501810,    0.405792
 112.745914,    0.407494
 112.990019,    0.409252
 113.234123,    0.411079
 113.478228,    0.412922
 113.722332,    0.414782
 113.966436,    0.416657
 114.210541,    0.418548
 114.454645,    0.420455
 114.698749,    0.422377
 114.942854,    0.423617
 115.186958,    0.423673
 115.431063,    0.423741
 115.675167,    0.423820
 115.919271,    0.423911
 116.163376,    0.424013
 116.407480,    0.424127
 116.651585,    0.424253
 116.895689,    0.424390
 117.139793,    0.424569
 117.383898,    0.424763
 117.628002,    0.424969
 117.872106,    0.425186
 118.116211,    0.425414
 118.360315,    0.425654
 118.604420,    0.425906
 118.848524,    0.425457
 119.092628,    0.424144
 119.336733,    0.422838
 119.580837,    0.421541
 119.824942,    0.420252
 120.069046,    0.418971
 120.313150,    0.417698
 120.557255,    0.416433
 120.801359,    0.415176
 121.045463,    0.413917
 121.289568,    0.412650
 121.533672,    0.411391
 121.777777,    0.410140
 122.021881,    0.408897
 122.265985,    0.407662
 122.510090,    0.406435
 122.754194,    0.405216
 122.998299,    0.404006
 123.242403,    0.401700
 123.486507,    0.399237
 123.730612,    0.396780
 123.974716,    0.394329
 124.218820,    0.391882
 124.462925,    0.389441
 124.707029,    0.387006
 124.951134,    0.384575
 125.195238,    0.382091
 125.439342,    0.379604
 125.683447,    0.377122
 125.927551,    0.374646
 126.171656,    0.372175
 126.415760,    0.369710
 126.659864,    0.367249
 126.903969,    0.364795
 127.148073,    0.362345
 127.392177,    0.359902
 127.636282,    0.357463
 127.880386,    0.354746
 128.124491,    0.351116
 128.368595,    0.347490
 128.612699,    0.343866
 128.856804,    0.340245
 129.100908,    0.336604
 129.345013,    0.332925
 129.589117,    0.329250
 129.833221,    0.325577
 130.077326,    0.321908
