Speed, Forces
  70.936091, 34855.173488
  71.663236, 34257.604168
  72.390381, 33752.044409
  73.117526, 33294.279774
  73.844671, 32922.358570
  74.571817, 32546.756955
  75.298962, 32211.304836
  76.026107, 31919.464932
  76.753252, 31624.820338
  77.480397, 31333.327500
  78.207543, 31104.879752
  78.934688, 30874.298060
  79.661833, 30641.582425
  80.388978, 30419.190051
  81.116123, 30242.327507
  81.843268, 30063.872385
  82.570414, 29883.824684
  83.297559, 29702.184406
  84.024704, 29563.435490
  84.751849, 29426.859962
  85.478994, 29289.107609
  86.206140, 29150.178431
  86.933285, 29016.866838
  87.660430, 28921.059956
  88.387575, 28824.455044
  89.114720, 28727.052103
  89.841865, 28628.851131
  90.569011, 28529.852129
  91.296156, 28460.478417
  92.023301, 28402.275258
  92.750446, 28343.610368
  93.477591, 28284.483746
  94.204737, 28224.895394
  94.931882, 28164.845310
  95.659027, 28130.594515
  96.386172, 28123.579668
  97.113317, 28116.511700
  97.840462, 28109.390611
  98.567608, 28102.216401
  99.294753, 28094.989070
 100.021898, 28087.708618
 100.749043, 28090.487579
 101.476188, 28128.053847
 102.203333, 28165.890270
 102.930479, 28203.996848
 103.657624, 28242.373582
 104.384769, 28281.020472
 105.111914, 28319.937517
 105.839059, 28359.124718
 106.566205, 28398.582074
 107.293350, 28462.761290
 108.020495, 28542.936185
 108.747640, 28623.652604
 109.474785, 28704.910547
 110.201930, 28786.710013
 110.929076, 28869.051004
 111.656221, 28951.933518
 112.383366, 29035.357556
 113.110511, 29119.323118
 113.837656, 29203.830204
 114.564802, 29298.674364
 115.291947, 29441.113533
 116.019092, 29584.453907
 116.746237, 29728.695485
 117.473382, 29873.838268
 118.200527, 30019.882255
 118.927673, 30166.827446
 119.654818, 30314.673842
 120.381963, 30463.421442
 121.109108, 30613.070247
 121.836253, 30763.620256
 122.563399, 30915.071469
 123.290544, 31067.423887
 124.017689, 31227.993301
 124.744834, 31431.738791
 125.471979, 31636.675397
 126.199124, 31842.803120
 126.926270, 32050.121959
 127.653415, 32258.631914
 128.380560, 32468.332986
 129.107705, 32679.225174
 129.834850, 32891.308478
 130.561996, 33104.582898
 131.289141, 33319.048435
 132.016286, 33534.705089
 132.743431, 33751.552858
 133.470576, 33969.591744
 134.197721, 34188.821746
 134.924867, 34409.242865
 135.652012, 34630.855100
 136.379157, 34865.555632
 137.106302, 35135.820718
 137.833447, 35407.522969
 138.560593, 35680.662386
 139.287738, 35955.238969
 140.014883, 36231.252718
 140.742028, 36508.703632
 141.469173, 36787.591711
 142.196318, 37067.916957
 142.923464, 37349.679368
