Speed, Forces
  85.874376, 35393.252666
  86.387237, 35024.895389
  86.900098, 34749.038471
  87.412958, 34471.481887
  87.925819, 34192.225635
  88.438680, 33967.218654
  88.951541, 33769.076684
  89.464401, 33569.743245
  89.977262, 33369.218337
  90.490123, 33167.501961
  91.002983, 33012.985594
  91.515844, 32862.442957
  92.028705, 32711.021500
  92.541566, 32558.721220
  93.054426, 32405.542120
  93.567287, 32264.210061
  94.080148, 32151.491619
  94.593008, 32038.133823
  95.105869, 31924.136673
  95.618730, 31809.500170
  96.131591, 31694.224313
  96.644451, 31578.309102
  97.157312, 31494.010239
  97.670173, 31412.244067
  98.183034, 31330.031819
  98.695894, 31247.373493
  99.208755, 31164.269090
  99.721616, 31080.718610
 100.234476, 30996.722053
 100.747337, 30936.526973
 101.260198, 30879.884744
 101.773059, 30822.944868
 102.285919, 30765.707347
 102.798780, 30708.172179
 103.311641, 30650.339365
 103.824501, 30592.208905
 104.337362, 30533.780799
 104.850223, 30501.322528
 105.363084, 30469.116551
 105.875944, 30436.748164
 106.388805, 30404.217366
 106.901666, 30371.524159
 107.414527, 30338.668543
 107.927387, 30305.650516
 108.440248, 30272.470079
 108.953109, 30240.069301
 109.465969, 30231.333398
 109.978830, 30222.555150
 110.491691, 30213.734557
 111.004552, 30204.871618
 111.517412, 30195.966333
 112.030273, 30187.018703
 112.543134, 30178.028728
 113.055994, 30168.996407
 113.568855, 30159.921740
 114.081716, 30150.804728
 114.594577, 30165.762428
 115.107437, 30188.260690
 115.620298, 30210.862487
 116.133159, 30233.567819
 116.646019, 30256.376687
 117.158880, 30279.289089
 117.671741, 30302.305027
 118.184602, 30325.424501
 118.697462, 30348.647509
 119.210323, 30371.974053
 119.723184, 30395.404131
 120.236045, 30418.937745
 120.748905, 30463.435484
 121.261766, 30513.640931
 121.774627, 30564.065329
 122.287487, 30614.708677
 122.800348, 30665.570975
 123.313209, 30716.652223
 123.826070, 30767.952422
 124.338930, 30819.471572
 124.851791, 30871.209672
 125.364652, 30923.166722
 125.877512, 30975.342722
 126.390373, 31027.737673
 126.903234, 31080.351574
 127.416095, 31133.184426
 127.928955, 31200.160504
 128.441816, 31277.002964
 128.954677, 31354.161257
 129.467538, 31431.635384
 129.980398, 31509.425344
 130.493259, 31587.531137
 131.006120, 31665.952764
 131.518980, 31744.690225
 132.031841, 31823.743519
 132.544702, 31903.112646
 133.057563, 31982.797607
 133.570423, 32062.798401
 134.083284, 32143.115029
 134.596145, 32223.747490
 135.109005, 32304.695784
 135.621866, 32385.959912
 136.134727, 32467.539874
 136.647588, 32562.299855
