Speed (TAS), Efficiency
  70.936091,   15.083400
  71.663236,   15.346505
  72.390381,   15.576375
  73.117526,   15.790535
  73.844671,   15.968920
  74.571817,   16.153207
  75.298962,   16.321428
  76.026107,   16.470655
  76.753252,   16.624110
  77.480397,   16.778764
  78.207543,   16.901995
  78.934688,   17.028225
  79.661833,   17.157551
  80.388978,   17.282988
  81.116123,   17.384062
  81.843268,   17.487252
  82.570414,   17.592611
  83.297559,   17.700197
  84.024704,   17.783268
  84.751849,   17.865804
  85.478994,   17.949830
  86.206140,   18.035379
  86.933285,   18.118238
  87.660430,   18.178259
  88.387575,   18.239183
  89.114720,   18.301025
  89.841865,   18.363800
  90.569011,   18.427523
  91.296156,   18.472441
  92.023301,   18.510295
  92.750446,   18.548608
  93.477591,   18.587382
  94.204737,   18.626624
  94.931882,   18.666337
  95.659027,   18.689065
  96.386172,   18.693726
  97.113317,   18.698426
  97.840462,   18.703163
  98.567608,   18.707937
  99.294753,   18.712750
 100.021898,   18.717600
 100.749043,   18.715749
 101.476188,   18.690753
 102.203333,   18.665645
 102.930479,   18.640426
 103.657624,   18.615096
 104.384769,   18.589658
 105.111914,   18.564113
 105.839059,   18.538460
 106.566205,   18.512703
 107.293350,   18.470959
 108.020495,   18.419076
 108.747640,   18.367136
 109.474785,   18.315142
 110.201930,   18.263098
 110.929076,   18.211008
 111.656221,   18.158874
 112.383366,   18.106700
 113.110511,   18.054489
 113.837656,   18.002245
 114.564802,   17.943969
 115.291947,   17.857154
 116.019092,   17.770634
 116.746237,   17.684412
 117.473382,   17.598492
 118.200527,   17.512877
 118.927673,   17.427570
 119.654818,   17.342575
 120.381963,   17.257894
 121.109108,   17.173531
 121.836253,   17.089488
 122.563399,   17.005767
 123.290544,   16.922372
 124.017689,   16.835360
 124.744834,   16.726230
 125.471979,   16.617881
 126.199124,   16.510309
 126.926270,   16.403510
 127.653415,   16.297483
 128.380560,   16.192224
 129.107705,   16.087729
 129.834850,   15.983995
 130.561996,   15.881019
 131.289141,   15.778797
 132.016286,   15.677326
 132.743431,   15.576602
 133.470576,   15.476621
 134.197721,   15.377380
 134.924867,   15.278875
 135.652012,   15.181101
 136.379157,   15.078908
 137.106302,   14.962921
 137.833447,   14.848102
 138.560593,   14.734438
 139.287738,   14.621917
 140.014883,   14.510525
 140.742028,   14.400251
 141.469173,   14.291082
 142.196318,   14.183006
 142.923464,   14.076011
