Speed (TAS), Efficiency
  84.576452,   14.408466
  85.102423,   14.560000
  85.628394,   14.675585
  86.154365,   14.793750
  86.680336,   14.914574
  87.206307,   15.013371
  87.732278,   15.101463
  88.258249,   15.191134
  88.784221,   15.282422
  89.310192,   15.375366
  89.836163,   15.447330
  90.362134,   15.518094
  90.888105,   15.589928
  91.414076,   15.662853
  91.940047,   15.736891
  92.466018,   15.805825
  92.991989,   15.861238
  93.517960,   15.917359
  94.043931,   15.974198
  94.569902,   16.031766
  95.095873,   16.090076
  95.621844,   16.149138
  96.147815,   16.192364
  96.673787,   16.234513
  97.199758,   16.277113
  97.725729,   16.320171
  98.251700,   16.363691
  98.777671,   16.407680
  99.303642,   16.452142
  99.829613,   16.484154
 100.355584,   16.514390
 100.881555,   16.544898
 101.407526,   16.575678
 101.933497,   16.606735
 102.459468,   16.638069
 102.985439,   16.669685
 103.511410,   16.701583
 104.037381,   16.719356
 104.563353,   16.737028
 105.089324,   16.754828
 105.615295,   16.772754
 106.141266,   16.790809
 106.667237,   16.808993
 107.193208,   16.827307
 107.719179,   16.845750
 108.245150,   16.863800
 108.771121,   16.868673
 109.297092,   16.873572
 109.823063,   16.878498
 110.349034,   16.883451
 110.875005,   16.888430
 111.400976,   16.893436
 111.926947,   16.898469
 112.452919,   16.903528
 112.978890,   16.908614
 113.504861,   16.913727
 114.030832,   16.905340
 114.556803,   16.892741
 115.082774,   16.880103
 115.608745,   16.867426
 116.134716,   16.854711
 116.660687,   16.841957
 117.186658,   16.829164
 117.712629,   16.816334
 118.238600,   16.803466
 118.764571,   16.790561
 119.290542,   16.777618
 119.816513,   16.764638
 120.342485,   16.740150
 120.868456,   16.712606
 121.394427,   16.685034
 121.920398,   16.657433
 122.446369,   16.629805
 122.972340,   16.602150
 123.498311,   16.574469
 124.024282,   16.546762
 124.550253,   16.519031
 125.076224,   16.491276
 125.602195,   16.463497
 126.128166,   16.435696
 126.654137,   16.407873
 127.180108,   16.380029
 127.706079,   16.344867
 128.232051,   16.304710
 128.758022,   16.264587
 129.283993,   16.224497
 129.809964,   16.184442
 130.335935,   16.144423
 130.861906,   16.104441
 131.387877,   16.064497
 131.913848,   16.024591
 132.439819,   15.984725
 132.965790,   15.944899
 133.491761,   15.905114
 134.017732,   15.865372
 134.543703,   15.825672
 135.069674,   15.786017
 135.595645,   15.746406
 136.121617,   15.706841
 136.647588,   15.661132
