Speed, Power
  85.874376, 4245216.202461
  86.387237, 4258387.514277
  86.900098, 4271395.301444
  87.412958, 4284550.201184
  87.925819, 4297679.727096
  88.438680, 4310651.151782
  88.951541, 4323464.475242
  89.464401, 4336119.697476
  89.977262, 4348616.818484
  90.490123, 4360955.838266
  91.002983, 4373136.756822
  91.515844, 4385224.851606
  92.028705, 4397660.573031
  92.541566, 4409944.797668
  93.054426, 4422077.525516
  93.567287, 4434058.756577
  94.080148, 4445888.490850
  94.593008, 4457566.728335
  95.105869, 4469093.469032
  95.618730, 4480468.712942
  96.131591, 4492065.051306
  96.644451, 4503845.197185
  97.157312, 4515481.611210
  97.670173, 4526974.293381
  98.183034, 4538323.243699
  98.695894, 4549528.462163
  99.208755, 4560589.948773
  99.721616, 4571507.703530
 100.234476, 4582281.726433
 100.747337, 4593627.382734
 101.260198, 4604877.489604
 101.773059, 4615991.828732
 102.285919, 4626970.400120
 102.798780, 4637813.203766
 103.311641, 4648520.239670
 103.824501, 4659091.507834
 104.337362, 4669527.008256
 104.850223, 4680072.451484
 105.363084, 4690919.404827
 105.875944, 4701637.449022
 106.388805, 4712226.584070
 106.901666, 4722686.809970
 107.414527, 4733018.126723
 107.927387, 4743220.534328
 108.440248, 4753294.032785
 108.953109, 4763238.622094
 109.465969, 4773509.530487
 109.978830, 4783786.483984
 110.491691, 4793940.187424
 111.004552, 4803970.640807
 111.517412, 4813877.844134
 112.030273, 4823661.797405
 112.543134, 4833322.500618
 113.055994, 4842859.953775
 113.568855, 4852366.908920
 114.081716, 4862139.420396
 114.594577, 4871793.140809
 115.107437, 4881328.070158
 115.620298, 4890744.208444
 116.133159, 4900041.555665
 116.646019, 4909220.111823
 117.158880, 4918279.876917
 117.671741, 4927220.850947
 118.184602, 4936265.322039
 118.697462, 4945336.097161
 119.210323, 4954291.340909
 119.723184, 4963131.053281
 120.236045, 4971855.234279
 120.748905, 4980463.883901
 121.261766, 4988957.002149
 121.774627, 4997334.589023
 122.287487, 5005602.647213
 122.800348, 5013989.001069
 123.313209, 5022261.883716
 123.826070, 5030421.295152
 124.338930, 5038467.235379
 124.851791, 5046399.704397
 125.364652, 5054218.702205
 125.877512, 5061924.228804
 126.390373, 5069516.284193
 126.903234, 5077040.585094
 127.416095, 5084510.019440
 127.928955, 5091866.843877
 128.441816, 5099111.058405
 128.954677, 5106242.663025
 129.467538, 5113261.657736
 129.980398, 5120168.042539
 130.493259, 5126961.817433
 131.006120, 5133642.982418
 131.518980, 5140210.368847
 132.031841, 5146664.939561
 132.544702, 5153006.889443
 133.057563, 5159236.218493
 133.570423, 5165352.926711
 134.083284, 5171357.014097
 134.596145, 5177248.480652
 135.109005, 5183027.326374
 135.621866, 5188689.816202
 136.134727, 5194229.636506
 136.647588, 5199656.729570
