Mach, Rate of Climb
   0.208455,    3.726100
   0.210592,    3.799927
   0.212729,    3.862118
   0.214866,    3.916485
   0.217003,    3.960435
   0.219139,    4.004959
   0.221276,    4.041533
   0.223413,    4.073739
   0.225550,    4.106326
   0.227687,    4.135841
   0.229823,    4.158395
   0.231960,    4.180899
   0.234097,    4.203363
   0.236234,    4.220321
   0.238371,    4.233189
   0.240508,    4.246658
   0.242644,    4.259985
   0.244781,    4.269711
   0.246918,    4.274680
   0.249055,    4.279199
   0.251192,    4.283274
   0.253328,    4.287612
   0.255465,    4.286184
   0.257602,    4.282608
   0.259739,    4.278428
   0.261876,    4.273645
   0.264013,    4.268261
   0.266149,    4.258527
   0.268286,    4.246381
   0.270423,    4.233489
   0.272560,    4.219850
   0.274697,    4.205465
   0.276833,    4.190335
   0.278970,    4.169701
   0.281107,    4.144732
   0.283244,    4.119611
   0.285381,    4.093548
   0.287517,    4.066543
   0.289654,    4.038595
   0.291791,    4.009703
   0.293928,    3.976989
   0.296065,    3.940476
   0.298202,    3.902863
   0.300338,    3.864149
   0.302475,    3.824332
   0.304612,    3.783407
   0.306749,    3.741373
   0.308886,    3.701231
   0.311022,    3.659806
   0.313159,    3.609582
   0.315296,    3.558110
   0.317433,    3.505387
   0.319570,    3.451409
   0.321707,    3.397698
   0.323843,    3.344355
   0.325980,    3.289788
   0.328117,    3.233992
   0.330254,    3.176963
   0.332391,    3.118699
   0.334527,    3.047554
   0.336664,    2.976756
   0.338801,    2.904496
   0.340938,    2.830770
   0.343075,    2.755572
   0.345211,    2.678897
   0.347348,    2.600740
   0.349485,    2.522775
   0.351622,    2.444099
   0.353759,    2.363953
   0.355896,    2.282332
   0.358032,    2.199231
   0.360169,    2.111065
   0.362306,    2.013587
   0.364443,    1.915852
   0.366580,    1.816421
   0.368716,    1.715288
   0.370853,    1.612446
   0.372990,    1.507887
   0.375127,    1.401605
   0.377264,    1.295017
   0.379401,    1.186881
   0.381537,    1.077021
   0.383674,    0.965428
   0.385811,    0.852097
   0.387948,    0.737019
   0.390085,    0.620737
   0.392221,    0.503271
   0.394358,    0.384050
   0.396495,    0.251942
   0.398632,    0.116793
   0.400769,   -0.020332
   0.402905,   -0.159375
   0.405042,   -0.299755
   0.407179,   -0.442128
   0.409316,   -0.586502
   0.411453,   -0.732884
   0.413590,   -0.881283
   0.415726,   -1.031706
   0.417863,   -1.183745
   0.420000,   -1.337635
