Speed, Forces
 129.773322, 22141.360508
 130.250781, 22103.962704
 130.728239, 22066.427559
 131.205697, 22028.755074
 131.683155, 21999.124608
 132.160613, 21974.157924
 132.638071, 21949.100879
 133.115530, 21925.282953
 133.592988, 21909.672467
 134.070446, 21894.006089
 134.547904, 21878.283820
 135.025362, 21865.250424
 135.502821, 21854.809425
 135.980279, 21844.331571
 136.457737, 21833.816862
 136.935195, 21827.264407
 137.412653, 21822.102341
 137.890111, 21816.922307
 138.367570, 21811.724306
 138.845028, 21810.713465
 139.322486, 21810.653080
 139.799944, 21810.592488
 140.277402, 21810.531689
 140.754861, 21814.188695
 141.232319, 21819.252895
 141.709777, 21824.334243
 142.187235, 21829.432741
 142.664693, 21837.129895
 143.142151, 21847.837530
 143.619610, 21858.580941
 144.097068, 21869.360128
 144.574526, 21880.246474
 145.051984, 21896.761227
 145.529442, 21913.330431
 146.006900, 21929.954086
 146.484359, 21946.632190
 146.961817, 21965.553735
 147.439275, 21988.447909
 147.916733, 22011.416342
 148.394191, 22034.459034
 148.871650, 22057.575985
 149.349108, 22082.962623
 149.826566, 22110.743330
 150.304024, 22138.612708
 150.781482, 22166.570758
 151.258940, 22194.617479
 151.736399, 22224.501124
 152.213857, 22257.301062
 152.691315, 22290.204046
 153.168773, 22323.210078
 153.646231, 22356.319156
 154.123689, 22389.603226
 154.601148, 22427.103790
 155.078606, 22464.720348
 155.556064, 22502.452898
 156.033522, 22540.301442
 156.510980, 22578.265978
 156.988439, 22617.890827
 157.465897, 22660.248903
 157.943355, 22702.735609
 158.420813, 22745.350945
 158.898271, 22788.094912
 159.375729, 22830.967510
 159.853188, 22875.772313
 160.330646, 22923.185337
 160.808104, 22970.739766
 161.285562, 23018.435599
 161.763020, 23066.272837
 162.240478, 23114.251479
 162.717937, 23163.021727
 163.195395, 23215.948071
 163.672853, 23269.029488
 164.150311, 23322.265978
 164.627769, 23375.657540
 165.105228, 23429.204174
 165.582686, 23482.905881
 166.060144, 23538.733493
 166.537602, 23596.753132
 167.015060, 23654.939351
 167.492518, 23713.292149
 167.969977, 23771.811526
 168.447435, 23830.497483
 168.924893, 23889.350019
 169.402351, 23950.215281
 169.879809, 24013.510141
 170.357268, 24076.983146
 170.834726, 24140.634296
 171.312184, 24204.463590
 171.789642, 24268.471029
 172.267100, 24332.656613
 172.744558, 24397.020341
 173.222017, 24465.107839
 173.699475, 24533.537453
 174.176933, 24602.155421
 174.654391, 24670.961746
 175.131849, 24739.956425
 175.609307, 24809.139460
 176.086766, 24878.510851
 176.564224, 24948.070597
 177.041682, 25021.558830
