Speed (CAS), Efficiency
 143.701666,   18.425697
 144.070294,   18.447410
 144.438923,   18.469229
 144.807552,   18.491157
 145.176181,   18.513192
 145.544810,   18.534050
 145.913439,   18.548684
 146.282068,   18.563377
 146.650697,   18.578132
 147.019326,   18.592946
 147.387955,   18.606920
 147.756584,   18.616155
 148.125213,   18.625422
 148.493842,   18.634722
 148.862471,   18.644055
 149.231100,   18.653420
 149.599729,   18.659759
 149.968358,   18.665974
 150.336987,   18.672208
 150.705615,   18.678463
 151.074244,   18.684736
 151.442873,   18.689265
 151.811502,   18.692342
 152.180131,   18.695427
 152.548760,   18.698520
 152.917389,   18.701622
 153.286018,   18.704733
 153.654647,   18.705019
 154.023276,   18.705055
 154.391905,   18.705091
 154.760534,   18.705127
 155.129163,   18.705163
 155.497792,   18.705029
 155.866421,   18.702010
 156.235050,   18.698985
 156.603679,   18.695954
 156.972308,   18.692916
 157.340936,   18.689872
 157.709565,   18.686823
 158.078194,   18.680643
 158.446823,   18.674259
 158.815452,   18.667863
 159.184081,   18.661458
 159.552710,   18.655042
 159.921339,   18.648615
 160.289968,   18.640308
 160.658597,   18.630499
 161.027226,   18.620678
 161.395855,   18.610845
 161.764484,   18.601000
 162.133113,   18.591142
 162.501742,   18.581273
 162.870371,   18.568221
 163.239000,   18.554736
 163.607629,   18.541241
 163.976257,   18.527734
 164.344886,   18.514217
 164.713515,   18.500689
 165.082144,   18.487151
 165.450773,   18.471251
 165.819402,   18.455067
 166.188031,   18.438875
 166.556660,   18.422676
 166.925289,   18.406470
 167.293918,   18.390256
 167.662547,   18.374035
 168.031176,   18.356298
 168.399805,   18.337437
 168.768434,   18.318574
 169.137063,   18.299708
 169.505692,   18.280840
 169.874321,   18.261970
 170.242950,   18.243098
 170.611578,   18.224224
 170.980207,   18.203268
 171.348836,   18.182027
 171.717465,   18.160790
 172.086094,   18.139557
 172.454723,   18.118328
 172.823352,   18.097103
 173.191981,   18.075884
 173.560610,   18.054668
 173.929239,   18.031654
 174.297868,   18.008145
 174.666497,   17.984649
 175.035126,   17.961164
 175.403755,   17.937691
 175.772384,   17.914231
 176.141013,   17.890782
 176.509642,   17.867346
 176.878271,   17.843346
 177.246899,   17.817615
 177.615528,   17.791905
 177.984157,   17.766216
 178.352786,   17.740548
 178.721415,   17.714901
 179.090044,   17.689275
 179.458673,   17.663671
 179.827302,   17.638088
 180.195931,   17.611941
