Time, Horizontal Forces
   0.000000, 42765.581636
   0.000000, 42765.339080
   0.000008, 42764.373788
   0.000095, 42761.323191
   0.000736, 42753.644426
   0.003026, 42741.325409
   0.007048, 42728.537591
   0.012748, 42715.748043
   0.020122, 42702.964686
   0.029196, 42690.153188
   0.039999, 42677.294660
   0.052443, 42664.491940
   0.066677, 42651.601489
   0.082611, 42638.718080
   0.100236, 42625.848311
   0.119699, 42612.895281
   0.140948, 42599.910030
   0.164078, 42586.847733
   0.188924, 42573.808804
   0.215523, 42560.771936
   0.244030, 42547.668571
   0.274419, 42534.520640
   0.306935, 42521.238968
   0.341132, 42508.012644
   0.377993, 42494.482308
   0.416712, 42480.966233
   0.457666, 42467.340027
   0.500415, 42453.755992
   0.545345, 42440.094074
   0.592604, 42426.321673
   0.642196, 42412.451132
   0.694374, 42398.427790
   0.749053, 42384.290105
   0.805123, 42370.322728
   0.864132, 42356.142555
   0.926105, 42341.765658
   0.989595, 42327.531219
   1.055495, 42313.235071
   1.124151, 42298.812104
   1.195534, 42284.279533
   1.269808, 42269.615768
   1.346860, 42254.854120
   1.426053, 42240.119780
   1.508462, 42225.219214
   1.593840, 42210.209066
   1.682077, 42195.117248
   1.773997, 42179.814957
   1.867981, 42164.577857
   1.964113, 42149.388238
   2.064653, 42133.899063
   2.168253, 42118.332483
   2.273999, 42102.826812
   2.384758, 42086.972516
   2.497893, 42071.158261
   2.613297, 42055.396321
   2.732935, 42039.423895
   2.855957, 42023.364991
   2.982181, 42007.248521
   3.111367, 41991.107931
   3.244708, 41974.800893
   3.383791, 41958.149896
   3.411906, 41954.826309
   3.414890, 41954.474496
   3.417543, 41954.161722
   3.419823, 41953.893016
   3.421743, 41953.666835
   3.422687, 41953.555588
   3.423309, 41953.482326
   3.423578, 41953.450755
   3.423991, 41953.402057
   3.427158, 41953.028956
   3.441970, 41951.286412
   3.485884, 41946.142237
   3.583731, 41934.797497
   3.733960, 41917.681173
   3.883897, 41900.943317
   4.039098, 41883.960081
   4.196130, 41867.110878
   4.356502, 41850.230868
   4.522120, 41833.127155
   4.690891, 41816.022524
   4.866145, 41798.589255
   5.043756, 41781.244606
   5.225852, 41763.781875
   5.412393, 41746.211472
   5.603232, 41728.552660
   5.798983, 41710.755081
   5.999221, 41692.863855
   6.203904, 41674.887551
   6.413892, 41656.757198
   6.626804, 41638.681171
   6.845827, 41620.393310
   7.068461, 41602.107732
   7.294726, 41583.823156
   7.529491, 41565.155692
   7.765929, 41546.653701
   8.005322, 41528.211894
   8.250340, 41509.626866
   8.500953, 41490.907580
   8.759169, 41471.913783
   9.019295, 41453.067564
   9.285171, 41434.090581
   9.555594, 41415.072859
