Speed (CAS), Climb Angle
  70.936096,    9.564314
  72.281957,    9.552167
  73.627819,    9.516479
  74.973680,    9.470040
  76.319542,    9.418120
  77.665404,    9.355345
  79.011265,    9.290530
  80.357127,    9.217137
  81.702988,    9.143126
  83.048850,    9.065054
  84.394711,    8.981882
  85.740573,    8.900864
  87.086435,    8.812720
  88.432296,    8.724002
  89.778158,    8.635787
  91.124019,    8.542338
  92.469881,    8.449140
  93.815742,    8.356193
  95.161604,    8.258149
  96.507466,    8.158599
  97.853327,    8.059136
  99.199189,    7.959874
 100.545050,    7.858273
 101.890912,    7.754622
 103.236773,    7.650930
 104.582635,    7.550077
 105.928497,    7.450287
 107.274358,    7.343373
 108.620220,    7.236323
 109.966081,    7.134220
 111.311943,    7.031963
 112.657804,    6.929552
 114.003666,    6.821889
 115.349528,    6.711604
 116.695389,    6.601025
 118.041251,    6.490152
 119.387112,    6.382904
 120.732974,    6.275419
 122.078835,    6.167638
 123.424697,    6.054346
 124.770558,    5.938808
 126.116420,    5.822861
 127.462282,    5.706505
 128.808143,    5.592497
 130.154005,    5.478170
 131.499866,    5.363433
 132.845728,    5.249332
 134.191589,    5.136057
 135.537451,    5.016251
 136.883313,    4.892328
 138.229174,    4.769613
 139.575036,    4.646482
 140.920897,    4.522843
 142.266759,    4.399368
 143.612620,    4.276236
 144.958482,    4.152594
 146.304344,    4.028444
 147.650205,    3.904966
 148.996067,    3.781065
 150.341928,    3.656652
 151.687790,    3.529814
 153.033651,    3.396467
 154.379513,    3.262531
 155.725375,    3.128005
 157.071236,    2.993589
 158.417098,    2.858647
 159.762959,    2.723115
 161.108821,    2.587199
 162.454682,    2.450994
 163.800544,    2.314197
 165.146406,    2.176806
 166.492267,    2.039054
 167.838129,    1.900735
 169.183990,    1.761820
 170.529852,    1.622312
 171.875713,    1.482212
 173.221575,    1.341514
 174.567437,    1.200219
 175.913298,    1.058110
 177.259160,    0.910164
 178.605021,    0.760279
 179.950883,    0.609561
 181.296744,    0.457878
 182.642606,    0.305544
 183.988467,    0.152555
 185.334329,   -0.001731
 186.680191,   -0.156777
 188.026052,   -0.312480
 189.371914,   -0.469192
 190.717775,   -0.627211
 192.063637,   -0.785891
 193.409498,   -0.945232
 194.755360,   -1.106293
 196.101222,   -1.268213
 197.447083,   -1.430800
 198.792945,   -1.594557
 200.138806,   -1.759983
 201.484668,   -1.926080
 202.830529,   -2.092849
 204.176391,   -2.261742
