Speed (CAS), Efficiency
  70.936097,   15.314965
  71.655066,   15.559116
  72.374035,   15.784161
  73.093004,   15.977332
  73.811973,   16.177272
  74.530942,   16.357671
  75.249911,   16.521456
  75.968880,   16.690175
  76.687849,   16.857798
  77.406818,   16.995346
  78.125787,   17.136473
  78.844756,   17.281300
  79.563725,   17.419719
  80.282694,   17.535318
  81.001663,   17.653521
  81.720632,   17.774405
  82.439601,   17.897848
  83.158570,   17.993084
  83.877539,   18.090179
  84.596508,   18.189177
  85.315477,   18.290124
  86.034446,   18.386069
  86.753415,   18.459658
  87.472384,   18.534459
  88.191353,   18.610494
  88.910322,   18.687785
  89.629291,   18.766357
  90.348260,   18.822120
  91.067229,   18.872537
  91.786198,   18.923628
  92.505167,   18.975402
  93.224136,   19.027867
  93.943105,   19.081032
  94.662074,   19.112951
  95.381043,   19.128216
  96.100012,   19.143621
  96.818981,   19.159167
  97.537950,   19.174854
  98.256919,   19.190684
  98.975888,   19.206656
  99.694857,   19.212860
 100.413826,   19.195950
 101.132795,   19.178948
 101.851764,   19.161856
 102.570733,   19.144673
 103.289702,   19.127400
 104.008671,   19.110039
 104.727640,   19.092588
 105.446609,   19.075050
 106.165578,   19.037524
 106.884547,   18.990746
 107.603516,   18.943884
 108.322485,   18.896941
 109.041454,   18.849919
 109.760423,   18.802823
 110.479392,   18.755653
 111.198361,   18.708414
 111.917330,   18.661109
 112.636299,   18.613739
 113.355268,   18.557011
 114.074237,   18.471550
 114.793207,   18.386339
 115.512176,   18.301383
 116.231145,   18.216686
 116.950114,   18.132250
 117.669083,   18.048081
 118.388052,   17.964180
 119.107021,   17.880552
 119.825990,   17.797199
 120.544959,   17.714125
 121.263928,   17.631333
 121.982897,   17.548826
 122.701866,   17.460222
 123.420835,   17.349026
 124.139804,   17.238601
 124.858773,   17.128943
 125.577742,   17.020050
 126.296711,   16.911919
 127.015680,   16.804548
 127.734649,   16.697934
 128.453618,   16.592073
 129.172587,   16.486964
 129.891556,   16.382602
 130.610525,   16.278985
 131.329494,   16.176109
 132.048463,   16.073971
 132.767432,   15.972567
 133.486401,   15.871895
 134.205370,   15.771950
 134.924339,   15.665580
 135.643308,   15.545236
 136.362277,   15.426103
 137.081246,   15.308166
 137.800215,   15.191412
 138.519184,   15.075830
 139.238153,   14.961404
 139.957122,   14.848124
 140.676091,   14.735976
 141.395060,   14.624947
 142.114029,   14.515026
