Speed, Power
 105.910992, 3635729.124007
 106.718201, 3620265.230784
 107.525411, 3603817.924100
 108.332621, 3597189.522494
 109.139830, 3590900.078313
 109.947040, 3583873.633419
 110.754250, 3576737.909232
 111.561459, 3576233.955159
 112.368669, 3575151.110844
 113.175879, 3573485.187689
 113.983089, 3571231.997101
 114.790298, 3572053.863184
 115.597508, 3575202.243375
 116.404718, 3577888.756686
 117.211927, 3580110.177932
 118.019137, 3581863.281928
 118.826347, 3585486.242021
 119.633556, 3591959.425531
 120.440766, 3598069.380823
 121.247976, 3603813.657067
 122.055185, 3609189.803435
 122.862395, 3614195.369099
 123.669605, 3622264.762371
 124.476815, 3631301.850635
 125.284024, 3640053.863396
 126.091234, 3648518.951991
 126.898444, 3656695.267756
 127.705653, 3664580.962027
 128.512863, 3673913.356552
 129.320073, 3685911.028464
 130.127282, 3697700.591589
 130.934492, 3709280.746921
 131.741702, 3720650.195456
 132.548911, 3731807.638187
 133.356121, 3742751.776111
 134.163331, 3754186.391022
 134.970540, 3769248.849678
 135.777750, 3784175.889599
 136.584960, 3798966.700895
 137.392170, 3813620.473675
 138.199379, 3828136.398050
 139.006589, 3842513.664129
 139.813799, 3856751.462023
 140.621008, 3870848.981840
 141.428218, 3889957.222122
 142.235428, 3909812.180344
 143.042637, 3929627.062658
 143.849847, 3949401.641626
 144.657057, 3969135.689812
 145.464266, 3988828.979777
 146.271476, 4008481.284084
 147.078686, 4028092.375296
 147.885896, 4047662.025976
 148.693105, 4068271.205371
 149.500315, 4093061.280128
 150.307525, 4117895.284083
 151.114734, 4142773.454426
 151.921944, 4167696.028349
 152.729154, 4192663.243042
 153.536363, 4217675.335695
 154.343573, 4242732.543499
 155.150783, 4267835.103645
 155.957992, 4292983.253324
 156.765202, 4318177.229726
 157.572412, 4343417.270041
 158.379622, 4372457.144650
 159.186831, 4402871.289951
 159.994041, 4433409.414190
 160.801251, 4464072.146045
 161.608460, 4494860.114192
 162.415670, 4525773.947306
 163.222880, 4556814.274064
 164.030089, 4587981.723144
 164.837299, 4619276.923220
 165.644509, 4650700.502970
 166.451718, 4682253.091070
 167.258928, 4713935.316195
 168.066138, 4745747.807024
 168.873348, 4777691.192231
 169.680557, 4816192.303351
 170.487767, 4855938.250047
 171.294977, 4895923.879260
 172.102186, 4936150.325819
 172.909396, 4976618.724548
 173.716606, 5017330.210274
 174.523815, 5058285.917825
 175.331025, 5099486.982027
 176.138235, 5140934.537706
 176.945444, 5182629.719689
 177.752654, 5224573.662802
 178.559864, 5266767.501873
 179.367073, 5309212.371727
 180.174283, 5351909.407191
 180.981493, 5394859.743093
 181.788703, 5438064.514258
 182.595912, 5481524.855513
 183.403122, 5529033.248391
 184.210332, 5580111.192299
 185.017541, 5631541.472770
 185.824751, 5683325.633743
