Speed (TAS), Rate of Climb
 137.888729,  747.270456
 140.504875,  770.644686
 143.121020,  788.604937
 145.737166,  803.626028
 148.353311,  817.283259
 150.969456,  827.598001
 153.585602,  837.616234
 156.201747,  844.525085
 158.817893,  851.033161
 161.434038,  855.739514
 164.050183,  859.199082
 166.666329,  861.968848
 169.282474,  862.421339
 171.898620,  862.613649
 174.514765,  861.540254
 177.130910,  858.374465
 179.747056,  855.213339
 182.363201,  851.344702
 184.979347,  843.490991
 187.595492,  835.839775
 190.211638,  827.717746
 192.827783,  818.086773
 195.443928,  805.841793
 198.060074,  793.574358
 200.676219,  780.611603
 203.292365,  766.950682
 205.908510,  751.225497
 208.524655,  734.126133
 211.140801,  716.226321
 213.756946,  698.015897
 216.373092,  679.655368
 218.989237,  658.949851
 221.605382,  634.218235
 224.221528,  609.495110
 226.837673,  583.867600
 229.453819,  557.284071
 232.069964,  530.157091
 234.686110,  502.540205
 237.302255,  471.594196
 239.918400,  437.496197
 242.534546,  403.015367
 245.150691,  367.427630
 247.766837,  330.720092
 250.382982,  293.180782
 252.999127,  254.796062
 255.615273,  215.279216
 258.231418,  174.634870
 260.847564,  129.966361
 263.463709,   82.734295
 266.079854,   34.204665
 268.696000,  -15.488102
 271.312145,  -66.376278
 273.928291, -118.585669
 276.544436, -172.110644
 279.160582, -226.771921
 281.776727, -282.779060
 284.392872, -340.141661
 287.009018, -398.758568
 289.625163, -458.670194
 292.241309, -522.941544
 294.857454, -590.392126
 297.473599, -659.231747
 300.089745, -729.607934
 302.705890, -801.531442
 305.322036, -874.937321
 307.938181, -949.865405
 310.554326, -1026.370983
 313.170472, -1104.452666
 315.786617, -1184.061928
 318.402763, -1265.279549
 321.018908, -1348.116284
 323.635054, -1432.553928
 326.251199, -1518.617072
 328.867344, -1606.330882
 331.483490, -1695.705877
 334.099635, -1786.752000
 336.715781, -1879.481032
 339.331926, -1976.283573
 341.948071, -2076.497585
 344.564217, -2178.534068
 347.180362, -2282.391776
 349.796508, -2388.102253
 352.412653, -2495.727529
 355.028798, -2605.209824
 357.644944, -2716.560618
 360.261089, -2829.895173
 362.877235, -2945.158970
 365.493380, -3062.327751
 368.109526, -3181.462912
 370.725671, -3302.668642
 373.341816, -3425.816530
 375.957962, -3550.918054
 378.574107, -3678.176594
 381.190253, -3807.468675
 383.806398, -3938.752257
 386.422543, -4072.129175
 389.038689, -4207.734173
 391.654834, -4345.369223
 394.270980, -4485.045803
 396.887125, -4627.071432
