Time, Speed
   0.000100,    0.000330
   0.000613,    0.002024
   0.002976,    0.009831
   0.009666,    0.031928
   0.025771,    0.085114
   0.048352,    0.159663
   0.070936,    0.234201
   0.093526,    0.308736
   0.116153,    0.383365
   0.138814,    0.458082
   0.161505,    0.532878
   0.184220,    0.607726
   0.207071,    0.682995
   0.229907,    0.758193
   0.252778,    0.833481
   0.275858,    0.909430
   0.298897,    0.985221
   0.322168,    1.061750
   0.345500,    1.138452
   0.368688,    1.214654
   0.392187,    1.291855
   0.415784,    1.369350
   0.439326,    1.446637
   0.462899,    1.523997
   0.487011,    1.603102
   0.511142,    1.682241
   0.535432,    1.761871
   0.559812,    1.841771
   0.584126,    1.921425
   0.608610,    2.001605
   0.633178,    2.082033
   0.658038,    2.163390
   0.683074,    2.245290
   0.708030,    2.326898
   0.733304,    2.409516
   0.758763,    2.492706
   0.784546,    2.576924
   0.810392,    2.661316
   0.836067,    2.745116
   0.862104,    2.830065
   0.888643,    2.916621
   0.914963,    3.002427
   0.941569,    3.089131
   0.968244,    3.176025
   0.995151,    3.263639
   1.022209,    3.351711
   1.049624,    3.440911
   1.076894,    3.529598
   1.104499,    3.619341
   1.132068,    3.708926
   1.159951,    3.799497
   1.188231,    3.891319
   1.216618,    3.983447
   1.245280,    4.076427
   1.273753,    4.168757
   1.302347,    4.261436
   1.331466,    4.355778
   1.360617,    4.450179
   1.390107,    4.545637
   1.419650,    4.641222
   1.425605,    4.660487
   1.441812,    4.712901
   1.442991,    4.716714
   1.443888,    4.719613
   1.444542,    4.721728
   1.444756,    4.722420
   1.444842,    4.722700
   1.444921,    4.722953
   1.445387,    4.724460
   1.447835,    4.732378
   1.456398,    4.760063
   1.479187,    4.833726
   1.509373,    4.931258
   1.539498,    5.028551
   1.569781,    5.126308
   1.600167,    5.224350
   1.630718,    5.322881
   1.661841,    5.423208
   1.693023,    5.523676
   1.724374,    5.624641
   1.755923,    5.726194
   1.787409,    5.827496
   1.819582,    5.930954
   1.851885,    6.034781
   1.884391,    6.139208
   1.917070,    6.244137
   1.949672,    6.348765
   1.982602,    6.454392
   2.015636,    6.560295
   2.048810,    6.666594
   2.082340,    6.773980
   2.115804,    6.881094
   2.149328,    6.988349
   2.183113,    7.096376
   2.217112,    7.205032
   2.251447,    7.314705
   2.286058,    7.425196
   2.320282,    7.534391
   2.355031,    7.645202
   2.389821,    7.756083
   2.424801,    7.867508
   2.460167,    7.980099
   2.495893,    8.093772
   2.531212,    8.206086
   2.566758,    8.319059
   2.602690,    8.433192
   2.638920,    8.548205
   2.675305,    8.663644
   2.711716,    8.779096
   2.748269,    8.894930
   2.785058,    9.011444
   2.821852,    9.127904
   2.859117,    9.245786
   2.896125,    9.362782
   2.903592,    9.386381
   2.908551,    9.402051
   2.911314,    9.410781
   2.913568,    9.417901
   2.915395,    9.423675
   2.916796,    9.428101
   2.921809,    9.443939
   2.921969,    9.444444
   2.922068,    9.444755
   2.922118,    9.444915
   2.922174,    9.445090
   2.922632,    9.446537
   2.925144,    9.454473
   2.932987,    9.479249
   2.954876,    9.548375
   2.991739,    9.664732
   3.029698,    9.784474
   3.067839,    9.904717
   3.106079,   10.025199
   3.144561,   10.146363
   3.183045,   10.267459
   3.221544,   10.388526
   3.260071,   10.509603
   3.298822,   10.631309
   3.337586,   10.752976
   3.376875,   10.876211
   3.416080,   10.999103
   3.455332,   11.122061
   3.494792,   11.245591
   3.534769,   11.370656
   3.574636,   11.495296
   3.614586,   11.620110
   3.654769,   11.745569
   3.695366,   11.872234
   3.735784,   11.998253
   3.776437,   12.124923
   3.817208,   12.251872
   3.857957,   12.378663
   3.899325,   12.507293
   3.940361,   12.634802
   3.981818,   12.763528
   4.023353,   12.892404
   4.065366,   13.022673
   4.107457,   13.153091
   4.149658,   13.283753
   4.192209,   13.415406
   4.234596,   13.546456
   4.277175,   13.678002
   4.319887,   13.809867
   4.362848,   13.942398
   4.405827,   14.074889
   4.414458,   14.101484
   4.420128,   14.118953
   4.423664,   14.129847
   4.426553,   14.138747
   4.428463,   14.144629
   4.430006,   14.149383
   4.431399,   14.153674
   4.432988,   14.158567
   4.434252,   14.162460
   4.435523,   14.166376
   4.435720,   14.166983
   4.435816,   14.167279
   4.435868,   14.167439
   4.435925,   14.167614
   4.436463,   14.169271
   4.439221,   14.177765
   4.448852,   14.207424
   4.473855,   14.284397
   4.520226,   14.427067
   4.563672,   14.560631
   4.607279,   14.694591
   4.651147,   14.829249
   4.695042,   14.963890
   4.738956,   15.098482
   4.783287,   15.234247
   4.827508,   15.369574
   4.871805,   15.505026
   4.916646,   15.642034
   4.961409,   15.778697
   5.006398,   15.915941
   5.051311,   16.052844
   5.096362,   16.190060
   5.141458,   16.327300
   5.186741,   16.465002
   5.232102,   16.602829
   5.277878,   16.741806
   5.323858,   16.881285
   5.369880,   17.020780
   5.415735,   17.159652
   5.461895,   17.299335
   5.508312,   17.439678
   5.554809,   17.580143
   5.601537,   17.721189
   5.648298,   17.862217
   5.695129,   18.003338
   5.741994,   18.144439
   5.789236,   18.286554
   5.836622,   18.428981
   5.884044,   18.571394
   5.931545,   18.713920
   5.979176,   18.856712
   5.988705,   18.885265
   5.990149,   18.889591
   5.990219,   18.889801
   5.990297,   18.890033
   5.990879,   18.891777
   5.993997,   18.901118
   6.005560,   18.935756
   6.040924,   19.041641
   6.088375,   19.183611
   6.136499,   19.327465
   6.184612,   19.471159
   6.232774,   19.614875
   6.281134,   19.759052
   6.329741,   19.903834
   6.378258,   20.048219
   6.426898,   20.192841
   6.475485,   20.337172
   6.524520,   20.482704
   6.573522,   20.628005
   6.623052,   20.774735
   6.672210,   20.920229
   6.721670,   21.066483
   6.771133,   21.212608
   6.820376,   21.357951
   6.870336,   21.505269
   6.920115,   21.651920
   6.970070,   21.798947
   7.020332,   21.946738
   7.070562,   22.094296
   7.120870,   22.241941
   7.171567,   22.390584
   7.222081,   22.538550
   7.272840,   22.687088
   7.323572,   22.835406
   7.374435,   22.983960
   7.425419,   23.132722
   7.476650,   23.282060
   7.527892,   23.431279
   7.579179,   23.580487
   7.589480,   23.610437
   7.589840,   23.611481
   7.590008,   23.611971
   7.590083,   23.612189
   7.590129,   23.612322
   7.590172,   23.612448
   7.590553,   23.613557
   7.592895,   23.620363
   7.602616,   23.648621
   7.640059,   23.757407
   7.692471,   23.909555
   7.744327,   24.059934
   7.796239,   24.210324
   7.848102,   24.360421
   7.900242,   24.511167
   7.952250,   24.661379
   8.004654,   24.812579
   8.057066,   24.963648
   8.109804,   25.115498
   8.162422,   25.266846
   8.215006,   25.417940
   8.267787,   25.569444
   8.320890,   25.721711
   8.373869,   25.873467
   8.427018,   26.025545
   8.480345,   26.177972
   8.533735,   26.330418
   8.587226,   26.482992
   8.640928,   26.636002
   8.694620,   26.788820
   8.748261,   26.941330
   8.802088,   27.094201
   8.856186,   27.247678
   8.910120,   27.400523
   8.964360,   27.554066
   9.018484,   27.707116
   9.072764,   27.860440
   9.127164,   28.013931
   9.181923,   28.168264
   9.236613,   28.322234
   9.238808,   28.328409
   9.239402,   28.330081
   9.240151,   28.332189
   9.241037,   28.334681
   9.242206,   28.337970
   9.248773,   28.356445
   9.273516,   28.426031
   9.328397,   28.580249
   9.383388,   28.734604
   9.438524,   28.889188
   9.493788,   29.043958
